State,State Name,Year,Month,Indicator,Data Value,Predicted Value,Percent Complete,Percent Pending Investigation,Footnote
MD,MD,2015,November,Percent with drugs specified,98.2839313572543,,100,0.021015909043146,
MD,MD,2015,December,Percent with drugs specified,98.4090909090909,,100,0.021203511301472,
MD,MD,2016,January,Percent with drugs specified,98.5418265541059,,100,0.02145232221388,
MD,MD,2016,February,Percent with drugs specified,98.6526946107784,,100,0.02141969755387,
MD,MD,2016,March,Percent with drugs specified,98.7690079652426,,100,0.021418321231982,
MD,MD,2016,April,Percent with drugs specified,98.6477349560514,,100,0.019190583820206,
MD,MD,2016,May,Percent with drugs specified,98.8607594936709,,100,0.023377396183109,
MD,MD,2016,June,Percent with drugs specified,98.7522281639929,,100,0.025466893039049,
MD,MD,2016,July,Percent with drugs specified,98.8054607508532,,100,0.027475430624538,
MD,MD,2016,August,Percent with drugs specified,98.8095238095238,,100,0.027340792462354,
MD,MD,2016,September,Percent with drugs specified,98.8463555322496,,100,0.025068939583856,
MD,MD,2016,October,Percent with drugs specified,98.7660668380463,,100,0.022895202414403,
MD,MD,2016,November,Percent with drugs specified,98.8983475212819,,100,0.018613885958925,
MD,MD,2016,December,Percent with drugs specified,98.794599807136,,100,0.0164379058108,
MD,MD,2017,January,Percent with drugs specified,98.7120515179393,,100,0.016316208113234,Underreported due to incomplete data
MD,MD,2017,February,Percent with drugs specified,98.5831809872029,,100,0.018297889643394,Underreported due to incomplete data
MD,MD,2017,March,Percent with drugs specified,98.5201793721973,,100,0.020208960653154,Underreported due to incomplete data
MD,MD,2017,April,Percent with drugs specified,98.4982332155477,,100,0.020174713014707,Underreported due to incomplete data
MD,MD,2017,May,Percent with drugs specified,98.5430463576159,,100,0.020184486203904,Underreported due to incomplete data
MD,MD,2017,June,Percent with drugs specified,98.6789960369881,,100,0.024173566205354,Underreported due to incomplete data
MD,MD,2017,July,Percent with drugs specified,98.6264953478068,,100,0.022216387615374,Underreported due to incomplete data
MD,MD,2017,August,Percent with drugs specified,98.576512455516,,100,0.024228229925902,Underreported due to incomplete data
MD,MD,2017,September,Percent with drugs specified,98.5398230088496,,100,0.024211609466739,Underreported due to incomplete data
MD,MD,2017,October,Percent with drugs specified,98.6373626373626,,100,0.026260504201681,Underreported due to incomplete data
MD,MD,2017,November,Percent with drugs specified,98.5545335085414,,100,0.032313440371605,Underreported due to incomplete data
MD,MD,2017,December,Percent with drugs specified,98.5539000876424,,100,0.036256697417717,Underreported due to incomplete data
MD,MD,2018,January,Percent with drugs specified,98.4251968503937,,100,0.044056392181993,Underreported due to incomplete data
MD,MD,2018,February,Percent with drugs specified,98.5138004246285,,100,0.046050655721293,Underreported due to incomplete data
MD,MD,2015,January,Psychostimulants with abuse potential (T43.6),17,18,100,0.008585164835165,
MD,MD,2015,February,Psychostimulants with abuse potential (T43.6),16,17,100,0.008553405324495,
MD,MD,2015,March,Psychostimulants with abuse potential (T43.6),18,19,100,0.008543722499893,
MD,MD,2015,April,Psychostimulants with abuse potential (T43.6),18,19,100,0.010654619843164,
MD,MD,2015,May,Psychostimulants with abuse potential (T43.6),18,19,100,0.010616838305553,
MD,MD,2015,June,Psychostimulants with abuse potential (T43.6),18,19,100,0.010570601044375,
MD,MD,2015,July,Psychostimulants with abuse potential (T43.6),20,21,100,0.010551639724813,
MD,MD,2015,August,Psychostimulants with abuse potential (T43.6),19,20,100,0.010535853509493,
MD,MD,2015,September,Psychostimulants with abuse potential (T43.6),20,21,100,0.014741497314942,
MD,MD,2015,October,Psychostimulants with abuse potential (T43.6),20,21,100,0.01889565399958,
MD,MD,2015,November,Psychostimulants with abuse potential (T43.6),25,26,100,0.021015909043146,
MD,MD,2015,December,Psychostimulants with abuse potential (T43.6),25,26,100,0.021203511301472,
MD,MD,2016,January,Psychostimulants with abuse potential (T43.6),21,22,100,0.02145232221388,
MD,MD,2016,February,Psychostimulants with abuse potential (T43.6),24,25,100,0.02141969755387,
MD,MD,2016,March,Psychostimulants with abuse potential (T43.6),24,25,100,0.021418321231982,
MD,MD,2016,April,Psychostimulants with abuse potential (T43.6),24,25,100,0.019190583820206,
MD,MD,2016,May,Psychostimulants with abuse potential (T43.6),28,29,100,0.023377396183109,
MD,MD,2016,June,Psychostimulants with abuse potential (T43.6),28,29,100,0.025466893039049,
MD,MD,2016,July,Psychostimulants with abuse potential (T43.6),31,32,100,0.027475430624538,
MD,MD,2016,August,Psychostimulants with abuse potential (T43.6),38,39,100,0.027340792462354,
MD,MD,2016,September,Psychostimulants with abuse potential (T43.6),42,43,100,0.025068939583856,
MD,MD,2016,October,Psychostimulants with abuse potential (T43.6),44,45,100,0.022895202414403,
MD,MD,2016,November,Psychostimulants with abuse potential (T43.6),42,43,100,0.018613885958925,
MD,MD,2016,December,Psychostimulants with abuse potential (T43.6),46,47,100,0.0164379058108,
MD,MD,2017,January,Psychostimulants with abuse potential (T43.6),48,49,100,0.016316208113234,Underreported due to incomplete data
MD,MD,2017,February,Psychostimulants with abuse potential (T43.6),47,48,100,0.018297889643394,Underreported due to incomplete data
MD,MD,2017,March,Psychostimulants with abuse potential (T43.6),50,51,100,0.020208960653154,Underreported due to incomplete data
MD,MD,2017,April,Psychostimulants with abuse potential (T43.6),54,55,100,0.020174713014707,Underreported due to incomplete data
MD,MD,2017,May,Psychostimulants with abuse potential (T43.6),55,56,100,0.020184486203904,Underreported due to incomplete data
MD,MD,2017,June,Psychostimulants with abuse potential (T43.6),56,57,100,0.024173566205354,Underreported due to incomplete data
MD,MD,2017,July,Psychostimulants with abuse potential (T43.6),52,53,100,0.022216387615374,Underreported due to incomplete data
MD,MD,2017,August,Psychostimulants with abuse potential (T43.6),49,51,100,0.024228229925902,Underreported due to incomplete data
MD,MD,2017,September,Psychostimulants with abuse potential (T43.6),49,51,100,0.024211609466739,Underreported due to incomplete data
MD,MD,2017,October,Psychostimulants with abuse potential (T43.6),50,51,100,0.026260504201681,Underreported due to incomplete data
MD,MD,2017,November,Psychostimulants with abuse potential (T43.6),51,52,100,0.032313440371605,Underreported due to incomplete data
MD,MD,2017,December,Psychostimulants with abuse potential (T43.6),51,52,100,0.036256697417717,Underreported due to incomplete data
MD,MD,2018,January,Psychostimulants with abuse potential (T43.6),50,51,100,0.044056392181993,Underreported due to incomplete data
MD,MD,2018,February,Psychostimulants with abuse potential (T43.6),52,53,100,0.046050655721293,Underreported due to incomplete data
MD,MD,2015,January,"Synthetic opioids, excl. methadone (T40.4)",237,240,100,0.008585164835165,
MD,MD,2015,February,"Synthetic opioids, excl. methadone (T40.4)",259,262,100,0.008553405324495,
MD,MD,2015,March,"Synthetic opioids, excl. methadone (T40.4)",263,266,100,0.008543722499893,
MD,MD,2015,April,"Synthetic opioids, excl. methadone (T40.4)",244,247,100,0.010654619843164,
MD,MD,2015,May,"Synthetic opioids, excl. methadone (T40.4)",233,236,100,0.010616838305553,
MD,MD,2015,June,"Synthetic opioids, excl. methadone (T40.4)",227,230,100,0.010570601044375,
MD,MD,2015,July,"Synthetic opioids, excl. methadone (T40.4)",231,234,100,0.010551639724813,
MD,MD,2015,August,"Synthetic opioids, excl. methadone (T40.4)",243,246,100,0.010535853509493,
MD,MD,2015,September,"Synthetic opioids, excl. methadone (T40.4)",268,271,100,0.014741497314942,
MD,MD,2015,October,"Synthetic opioids, excl. methadone (T40.4)",299,303,100,0.01889565399958,
MD,MD,2015,November,"Synthetic opioids, excl. methadone (T40.4)",330,334,100,0.021015909043146,
MD,MD,2015,December,"Synthetic opioids, excl. methadone (T40.4)",373,378,100,0.021203511301472,
MD,MD,2016,January,"Synthetic opioids, excl. methadone (T40.4)",386,391,100,0.02145232221388,
MD,MD,2016,February,"Synthetic opioids, excl. methadone (T40.4)",421,427,100,0.02141969755387,
MD,MD,2016,March,"Synthetic opioids, excl. methadone (T40.4)",449,455,100,0.021418321231982,
MD,MD,2016,April,"Synthetic opioids, excl. methadone (T40.4)",521,528,100,0.019190583820206,
MD,MD,2016,May,"Synthetic opioids, excl. methadone (T40.4)",617,625,100,0.023377396183109,
MD,MD,2016,June,"Synthetic opioids, excl. methadone (T40.4)",706,716,100,0.025466893039049,
MD,MD,2016,July,"Synthetic opioids, excl. methadone (T40.4)",778,789,100,0.027475430624538,
MD,MD,2016,August,"Synthetic opioids, excl. methadone (T40.4)",845,857,100,0.027340792462354,
MD,MD,2016,September,"Synthetic opioids, excl. methadone (T40.4)",913,925,100,0.025068939583856,
MD,MD,2016,October,"Synthetic opioids, excl. methadone (T40.4)",974,987,100,0.022895202414403,
MD,MD,2016,November,"Synthetic opioids, excl. methadone (T40.4)",1040,1053,100,0.018613885958925,
MD,MD,2016,December,"Synthetic opioids, excl. methadone (T40.4)",1122,1135,100,0.0164379058108,
MD,MD,2017,January,"Synthetic opioids, excl. methadone (T40.4)",1224,1223,100,0.016316208113234,Underreported due to incomplete data
MD,MD,2017,February,"Synthetic opioids, excl. methadone (T40.4)",1270,1274,100,0.018297889643394,Underreported due to incomplete data
MD,MD,2017,March,"Synthetic opioids, excl. methadone (T40.4)",1339,1347,100,0.020208960653154,Underreported due to incomplete data
MD,MD,2017,April,"Synthetic opioids, excl. methadone (T40.4)",1393,1406,100,0.020174713014707,Underreported due to incomplete data
MD,MD,2017,May,"Synthetic opioids, excl. methadone (T40.4)",1425,1443,100,0.020184486203904,Underreported due to incomplete data
MD,MD,2017,June,"Synthetic opioids, excl. methadone (T40.4)",1455,1486,100,0.024173566205354,Underreported due to incomplete data
MD,MD,2017,July,"Synthetic opioids, excl. methadone (T40.4)",1476,1511,100,0.022216387615374,Underreported due to incomplete data
MD,MD,2017,August,"Synthetic opioids, excl. methadone (T40.4)",1504,1536,100,0.024228229925902,Underreported due to incomplete data
MD,MD,2017,September,"Synthetic opioids, excl. methadone (T40.4)",1534,1565,100,0.024211609466739,Underreported due to incomplete data
MD,MD,2017,October,"Synthetic opioids, excl. methadone (T40.4)",1561,1587,100,0.026260504201681,Underreported due to incomplete data
MD,MD,2017,November,"Synthetic opioids, excl. methadone (T40.4)",1582,1603,100,0.032313440371605,Underreported due to incomplete data
MD,MD,2017,December,"Synthetic opioids, excl. methadone (T40.4)",1596,1605,100,0.036256697417717,Underreported due to incomplete data
MD,MD,2018,January,"Synthetic opioids, excl. methadone (T40.4)",1610,1617,100,0.044056392181993,Underreported due to incomplete data
MD,MD,2018,February,"Synthetic opioids, excl. methadone (T40.4)",1680,1694,100,0.046050655721293,Underreported due to incomplete data
ME,ME,2015,January,Cocaine (T40.5),22,23,100,0.058706978792104,
ME,ME,2015,February,Cocaine (T40.5),25,26,100,0.043336944745395,
ME,ME,2015,March,Cocaine (T40.5),23,24,100,0.02877490827998,
ME,ME,2015,April,Cocaine (T40.5),24,25,100,0.021439291074108,
ME,ME,2015,May,Cocaine (T40.5),24,25,100,0.014262283391571,
ME,ME,2015,June,Cocaine (T40.5),22,23,100,0.014269406392694,
ME,ME,2015,July,Cocaine (T40.5),21,22,100,0.014232849416453,
ME,ME,2015,August,Cocaine (T40.5),23,24,100,0.014105367092179,
ME,ME,2015,September,Cocaine (T40.5),26,27,100,0.006994963626189,
ME,ME,2015,October,Cocaine (T40.5),28,29,100,0.00695991091314,
ME,ME,2015,November,Cocaine (T40.5),33,35,100,0,
ME,ME,2015,December,Cocaine (T40.5),32,34,100,0,
ME,ME,2016,January,Cocaine (T40.5),32,34,100,0,
ME,ME,2016,February,Cocaine (T40.5),32,34,100,0,
ME,ME,2016,March,Cocaine (T40.5),34,36,100,0,
ME,ME,2016,April,Cocaine (T40.5),39,41,100,0,
ME,ME,2016,May,Cocaine (T40.5),43,45,100,0,
ME,ME,2016,June,Cocaine (T40.5),48,50,100,0,
ME,ME,2016,July,Cocaine (T40.5),51,53,100,0,
ME,ME,2016,August,Cocaine (T40.5),54,56,100,0,
ME,ME,2016,September,Cocaine (T40.5),53,55,100,0,
ME,ME,2016,October,Cocaine (T40.5),53,55,100,0,
ME,ME,2016,November,Cocaine (T40.5),57,59,100,0,
ME,ME,2016,December,Cocaine (T40.5),59,62,100,0,
ME,ME,2017,January,Cocaine (T40.5),61,63,100,0,Underreported due to incomplete data
ME,ME,2017,February,Cocaine (T40.5),63,65,100,0,Underreported due to incomplete data
ME,ME,2017,March,Cocaine (T40.5),67,69,100,0,Underreported due to incomplete data
ME,ME,2017,April,Cocaine (T40.5),67,70,100,0,Underreported due to incomplete data
ME,ME,2017,May,Cocaine (T40.5),64,67,100,0,Underreported due to incomplete data
ME,ME,2017,June,Cocaine (T40.5),67,70,99.5+,0.006967670011148,Underreported due to incomplete data
ME,ME,2017,July,Cocaine (T40.5),69,72,99.5+,0.006986167388571,Underreported due to incomplete data
ME,ME,2017,August,Cocaine (T40.5),78,81,99.5+,0.00695458654983,Underreported due to incomplete data
ME,ME,2017,September,Cocaine (T40.5),80,83,99.5+,0.006912760956726,Underreported due to incomplete data
ME,ME,2017,October,Cocaine (T40.5),87,91,99.5+,0.006918500069185,Underreported due to incomplete data
ME,ME,2017,November,Cocaine (T40.5),83,87,99.5+,0.006907031357922,Underreported due to incomplete data
ME,ME,2017,December,Cocaine (T40.5),89,93,99.5+,0.006896551724138,Underreported due to incomplete data
ME,ME,2018,January,Cocaine (T40.5),92,95,99.5+,0.006853070175439,Underreported due to incomplete data
ME,ME,2018,February,Cocaine (T40.5),93,96,99.5+,0.006835269993165,Underreported due to incomplete data
ME,ME,2015,January,Heroin (T40.1),38,39,100,0.058706978792104,
ME,ME,2015,February,Heroin (T40.1),40,41,100,0.043336944745395,
ME,ME,2015,March,Heroin (T40.1),42,43,100,0.02877490827998,
ME,ME,2015,April,Heroin (T40.1),46,47,100,0.021439291074108,
ME,ME,2015,May,Heroin (T40.1),45,46,100,0.014262283391571,
ME,ME,2015,June,Heroin (T40.1),44,45,100,0.014269406392694,
ME,ME,2015,July,Heroin (T40.1),48,49,100,0.014232849416453,
ME,ME,2015,August,Heroin (T40.1),48,49,100,0.014105367092179,
ME,ME,2015,September,Heroin (T40.1),49,50,100,0.006994963626189,
ME,ME,2015,October,Heroin (T40.1),51,52,100,0.00695991091314,
ME,ME,2015,November,Heroin (T40.1),55,56,100,0,
ME,ME,2015,December,Heroin (T40.1),53,54,100,0,
ME,ME,2016,January,Heroin (T40.1),49,50,100,0,
ME,ME,2016,February,Heroin (T40.1),49,50,100,0,
ME,ME,2016,March,Heroin (T40.1),49,50,100,0,
ME,ME,2016,April,Heroin (T40.1),50,51,100,0,
ME,ME,2016,May,Heroin (T40.1),52,53,100,0,
ME,ME,2016,June,Heroin (T40.1),54,55,100,0,
ME,ME,2016,July,Heroin (T40.1),57,58,100,0,
ME,ME,2016,August,Heroin (T40.1),59,60,100,0,
ME,ME,2016,September,Heroin (T40.1),56,57,100,0,
ME,ME,2016,October,Heroin (T40.1),51,52,100,0,
ME,ME,2016,November,Heroin (T40.1),52,53,100,0,
ME,ME,2016,December,Heroin (T40.1),54,55,100,0,
ME,ME,2017,January,Heroin (T40.1),60,60,100,0,Underreported due to incomplete data
ME,ME,2017,February,Heroin (T40.1),62,62,100,0,Underreported due to incomplete data
ME,ME,2017,March,Heroin (T40.1),62,62,100,0,Underreported due to incomplete data
ME,ME,2017,April,Heroin (T40.1),65,65,100,0,Underreported due to incomplete data
ME,ME,2017,May,Heroin (T40.1),66,66,100,0,Underreported due to incomplete data
ME,ME,2017,June,Heroin (T40.1),68,68,99.5+,0.006967670011148,Underreported due to incomplete data
ME,ME,2017,July,Heroin (T40.1),64,65,99.5+,0.006986167388571,Underreported due to incomplete data
ME,ME,2017,August,Heroin (T40.1),66,67,99.5+,0.00695458654983,Underreported due to incomplete data
ME,ME,2017,September,Heroin (T40.1),68,69,99.5+,0.006912760956726,Underreported due to incomplete data
ME,ME,2017,October,Heroin (T40.1),76,77,99.5+,0.006918500069185,Underreported due to incomplete data
ME,ME,2017,November,Heroin (T40.1),72,73,99.5+,0.006907031357922,Underreported due to incomplete data
ME,ME,2017,December,Heroin (T40.1),75,75,99.5+,0.006896551724138,Underreported due to incomplete data
ME,ME,2018,January,Heroin (T40.1),72,72,99.5+,0.006853070175439,Underreported due to incomplete data
ME,ME,2018,February,Heroin (T40.1),70,70,99.5+,0.006835269993165,Underreported due to incomplete data
ME,ME,2015,January,Methadone (T40.3),35,36,100,0.058706978792104,
ME,ME,2015,February,Methadone (T40.3),35,36,100,0.043336944745395,
ME,ME,2015,March,Methadone (T40.3),36,37,100,0.02877490827998,
ME,ME,2015,April,Methadone (T40.3),41,42,100,0.021439291074108,
ME,ME,2015,May,Methadone (T40.3),40,41,100,0.014262283391571,
ME,ME,2015,June,Methadone (T40.3),39,40,100,0.014269406392694,
ME,ME,2015,July,Methadone (T40.3),40,41,100,0.014232849416453,
ME,ME,2015,August,Methadone (T40.3),39,40,100,0.014105367092179,
ME,ME,2015,September,Methadone (T40.3),41,42,100,0.006994963626189,
ME,ME,2015,October,Methadone (T40.3),41,42,100,0.00695991091314,
ME,ME,2015,November,Methadone (T40.3),37,37,100,0,
ME,ME,2015,December,Methadone (T40.3),37,37,100,0,
ME,ME,2016,January,Methadone (T40.3),34,34,100,0,
ME,ME,2016,February,Methadone (T40.3),32,32,100,0,
ME,ME,2016,March,Methadone (T40.3),33,33,100,0,
ME,ME,2016,April,Methadone (T40.3),32,32,100,0,
ME,ME,2016,May,Methadone (T40.3),34,34,100,0,
ME,ME,2016,June,Methadone (T40.3),35,35,100,0,
ME,ME,2016,July,Methadone (T40.3),33,33,100,0,
ME,ME,2016,August,Methadone (T40.3),35,35,100,0,
ME,ME,2016,September,Methadone (T40.3),33,33,100,0,
ME,ME,2016,October,Methadone (T40.3),32,32,100,0,
ME,ME,2016,November,Methadone (T40.3),34,34,100,0,
ME,ME,2016,December,Methadone (T40.3),39,39,100,0,
ME,ME,2017,January,Methadone (T40.3),40,40,100,0,Underreported due to incomplete data
ME,ME,2017,February,Methadone (T40.3),40,40,100,0,Underreported due to incomplete data
ME,ME,2017,March,Methadone (T40.3),39,39,100,0,Underreported due to incomplete data
ME,ME,2017,April,Methadone (T40.3),37,37,100,0,Underreported due to incomplete data
ME,ME,2017,May,Methadone (T40.3),33,33,100,0,Underreported due to incomplete data
ME,ME,2017,June,Methadone (T40.3),32,32,99.5+,0.006967670011148,Underreported due to incomplete data
ME,ME,2017,July,Methadone (T40.3),37,38,99.5+,0.006986167388571,Underreported due to incomplete data
ME,ME,2017,August,Methadone (T40.3),33,34,99.5+,0.00695458654983,Underreported due to incomplete data
ME,ME,2017,September,Methadone (T40.3),38,39,99.5+,0.006912760956726,Underreported due to incomplete data
ME,ME,2017,October,Methadone (T40.3),38,39,99.5+,0.006918500069185,Underreported due to incomplete data
ME,ME,2017,November,Methadone (T40.3),38,39,99.5+,0.006907031357922,Underreported due to incomplete data
ME,ME,2017,December,Methadone (T40.3),32,32,99.5+,0.006896551724138,Underreported due to incomplete data
ME,ME,2018,January,Methadone (T40.3),29,29,99.5+,0.006853070175439,Underreported due to incomplete data
ME,ME,2018,February,Methadone (T40.3),29,29,99.5+,0.006835269993165,Underreported due to incomplete data
ME,ME,2015,January,Natural & semi-synthetic opioids (T40.2),82,84,100,0.058706978792104,
ME,ME,2015,February,Natural & semi-synthetic opioids (T40.2),88,90,100,0.043336944745395,
ME,ME,2015,March,Natural & semi-synthetic opioids (T40.2),96,98,100,0.02877490827998,
ME,ME,2015,April,Natural & semi-synthetic opioids (T40.2),99,100,100,0.021439291074108,
ME,ME,2015,May,Natural & semi-synthetic opioids (T40.2),95,96,100,0.014262283391571,
ME,ME,2015,June,Natural & semi-synthetic opioids (T40.2),99,100,100,0.014269406392694,
ME,ME,2015,July,Natural & semi-synthetic opioids (T40.2),104,105,100,0.014232849416453,
ME,ME,2015,August,Natural & semi-synthetic opioids (T40.2),95,96,100,0.014105367092179,
ME,ME,2015,September,Natural & semi-synthetic opioids (T40.2),105,106,100,0.006994963626189,
ME,ME,2015,October,Natural & semi-synthetic opioids (T40.2),105,106,100,0.00695991091314,
ME,ME,2015,November,Natural & semi-synthetic opioids (T40.2),105,106,100,0,
ME,ME,2015,December,Natural & semi-synthetic opioids (T40.2),105,106,100,0,
ME,ME,2016,January,Natural & semi-synthetic opioids (T40.2),108,109,100,0,
ME,ME,2016,February,Natural & semi-synthetic opioids (T40.2),104,105,100,0,
ME,ME,2016,March,Natural & semi-synthetic opioids (T40.2),103,104,100,0,
ME,ME,2016,April,Natural & semi-synthetic opioids (T40.2),111,112,100,0,
ME,ME,2016,May,Natural & semi-synthetic opioids (T40.2),116,117,100,0,
ME,ME,2016,June,Natural & semi-synthetic opioids (T40.2),120,121,100,0,
ME,ME,2016,July,Natural & semi-synthetic opioids (T40.2),123,124,100,0,
ME,ME,2016,August,Natural & semi-synthetic opioids (T40.2),128,129,100,0,
ME,ME,2016,September,Natural & semi-synthetic opioids (T40.2),124,125,100,0,
ME,ME,2016,October,Natural & semi-synthetic opioids (T40.2),126,127,100,0,
ME,ME,2016,November,Natural & semi-synthetic opioids (T40.2),124,125,100,0,
ME,ME,2016,December,Natural & semi-synthetic opioids (T40.2),132,133,100,0,
ME,ME,2017,January,Natural & semi-synthetic opioids (T40.2),129,129,100,0,Underreported due to incomplete data
ME,ME,2017,February,Natural & semi-synthetic opioids (T40.2),128,129,100,0,Underreported due to incomplete data
ME,ME,2017,March,Natural & semi-synthetic opioids (T40.2),123,124,100,0,Underreported due to incomplete data
ME,ME,2017,April,Natural & semi-synthetic opioids (T40.2),115,116,100,0,Underreported due to incomplete data
ME,ME,2017,May,Natural & semi-synthetic opioids (T40.2),108,108,100,0,Underreported due to incomplete data
ME,ME,2017,June,Natural & semi-synthetic opioids (T40.2),96,97,99.5+,0.006967670011148,Underreported due to incomplete data
ME,ME,2017,July,Natural & semi-synthetic opioids (T40.2),93,94,99.5+,0.006986167388571,Underreported due to incomplete data
ME,ME,2017,August,Natural & semi-synthetic opioids (T40.2),90,92,99.5+,0.00695458654983,Underreported due to incomplete data
ME,ME,2017,September,Natural & semi-synthetic opioids (T40.2),89,91,99.5+,0.006912760956726,Underreported due to incomplete data
ME,ME,2017,October,Natural & semi-synthetic opioids (T40.2),86,87,99.5+,0.006918500069185,Underreported due to incomplete data
ME,ME,2017,November,Natural & semi-synthetic opioids (T40.2),85,86,99.5+,0.006907031357922,Underreported due to incomplete data
ME,ME,2017,December,Natural & semi-synthetic opioids (T40.2),78,78,99.5+,0.006896551724138,Underreported due to incomplete data
ME,ME,2018,January,Natural & semi-synthetic opioids (T40.2),75,75,99.5+,0.006853070175439,Underreported due to incomplete data
ME,ME,2018,February,Natural & semi-synthetic opioids (T40.2),75,76,99.5+,0.006835269993165,Underreported due to incomplete data
ME,ME,2015,January,Number of Deaths,13627,,100,0.058706978792104,
ME,ME,2015,February,Number of Deaths,13845,,100,0.043336944745395,
ME,ME,2015,March,Number of Deaths,13901,,100,0.02877490827998,
ME,ME,2015,April,Number of Deaths,13993,,100,0.021439291074108,
ME,ME,2015,May,Number of Deaths,14023,,100,0.014262283391571,
ME,ME,2015,June,Number of Deaths,14016,,100,0.014269406392694,
ME,ME,2015,July,Number of Deaths,14052,,100,0.014232849416453,
ME,ME,2015,August,Number of Deaths,14179,,100,0.014105367092179,
ME,ME,2015,September,Number of Deaths,14296,,100,0.006994963626189,
ME,ME,2015,October,Number of Deaths,14368,,100,0.00695991091314,
ME,ME,2015,November,Number of Deaths,14367,,100,0,
ME,ME,2015,December,Number of Deaths,14324,,100,0,
ME,ME,2016,January,Number of Deaths,14129,,100,0,
ME,ME,2016,February,Number of Deaths,13952,,100,0,
ME,ME,2016,March,Number of Deaths,13897,,100,0,
ME,ME,2016,April,Number of Deaths,13868,,100,0,
ME,ME,2016,May,Number of Deaths,13964,,100,0,
ME,ME,2016,June,Number of Deaths,14059,,100,0,
ME,ME,2016,July,Number of Deaths,14044,,100,0,
ME,ME,2016,August,Number of Deaths,14005,,100,0,
ME,ME,2016,September,Number of Deaths,13937,,100,0,
ME,ME,2016,October,Number of Deaths,13923,,100,0,
ME,ME,2016,November,Number of Deaths,13983,,100,0,
ME,ME,2016,December,Number of Deaths,14069,,100,0,
ME,ME,2017,January,Number of Deaths,14135,,100,0,Underreported due to incomplete data
ME,ME,2017,February,Number of Deaths,14221,,100,0,Underreported due to incomplete data
ME,ME,2017,March,Number of Deaths,14322,,100,0,Underreported due to incomplete data
ME,ME,2017,April,Number of Deaths,14440,,100,0,Underreported due to incomplete data
ME,ME,2017,May,Number of Deaths,14335,,100,0,Underreported due to incomplete data
ME,ME,2017,June,Number of Deaths,14352,,99.5+,0.006967670011148,Underreported due to incomplete data
ME,ME,2017,July,Number of Deaths,14314,,99.5+,0.006986167388571,Underreported due to incomplete data
ME,ME,2017,August,Number of Deaths,14379,,99.5+,0.00695458654983,Underreported due to incomplete data
ME,ME,2017,September,Number of Deaths,14466,,99.5+,0.006912760956726,Underreported due to incomplete data
ME,ME,2017,October,Number of Deaths,14454,,99.5+,0.006918500069185,Underreported due to incomplete data
ME,ME,2017,November,Number of Deaths,14478,,99.5+,0.006907031357922,Underreported due to incomplete data
ME,ME,2017,December,Number of Deaths,14500,,99.5+,0.006896551724138,Underreported due to incomplete data
ME,ME,2018,January,Number of Deaths,14592,,99.5+,0.006853070175439,Underreported due to incomplete data
ME,ME,2018,February,Number of Deaths,14630,,99.5+,0.006835269993165,Underreported due to incomplete data
ME,ME,2015,January,Number of Drug Overdose Deaths,213,216,100,0.058706978792104,
ME,ME,2015,February,Number of Drug Overdose Deaths,218,221,100,0.043336944745395,
ME,ME,2015,March,Number of Drug Overdose Deaths,230,232,100,0.02877490827998,
ME,ME,2015,April,Number of Drug Overdose Deaths,243,245,100,0.021439291074108,
ME,ME,2015,May,Number of Drug Overdose Deaths,239,241,100,0.014262283391571,
ME,ME,2015,June,Number of Drug Overdose Deaths,238,240,100,0.014269406392694,
ME,ME,2015,July,Number of Drug Overdose Deaths,253,255,100,0.014232849416453,
ME,ME,2015,August,Number of Drug Overdose Deaths,245,247,100,0.014105367092179,
ME,ME,2015,September,Number of Drug Overdose Deaths,258,260,100,0.006994963626189,
ME,ME,2015,October,Number of Drug Overdose Deaths,265,267,100,0.00695991091314,
ME,ME,2015,November,Number of Drug Overdose Deaths,271,272,100,0,
ME,ME,2015,December,Number of Drug Overdose Deaths,267,268,100,0,
ME,ME,2016,January,Number of Drug Overdose Deaths,270,271,100,0,
ME,ME,2016,February,Number of Drug Overdose Deaths,271,272,100,0,
ME,ME,2016,March,Number of Drug Overdose Deaths,279,280,100,0,
ME,ME,2016,April,Number of Drug Overdose Deaths,290,292,100,0,
ME,ME,2016,May,Number of Drug Overdose Deaths,303,305,100,0,
ME,ME,2016,June,Number of Drug Overdose Deaths,327,329,100,0,
ME,ME,2016,July,Number of Drug Overdose Deaths,334,336,100,0,
ME,ME,2016,August,Number of Drug Overdose Deaths,345,347,100,0,
ME,ME,2016,September,Number of Drug Overdose Deaths,342,344,100,0,
ME,ME,2016,October,Number of Drug Overdose Deaths,337,339,100,0,
ME,ME,2016,November,Number of Drug Overdose Deaths,341,343,100,0,
ME,ME,2016,December,Number of Drug Overdose Deaths,357,359,100,0,
ME,ME,2017,January,Number of Drug Overdose Deaths,368,367,100,0,Underreported due to incomplete data
ME,ME,2017,February,Number of Drug Overdose Deaths,366,366,100,0,Underreported due to incomplete data
ME,ME,2017,March,Number of Drug Overdose Deaths,368,368,100,0,Underreported due to incomplete data
ME,ME,2017,April,Number of Drug Overdose Deaths,375,375,100,0,Underreported due to incomplete data
ME,ME,2017,May,Number of Drug Overdose Deaths,369,369,100,0,Underreported due to incomplete data
ME,ME,2017,June,Number of Drug Overdose Deaths,356,358,99.5+,0.006967670011148,Underreported due to incomplete data
