Genes	Diseases	Mutations	Chemicals	Species	PMID
Prdm12>59335,TrkA>18211,TrkA>4914,PRDM12>59335,Prdm12>381359,Neurogenin1/2>18014;11924	congenital insensitivity to pain>MESH:D000699,CIP>MESH:D010259,pain>MESH:D010146			humans>9606,patients>9606,mice>10090	30917309
	Mitosis>OMIM:604588,tumor>MESH:D009369,melanomas>MESH:D008545		OCA>MESH:C070580	canine>9615,patient>9606	30915258
	Cancer>MESH:D009369,cancer>MESH:D009369				30914576
LEF1>51176,FASLG>356,MMP9>4318	tumor>MESH:D009369,cancer>MESH:D009369,clear cell renal cell carcinoma>MESH:D002292,multi-cancer>MESH:D009369			patients>9606	30912767
EGFR>1956,KRAS>3845	lung cancer>MESH:D008175,Cancer>MESH:D009369		CDM>MESH:C039461,G-CDM>MESH:C039461,OMOP-CDM>MESH:C039461	patient>9606,Human>9606,patients>9606	30912749
	breast cancer>MESH:D001943,tumors>MESH:D009369,cancer>MESH:D009369		fluorouracil>MESH:D005472,cytosine>MESH:D003596,fluorocytosine>MESH:D005437	mouse>10090,clinical samples>88229	30912515
	circling words>MESH:C536991			patients>9606,PARTICIPANTS>9606,patient>9606,participants>9606,participant>9606	30912032
TP53>7157,KRAS>3845,CDKN2A>1029,PIK3CA>5290,BRAF>673,SMAD4>4089,NRAS>4893,IDH1>3417	Biliary Tract Cancer>MESH:D001661,Biliary tract cancer>MESH:D001661,malignant tumor>MESH:D009369,cancer>MESH:D009369,tumor>MESH:D009369,adenocarcinomas>MESH:D000230,adenosquamous carcinomas>MESH:D018196,gallbladder carcinoma>MESH:D005706,intrahepatic cholangiocarcinoma>MESH:C535533,extrahepatic cholangiocarcinoma>MESH:D018281			patients>9606,patient>9606	30908307
	cell leukemia>MESH:D015448,aggressive hematological malignancies>MESH:D019337,neoplastic disorder>MESH:D009386			patients>9606	30905220
	heart failure>MESH:D006333,atrial fibrillation>MESH:D001281			patient>9606,patients>9606,Patient>9606	30903152
epidermal growth factor receptor>1956,EGFR>1956,ALK>238,ERBB2>2064,BRAF>673,RET>5979,ROS1>6098,CDKN2A>1029,NTRK3>4916,TSC2>7249,KRAS>3845	Non-Small Cell Lung Cancer>MESH:D002289,Non-small cell lung cancer>MESH:D002289,NSCLC>MESH:D002289,malignancies>MESH:D009369,cancer>MESH:D009369,death>MESH:D003643,lung cancer>MESH:D008175,adenocarcinoma>MESH:D000230,tumor>MESH:D009369,Cancer>MESH:D009369,non-small cell lung cancer>MESH:D002289		formalin>MESH:D005557	human>9606,patients>9606	30902917
	Zika virus spillover infection>MESH:D014412,spillover infection>MESH:D007239			Zika virus>64320,ZIKV>64320,humans>9606,human>9606	30902616
	traumatic brain injury>MESH:D001930			patients>9606,patient>9606	30902117
ERG>2078,TNIK>23043,TMPRSS2>7113,Traf2>7186,Nck-interacting kinase>9448	Prostate Cancer>MESH:D011471,prostate cancers>MESH:D011471,Kinases>MESH:D058495,cancers>MESH:D009369,prostate cancer>MESH:D011471,localized prostate cancer>MESH:D011471		serine>MESH:C047902,NCB-0846>No Data	patient>9606,patients>9606	30901730
Tumor-Agnostic NTRK>4914,TRK>4914,PDF>64146	cancer>MESH:D009369,tumor>MESH:D009369				30901551
	cancer>MESH:D009369,cancer dependencies>MESH:D009369			human>9606,patients>9606,patient>9606	30901264
aid>57379					30900811
	Cancer>MESH:D009369,cancer>MESH:D009369				30898260
KIT>3815,KRAS>3845,TP53>7157,MDM2>4193,beta-catenin>1499	tumor>MESH:D009369,cell tumors>MESH:D005935,malignancy>MESH:D009369,solid tumors>MESH:D009369,cancer>MESH:D009369		platinum>MESH:D010984	men>9606,patients>9606	30896089
	cancer>MESH:D009369			patients>9606,Patients>9606	30895868
IL10RA>3587,CYBB>1536,SLC5A1>6523	congenital diarrhea>MESH:D003967,enteropathy>MESH:C538273,diarrhea and enteropathy>MESH:D003967,bloody diarrhea>MESH:D003967,FOXP3 deficiency; pancreatic enzyme>MESH:D010195,SBDS or UBR1 deficiency>No Data		CODE>MESH:C066096	children>9606,Patients>9606,patients>9606	30894704
EGFR>1956,KRAS>3845,ERBB2>2064	advanced lung cancers>MESH:D008175,cancer>MESH:D009369,non-small-cell lung cancers>MESH:D002289,NSCLC>MESH:D002289,hematopoiesis>MESH:C536227,tumor>MESH:D009369			patients>9606,PATIENTS>9606	30891595
SHH>6469	Medulloblastoma Subgroups>MESH:D008527,Medulloblastoma>MESH:D008527,pediatric malignant brain tumor>MESH:D001932,aggressiveness of the tumor>MESH:D001523,tumor>MESH:D009369,MB tumors>OMIM:613729,tumors>MESH:D009369,medulloblastoma tumors>MESH:D008527,medulloblastoma pathology>MESH:D008527			patients>9606	30890619
epidermal growth factor receptor>1956,EGFR>1956,anaplastic lymphoma kinase>238,ALK>238,programmed death ligand-1>29126,PD-L1>29126	Lung Cancer>MESH:D008175,non-small cell lung cancers>MESH:D002289,NSCLC>MESH:D002289,tumour>MESH:D009369			patients>9606	30889898
			formalin>MESH:D005557,PATH>MESH:C450799		30888490
	Lung Carcinoma>MESH:D008175,lung carcinoma>MESH:D008175,molecular>MESH:D030342,lung carcinoma especially>MESH:D008175,insufficient tumor>MESH:D007018			patients>9606,patient>9606	30887015
				Patient>9606,patients>9606,outpatient>9606,patient>9606	30883954
				HIV-1>11676	30882486
vascular endothelial growth factor-A>7422,VEGF-A>7422,AXL>558,EGFR>1956	Clear Cell Renal Cell Carcinoma>MESH:D002292,Clear cell renal cell carcinoma>MESH:D002292,renal cancers>MESH:D007680,failure>MESH:D017093,tumor>MESH:D009369,tumors>MESH:D009369,cancer>MESH:D009369,renal cell cancers>MESH:D002292		sunitinib>MESH:C473478,tyrosine>No Data	patients>9606	30881919
EGFR>1956	cell lung cancer>MESH:D008175,lung cancer>MESH:D008175,NSCLC>MESH:D002289,tumor>MESH:D009369		osimertinib>No Data,crizotinib>MESH:C551994,tyrosine>No Data,erlotinib>MESH:C400278,cabozantinib>MESH:C558660	patient>9606,patients>9606	30881166
	ICH>MESH:D002543			Patients>9606,patients>9606,patient>9606	30879341
Drak>32097,EGFR>37455,STK17A>9263	Signaling Axis in Glioblastoma>MESH:D005909,glioblastoma>MESH:D005909,malignant brain tumor>MESH:D001932,Drosophila GBM>MESH:D005910,axis attenuated mitosis>MESH:C538265		serine>MESH:C047902,threonine>MESH:C061951	Goose>8847,human>9606	30877099
MAP3K8>1326	Spitzoid Melanoma>MESH:D008545,spitzoid melanomas>MESH:D008545,melanomas>MESH:D008545				30877083
	cancer>MESH:D009369,tumor>MESH:D009369,colorectal cancer>MESH:D015179			patients>9606	30872730
Fog>161882	primary cardiovascular disease>MESH:D002318,cardiovascular disease>MESH:D002318			patients>9606,Patient>9606	30872547
KIR2DL2>3803,KIR3DL1>3811,KIR>3811	Follicular lymphoma>MESH:D008224,low-tumor-burden follicular-lymphoma>MESH:D008224,neuroblastoma>MESH:D009447,tumor>MESH:D009369			patients>9606,children>9606	30871628
	Cancer>MESH:D009369			Human>9606,human>9606	30871467
TRAM>23471	ASPS>MESH:D018234,gynecomastia>MESH:D006177			patient>9606	30870175
NET>2004,G1/G2 GEP-NET>5544;200575;2004,mTOR>2475,mammalian target of rapamycin>2475	gastro-enteropancreatic>MESH:C535650,neuroendocrine tumors>MESH:D018358,tumor>MESH:D009369,pancreatic>MESH:D010195,tumors>MESH:D009369,endocrine neoplasia syndrome>MESH:D009377,neuroendocrine tumor>MESH:D018358,pancreatic neuroendocrine tumors>MESH:D018358		everolimus>MESH:C107135,deoxyribonucleic acid>MESH:D000596	patients>9606,MEN>9606	30865533
CDKN2A>1029,KRAS>3845,PIK3CA>5290,CCND1>595	cancer>MESH:D009369,hematological advanced cancer>MESH:D009369,tumor>MESH:D009369			patients>9606,PATIENTS>9606	30865223
interferon-beta>3456	Multiple Sclerosis>MESH:D009103,multiple sclerosis>MESH:D009103,PMID number>MESH:D007674		glatiramer acetate>MESH:C089995,mitoxantrone>MESH:D008942	patient>9606,patients>9606	30863357
PMPCB>9512,EpCAM>4072,AFP>174,beta-catenin>1499	Hepatocellular Carcinoma>MESH:D006528,Hepatocellular carcinoma>MESH:D006528,tumor>MESH:D009369,HCC tumors>MESH:D006528		oxygen>MESH:D010100	Patients>9606	30862714
				patient>9606	30860985
	cancer>MESH:D009369,Lynch syndrome>MESH:D003123,colorectal cancer>MESH:D015179,polyps>MESH:D011127,cancers>MESH:D009369,adenoma-carcinoma>MESH:D000236,breast cancer>MESH:D001943			patients>9606	30858900
				patients>9606,Patients>9606,patient>9606	30858258
	cancer>MESH:D009369,prostate cancer>MESH:D011471,breast cancer tumours>MESH:D001943,breast cancer>MESH:D001943			patients>9606	30854249
	infectious diseases>MESH:D003141,Infectious diseases>MESH:D003141,malaria parasites>MESH:D008288			patient>9606,human immunodeficiency virus>12721,HIV>12721,human papillomavirus>10566,HPV>10566,Ebola>1570291	30853460
				children>9606	30851990
PD-L1>60533,B7-H3>102657,CD20>12482	small cell lung Cancer>MESH:D055752,SCLC>MESH:D018288,Small cell lung cancer>MESH:D055752,lung malignancies>MESH:D008175,malignancy>MESH:D009369,tumor>MESH:D009369,non-small cell lung cancer>MESH:D002289			human>9606	30850021
	pancreatic tumor>MESH:D010190,Pancreatic ductal adenocarcinoma>MESH:D021441,cancers>MESH:D009369,Sensitizing tumor>MESH:D009369,tumor>MESH:D009369,increase BFC combination toxicity>MESH:D064420		resveratrol>MESH:C059514,capsaicin>MESH:D002211,oxygen>MESH:D010100	mouse>10090	30849482
	Schizophrenia>MESH:D012559,psychiatric>MESH:D001523,schizophrenia>MESH:D012559			human>9606	30848926
	Type 2 diabetes>MESH:D003924,Diabetes>MESH:D003920,microvascular complications of diabetes>OMIM:603933,hyperglycaemia>No Data,diabetes>MESH:D003920,hyperglycaemia and hypoglycaemia>No Data		glucose>MESH:D005947		30848545
	cancers>MESH:D009369,cancer>MESH:D009369,gynecological tumors>MESH:D005833,tumor>MESH:D009369,endometrial cancer>MESH:D016889,ovarian cancers>MESH:D010051,vulvar cancer>MESH:D014846			women>9606,patient>9606,patients>9606	30848097
	cancer>MESH:D009369,tumor>MESH:D009369			patients>9606	30847023
	lower extremity peripheral artery disease>MESH:D058729,bifurcation lesion>MESH:C537283,diabetes>MESH:D003920,hypertension>MESH:D006973,limb ischemia>MESH:D007511,malignancy>MESH:D009369			Patient>9606,patient>9606,patients>9606	30846087
	breast cancer>MESH:D001943			women>9606,patients>9606	30844741
	cancer>MESH:D009369,tumors>MESH:D009369,tumor>MESH:D009369			patients>9606	30844512
				Patients>9606,Patient>9606,patients>9606,person>9606,PARTICIPANTS>9606,patient>9606	30844080
PRKD1>5587,PRKD2>25865,PIK3CA>5290,SETD2>29072,ARID1A>8289,NOTCH2>4853	adenocarcinoma>MESH:D000230,tumours>MESH:D009369,tumour>MESH:D009369,cancer>MESH:D009369		PAC>MESH:C054549,PACs>MESH:C406277	patients>9606	30843621
				Persons>9606,people>9606,persons>9606	30839279
	breast cancer>MESH:D001943,cancers>MESH:D009369,lymphedema>MESH:D008209,long-term breast cancer>MESH:D001943,cancer>MESH:D009369			Patient>9606,patients>9606,patient>9606	30839106
TP53>7157,p53>7157	tumor>MESH:D009369,cancer>MESH:D009369,cancers>MESH:D009369,breast cancer>MESH:D001943,tumors>MESH:D009369		proline>MESH:C489032,serine>MESH:C047902,2-deoxy-glucose>MESH:D003847	human>9606,mouse>10090,mice>10090,women>9606	30838093
Focal Adhesion Kinase>5747,focal adhesion kinase>5747,FAK>5747,AKT>207	Esophageal Cancer>MESH:D004938,cancer>MESH:D009369,tumor>MESH:D009369,esophageal squamous cell carcinoma>MESH:C562729,adenocarcinoma>MESH:D000230		Glucose>MESH:D005947,Phosphohistidine>No Data,glucose>MESH:D005947,phosphoenolpyruvate>MESH:D010728,phosphohistidine>No Data,histidine>MESH:C115717,bromodeoxyuridine>MESH:D001973,5-ethynyl-2'-deoxyuridine>MESH:C031086,phosphatidylinositol>MESH:D010716	human>9606,donor>9606	30836148
KRAS>3845,TP53>7157,CDKN2A>1029,SMAD4>4089,FGF23>8074,CCND2>894,PIK3CA>5290,FGF6>2251	Pancreatic Ductal Adenocarcinomas Identifies Genetic Alterations>MESH:D021441,pancreatic ductal adenocarcinomas>MESH:D021441,cancer>MESH:D009369,intraductal papillary mucinous neoplasm>MESH:D002285,tumor>MESH:D009369,intraductal papillary mucinous neoplasms into malignancies>MESH:D002285		Be>No Data,TMB>MESH:D014289,tyrosine>No Data	patients>9606	30836094
MEK>5609,GOLGA4>2803,RAF1>5894,BRAF>673,CRAF>5894,MAPK>5594,CTNNB1>1499,CDKN2A>1029,CTLA4>1493,PD1>5133,ERK>5594,RAF>22882,ETV5>2119	cutaneous melanoma>MESH:C562393,cancer>MESH:D009369,melanomas>MESH:D008545,melanoma>MESH:D008545,tumor>MESH:D009369,cancers>MESH:D009369			patient>9606	30835257
	cancers>MESH:D009369,tumor>MESH:D009369			patients>9606,patient>9606,Patients>9606	30833487
	NSCLC>MESH:D002289,non-small cell lung cancer>MESH:D002289			patients>9606	30833376
	Drug Abuse>MESH:D019966			participants>9606	30832690
	psychosocial>MESH:C535569			participant>9606	30832520
	tumor>MESH:D009369,intrinsic tumor>MESH:C563242			patient>9606,patients>9606	30831050
				Participants>9606,participants>9606	30830824
PTEN>5728,FGFR2>2263,RAD51>5888,Pten>19211	Glioma Radiation>MESH:D005910,glioblastoma>MESH:D005909,GBM>MESH:D005909,tumors>MESH:D009369		Tyrosine>No Data,tyrosine>No Data	patients>9606,mice>10090	30827889
	cancer>MESH:D009369				30827888
androgen receptor>367,mTORC1>382056,ATF4>468	PKClambda/iota Deficiency Promotes Neuroendocrine Prostate Cancer>MESH:D011471,neuroendocrine prostate cancer>MESH:D011471,NEPC>MESH:D011471,prostate cancer>MESH:D011471,PCa>MESH:D011471,PKClambda/iota deficiency>No Data		Serine>MESH:C047902,Carbon>MESH:D002244,serine>MESH:C047902,S-adenosyl methionine>MESH:C468227,SAM>MESH:C468227		30827887
	tumor>MESH:D009369,ovarian>MESH:D010049,carcinomas>MESH:D002277,carcinosarcoma of the ovary>MESH:D002296			patient>9606	30820473
FGFR3>2261	Thyroid dysfunction>MESH:D013959,hypothyroidism>MESH:D007037,advanced urothelial cancer>MESH:D014523,urothelial carcinoma>MESH:D014523,tumor>MESH:D009369,hypothyroidism symptoms>MESH:D051271,small bowel obstruction>MESH:D007409,thyroid dysfunction>MESH:D013959		AZD4547>MESH:C572463,gemcitabine>MESH:C056507,carboplatin>MESH:D016190,levothyroxine>MESH:D013974	patient>9606,patients>9606	30820365
PD-L1>29126	Non-Small Cell Lung Cancer>MESH:D002289,Cancer>MESH:D009369,cancer>MESH:D009369,tumor>MESH:D009369,NSCLC>MESH:D002289		CGP>MESH:C428863	Patients>9606,Participants>9606,patients>9606	30816954
				patient>9606	30816060
	type 2 diabetes>MESH:D003924,asthma>MESH:D001249			patients>9606,children>9606,participants>9606,patient>9606	30815126
	Cancer>MESH:D009369			Patient>9606,patients>9606,participants>9606	30815054
scatter factor receptor>4233	Metastases>MESH:D009362,Cancer>MESH:D009369,genetic disease>MESH:D030342,tumours>MESH:D009369,neoplasia>MESH:D009369,metastases>MESH:D009362,lung cancer>MESH:D008175,tumour>MESH:D009369				30813513
			PhRMA>MESH:C084701	patient>9606,participants>9606	30810077
EZH2>2146,TET1>80312,HER2>2064,EZH2>14056,TET1>52463,p53>7157	Breast Cancer>MESH:D001943,breast cancer>MESH:D001943,tumor>MESH:D009369,TNBC tumor>MESH:D009369		Adriamycin>MESH:D004317	patients>9606,patient>9606,mouse>10090,Patients>9606	30809307
EGFR>1956,ALK>238,ROS1>6098,RET>5979,HER2>2064,SHP2>5781,BRAF>673,NF1>4763	Non-small Cell Lung Cancer>MESH:D002289,cancer>MESH:D009369,non-small cell lung cancer>MESH:D002289,NSCLC>MESH:D002289,lung cancer>MESH:D008175		tyrosine>No Data	patients>9606,patient>9606	30806814
	obesity>MESH:D009765,dental caries>MESH:D003731,academic>MESH:D007859			children>9606,child>9606	30801726
			AIDO>No Data,AIDO algorithm>MESH:C087529		30801254
	cancers>MESH:D009369,breast cancers>MESH:D001943,serous ovarian cancers>MESH:D010051,aggressive behavior>MESH:D001523,cancer>MESH:D009369,tumor>MESH:D009369				30798931
A beta>351	throat infections>MESH:C538390,infectious disease>MESH:D003141,throat infection>MESH:C538390,pain>MESH:D010146,allergies>MESH:D004342,fever>MESH:D005334,aphthous stomatitis>MESH:D013281,pharyngitis>MESH:D010612,adenitis>MESH:D008199,obstructive sleep-disordered breathing>MESH:D012891,tonsillar hypertrophy>MESH:D006984,growth retardation>MESH:D006130,enuresis>MESH:D004775,obesity>MESH:D009765,craniofacial abnormalities>MESH:D019465,neuromuscular disorders>MESH:D009468,sickle cell disease>MESH:D000755,obstructive sleep apnea>MESH:D020181,sleep-disordered breathing>MESH:D012891,apnea-hypopnea>MESH:D020181,bleeding>MESH:D006470,primary bleeding>MESH:D006470,adenopathy>MESH:D009377,infection>MESH:D007239		dexamethasone>MESH:D003907,ibuprofen>MESH:D007052,acetaminophen>MESH:D000082,PFAPA>No Data,oxygen>MESH:D010100,codeine>MESH:D003061	Children>9606,children>9606,patients>9606,patient>9606,child>9606	30798778
	Diabetes>MESH:D003920,diabetes>MESH:D003920			patient>9606,Participants>9606,participants>9606	30794316
	breast cancer>MESH:D001943,cancer>MESH:D009369,lung cancer>MESH:D008175			Patients>9606,patients>9606	30792813
	cancers>MESH:D009369,tumor>MESH:D009369		Phospho>MESH:C033601,formalin>MESH:D005557,paraffin>MESH:D010232		30790462
	infection>MESH:D007239			patients>9606,Patients>9606	30789799
	infection>MESH:D007239,venous thromboembolism>MESH:D054556,death>MESH:D003643,cardiac arrest>MESH:D006323,organ failure>MESH:D009102,Labor neuraxial analgesia>MESH:D000699				30789362
CDC73>79577,MEN1>4221	Parathyroid Cancer>MESH:D010282,sporadic parathyroid carcinoma>MESH:D010282,tumor>MESH:D009369,MD Anderson Cancer>MESH:D009369,parathyroid tumors of uncertain malignancy>MESH:D009369,parathyroid neoplasms>MESH:D010282,PC tumors>MESH:D015324		formalin>MESH:D005557,paraffin>MESH:D010232	Patients>9606,patients>9606	30788456
HRAS>3265,TRPML1>57192,MCOLN1>57192,ERK>5594	cancer>MESH:D009369,HRAS-positive tumors>MESH:D009369,cancers>MESH:D009369		cholesterol>MESH:D002784	patient>9606	30787043
	cancer>MESH:D009369,Cancer>MESH:D009369,genetic disease>MESH:D030342,toxicities>MESH:D064420,tumour>MESH:D009369				30783251
	Breast Cancer>MESH:D001943,tumor>MESH:D009369,breast cancer>MESH:D001943			human>9606,patients>9606,patient>9606	30781720
	Glioblastoma>MESH:D005909,brain tumor>MESH:D001932,glioma>MESH:D005910,glioblastoma cultures>MESH:D005909,tumor>MESH:D009369		(MeV)>MESH:D014639	Measles Virus>11234,measles virus>11234	30775418
	immunodeficiency virus (HIV), and hepatitis C virus (HCV) infection>MESH:D006526			people>9606	30765139
insulin>3630	dysglycemia-based chronic disease>MESH:D019292,diabetes>MESH:D003920,endocrine disease>MESH:D004700,cardiovascular disease>MESH:D002318,metabolic syndrome>MESH:D008659		glucose>MESH:D005947	patient>9606	30763128
	lung cancers>MESH:D008175,non-small-cell lung cancer>MESH:D002289,NSCLC>MESH:D002289,tumor>MESH:D009369		crizotinib>MESH:C551994,cabozantinib>MESH:C558660	patients>9606,patient>9606	30762593
			methane>MESH:D008697,CH4>MESH:C103208		30759153
	Pain>MESH:D010146,pain>MESH:D010146			patients>9606	30758215
Mena>55740,CD44>960	tumor>MESH:D009369,Acidosis>MESH:D000138,acidosis>MESH:D000138,tumors>MESH:D009369,hypoxic areas>MESH:D000860		AU>MESH:C107055		30755444
	atrial fibrillation>MESH:D001281,venous thromboembolism>MESH:D054556,stroke>MESH:D020521,bleeding>MESH:D006470,thromboembolic>MESH:D013923,cardiovascular comorbidities>MESH:D002318,hemorrhagic>MESH:D006470,ischemic>MESH:D007511			patients>9606	30755150
			tolbutamide>MESH:D014044,(S)-mephenytoin>MESH:D008617		30745309
	Hepatitis>MESH:D056486,HIV, Viral Hepatitis>MESH:D006525,Viral Hepatitis>MESH:D006525			people>9606,hepatitis C virus>11103,HCV>11103,patient>9606,participants>9606	30743093
	cancer>MESH:D009369,NGS>No Data,tumor>MESH:D009369,solid tumors>MESH:D009369				30742731
	tumor>MESH:D009369,colorectal cancer>MESH:D015179,Colorectal cancer>MESH:D015179,CRC>MESH:D015179,cancer>MESH:D009369,advancement>MESH:D020178,tumors>MESH:D009369,metastatic tumors>MESH:D018223,necrosis>MESH:D009336			patients>9606	30742729
				Women>9606,women>9606,child>9606	30741804
	MCH>No Data			Child>9606,child>9606	30741189
				Patient>9606,patient>9606	30739070
ESR1>2099,FOXA1>3169	breast cancer>MESH:D001943,Breast cancer>MESH:D001943,invasive cancer>MESH:D009362,cancer>MESH:D009369,tumors>MESH:D009369,tumor>MESH:D009369,Droplet digital>MESH:D058066			women>9606,patients>9606,patient>9606	30736836
	ADHD>MESH:D001289,Attention-Deficit/Hyperactivity Disorder>MESH:D001289			Children>9606,children>9606,patient>9606,patients>9606	30736492
				patient>9606	30736047
	Lymphedema>MESH:D008209,Breast cancer>MESH:D001943,death>MESH:D003643,lymphedema>MESH:D008209,linfedema>No Data			Patient>9606,patients>9606,patient>9606	30730864
ATM>472,BRCA1>672,CDH1>999,CHEK2>11200,MSH2>4436,MSH6>2956,NF2>4771,TP53>7157	Advanced Colorectal Cancer Undergoing Tumor>MESH:D015179,colorectal cancer>MESH:D015179,cancer>MESH:D009369,tumor>MESH:D009369,hereditary cancer>MESH:D009386			Patients>9606,PATIENTS>9606,patients>9606	30730459
	cancer>MESH:D009369,hereditary cancer>MESH:D009386			human>9606,patients>9606	30728895
PIK3CA>5290,EGFR>1956,AKT3>10000,FGFR1>2260,ERBB2>2064,ERBB3>2065,ESR1>2099	breast cancer>MESH:D001943,cancer>MESH:D009369,Neoplasia>MESH:D009369,invasive ductal carcinoma>MESH:D044584,tumor>MESH:D009369				30728399
	pain>MESH:D010146,atraumatic shoulder pain>MESH:D020069,subacromial pain syndrome>MESH:D019534,analgesia>MESH:D000699			patients>9606,patient>9606	30728120
LSD1>23028,Lysine-specific histone demethylase 1A>23028,KDM1A>23028,ASCL1>429,NOTCH1>4851	small cell lung cancer>MESH:D055752,Small cell lung cancer>MESH:D055752,SCLC>MESH:D018288,aggressive neuroendocrine-type cancer>MESH:D009369,nonsmall cell lung cancer>MESH:D002289,NSCLC>MESH:D002289,tumor>MESH:D009369		ORY-1001>MESH:C525167,PDX>MESH:C113421	patient>9606	30723171
	death>MESH:D003643			Patient>9606,patients>9606	30719644
	Metastatic Mammary Carcinoma>MESH:D001943,breast cancer>MESH:D001943,tumour>MESH:D009369,carcinoma>MESH:D002277		MMC>MESH:D016685	Dogs>9615,human>9606,canine>9615,dogs>9615,patients>9606	30717110
ERBB2>2064,BRCA1/2>672;675,PIK3CA>5290,ESR1>2099,PTEN>5728,AKT1>207,BRCA 1/2>672;675,MDM2>4193,ERBB 3>2065,FGFR1>2260,CCND1>595	breast cancer>MESH:D001943,tumor>MESH:D009369			patients>9606	30715161
	autism spectrum disorders>MESH:D002659,Autism spectrum disorder>MESH:D002659,ASD>MESH:D001321,autism ASD>MESH:D001321				30714773
	metabolic diseases>MESH:D008659		fatty acids>MESH:D005227,fatty acid methyl ester>MESH:D005227,unsaturated fatty acids>MESH:D005231,EPA>MESH:C062422,DHA>MESH:C111716		30712563
	Heart Failure>MESH:D006333,health failure>OMIM:603663,heart failure>MESH:D006333,Heart failure>MESH:D006333			patients>9606,patient>9606	30712145
				Patient>9606,women>9606,participants>9606,Participants>9606,patients>9606,patient>9606,Women>9606	30711352
	WGS>No Data,Alzheimer's disease>MESH:D000544,colon cancer>MESH:D015179			participants>9606,Participants>9606,patient>9606	30710467
NFATc2>4773,EZH2>2146,EMT>3702,AXL>558,c-Myc>4609,FOXM1>2305,MITF>4286,NFATc2>18019,BRAF>673,NRAS>4893	melanoma>MESH:D008545,invasive melanoma>MESH:D008545,melanoma lesions>MESH:D008545,impaired melanoma>MESH:D008545,tumor>MESH:D009369,SCID>MESH:D053632			patients>9606,mice>10090	30710146
LMNA>4000,NTRK1>4914	infantile fibrosarcoma>MESH:D005354,fibrosarcoma>MESH:D005354,sarcoma>MESH:D012509,enlarging tumor>MESH:D006332,refractory malignancies>MESH:D000753		crizotinib>MESH:C551994,IFS>MESH:D007069	children>9606,Patients>9606,patient>9606,patients>9606	30709876
	RA>MESH:D001172,AD>MESH:D000544,ongoing implementation>MESH:C567887			participant>9606	30709368
Aid>57379,aid>57379				donor>9606	30709093
RAF>22882,TP53>7157,CEA>1084,EGFR>1956,KRAS>3845	Metastatic Colorectal Cancer>MESH:D015179,colorectal cancer>MESH:D015179,cancer>MESH:D009369,APC>MESH:D011125,tumor>MESH:D009369,tumors>MESH:D009369			Patients>9606,pts>9606,patients>9606,women>9606,Pts>9606	30705875
	Wilms tumour>MESH:D009396,renal malignancy>MESH:D007674,tumour>MESH:D009369,cancer>MESH:D009369,fetal nephrogenesis>MESH:D005315,Wilms tumour cancer>MESH:D009369			children>9606,patient>9606	30705419
IGF1R>3480,MYC>4609,MAPK1>5594,ATF1>466,MDM2>4193	pediatric sarcoma>MESH:D063766,sarcomas>MESH:D012509,bone sarcomas>MESH:D012509,rhabdomyosarccomas>No Data,necrosis>MESH:D009336,sarcoma>MESH:D012509,pediatric Osteosarcoma>MESH:D012516,Rhabdomyosarcoma>MESH:D012208,Ewing's Sarcoma Family of Tumors>MESH:D012512,tumor>MESH:D009369,Cancer>MESH:D009369,genetic alterations across aggressive pediatric sarcomas>MESH:D001523			patients>9606,patient>9606	30704460
	Radiation-Associated Angiosarcoma of the Breast and Other Radiation-Associated Sarcomas>MESH:C536264,sarcomas>MESH:D012509,angiosarcoma>MESH:D006394,breast cancer>MESH:D001943,multidisciplinary sarcoma>MESH:D012509,sarcoma>MESH:D012509,leiomyosarcoma>MESH:D007890,malignant peripheral nerve sheath tumor>MESH:D009442,osteosarcoma>MESH:D012516,deep tumor>MESH:D057887,tumor>MESH:D009369			Patients>9606,patients>9606	30703514
				participants>9606,human>9606	30703106
EGFR>1956,Epidermal growth factor receptor>1956	head and neck cancer>MESH:D006258,neck squamous cell carcinoma>MESH:C535575,cancer>MESH:D009369,cancer metabolism>MESH:D009369,neck cancer>MESH:D006258			patients>9606	30700700
mTOR>2475,RB1>5925,CDK4>1019,CDK4/6>1019;1021,cyclin D1 and D3>595;896	thyroid cancer>MESH:D013964,Anaplastic thyroid carcinoma>MESH:D065646,deaths>MESH:D003643,tumor>MESH:D009369		omipalisib>No Data	patient>9606	30699064
	hypertrophic cardiomyopathy>MESH:D002312,Mendelian disease>MESH:D030342,cardiomyopathies>MESH:D009202		AMP>MESH:D000249	patient>9606	30696458
FASLG>356,FasL>356,FADD>8772	cancer>MESH:D009369,tumor>MESH:D009369,hematologic cancers>MESH:D009369,malignancies>MESH:D009369			patient>9606,human>9606	30694219
				patients>9606	30691790
TP53>7157	Metastatic Colorectal Cancer>MESH:D015179,colorectal cancer>MESH:D015179			patients>9606	30691222
MEN1>4221,DAXX>1616,ATRX>546,TSC2>7249,mammalian target of rapamycin>2475	Pancreatic Neuroendocrine Tumors>MESH:D018358,tumor>MESH:D009369,pancreatic neuroendocrine tumors>MESH:D018358,tumors>MESH:D009369,cancer>MESH:D009369,VHL>MESH:D006623			Patients>9606,patients>9606	30687805
PTMs>5763	bladder cancer>MESH:D001749,tumor>MESH:D009369,bladder tumors>MESH:D001749,tumors>MESH:D009369,cancer>MESH:D009369,urothelial cancer>MESH:D014523		N-methyl-N-nitrosourea>MESH:D008770	rats>10116,patients>9606	30683454
