Jurisdiction,Date,New Cases,7-day Average New Cases,Cumulative cases                          ,Population (2018),New Case Rate,7-Day Average New Case Rate,Cumulative Case Rate
Perry,06/03/2020,2,1.6,65,46139,4.3,3.4,140.9
Mckean,04/05/2020,0,0,1,40968,0,0,2.4
Blair,05/12/2020,0,0.7,34,122492,0,0.6,27.8
Huntingdon,04/03/2020,1,0.4,4,45168,2.2,0.9,8.9
Pike,04/04/2020,18,12.6,128,55933,32.2,22.5,228.8
Snyder,04/11/2020,6,2.4,28,40540,14.8,6,69.1
Huntingdon,11/27/2020,31,27.4,1711,45168,68.6,60.7,3788.1
Adams,06/18/2020,5,3.4,310,102811,4.9,3.3,301.5
Pike,03/28/2020,6,5,40,55933,10.7,8.9,71.5
Schuylkill,03/30/2020,10,5.6,45,142067,7,3.9,31.7
Greene,08/09/2020,0,1.4,122,36506,0,3.9,334.2
Chester,05/30/2020,61,43.9,2735,522046,11.7,8.4,523.9
Monroe,08/19/2020,5,3.4,1681,169507,2.9,2,991.7
Bedford,06/06/2020,1,0.7,46,48176,2.1,1.5,95.5
Cambria,04/12/2020,1,1,14,131730,0.8,0.8,10.6
Wayne,03/07/2020,0,,1,51276,0,,2
Perry,11/16/2020,10,8.9,500,46139,21.7,19.2,1083.7
Northumberland,05/28/2020,0,3.1,190,91083,0,3.5,208.6
Bedford,08/04/2020,1,1.4,135,48176,2.1,3,280.2
Monroe,06/08/2020,2,2.3,1347,169507,1.2,1.3,794.7
Wyoming,07/10/2020,3,0.9,47,27046,11.1,3.2,173.8
Adams,04/15/2020,3,4,75,102811,2.9,3.9,72.9
Cumberland,09/06/2020,8,10.7,1620,251423,3.2,4.3,644.3
Montour,10/18/2020,3,4.6,275,18240,16.4,25.1,1507.7
Lawrence,04/01/2020,4,2.4,20,86184,4.6,2.8,23.2
Carbon,06/13/2020,2,1.6,259,64227,3.1,2.4,403.3
Lancaster,04/27/2020,47,58.3,1763,543557,8.6,10.7,324.3
Clinton,06/06/2020,0,0.6,60,38684,0,1.5,155.1
Tioga,07/25/2020,0,0.3,36,40763,0,0.7,88.3
Tioga,09/13/2020,1,0.3,53,40763,2.5,0.7,130
Bradford,08/21/2020,1,0.3,100,60833,1.6,0.5,164.4
Warren,05/09/2020,0,0,1,39498,0,0,2.5
Venango,11/14/2020,17,18,551,51266,33.2,35.1,1074.8
Crawford,06/02/2020,0,0.9,32,85063,0,1,37.6
Wayne,07/29/2020,1,0.7,156,51276,2,1.4,304.2
Bradford,05/20/2020,1,0.3,46,60833,1.6,0.5,75.6
Tioga,09/03/2020,0,0.3,50,40763,0,0.7,122.7
Cameron,05/27/2020,0,0,2,4492,0,0,44.5
Wyoming,05/15/2020,1,0.6,32,27046,3.7,2.1,118.3
Blair,08/07/2020,8,8.6,274,122492,6.5,7,223.7
Cameron,08/20/2020,0,0,8,4492,0,0,178.1
Sullivan,10/13/2020,0,0,15,6071,0,0,247.1
Allegheny,03/20/2020,4,4.7,33,1218452,0.3,0.4,2.7
Mckean,06/08/2020,0,0.1,14,40968,0,0.3,34.2
Armstrong,08/13/2020,4,5.1,240,65263,6.1,7.9,367.7
Lehigh,06/24/2020,34,23.1,4158,368100,9.2,6.3,1129.6
Erie,08/14/2020,18,16.4,1210,272061,6.6,6,444.8
Somerset,05/17/2020,3,0.6,36,73952,4.1,0.8,48.7
Mckean,10/25/2020,10,4.6,136,40968,24.4,11.2,332
Mifflin,07/06/2020,1,0.3,68,46222,2.2,0.6,147.1
Clinton,06/28/2020,1,0.9,77,38684,2.6,2.2,199
Blair,05/13/2020,1,0.4,35,122492,0.8,0.3,28.6
Huntingdon,08/04/2020,5,1.6,297,45168,11.1,3.5,657.5
Fulton,06/28/2020,0,0,18,14523,0,0,123.9
Armstrong,09/06/2020,2,5.4,351,65263,3.1,8.3,537.8
Susquehanna,10/18/2020,3,4.4,376,40589,7.4,10.9,926.4
Bradford,08/31/2020,0,0.3,103,60833,0,0.5,169.3
Blair,08/08/2020,8,8.3,282,122492,6.5,6.8,230.2
Elk,06/16/2020,0,0.1,8,30169,0,0.5,26.5
Carbon,04/15/2020,2,4.1,117,64227,3.1,6.5,182.2
Lancaster,09/22/2020,94,44.9,7710,543557,17.3,8.3,1418.4
Blair,04/04/2020,1,0.4,7,122492,0.8,0.3,5.7
Bedford,05/03/2020,0,0.3,25,48176,0,0.6,51.9
Tioga,09/21/2020,0,1.7,66,40763,0,4.2,161.9
Clarion,05/28/2020,1,0.1,27,38779,2.6,0.4,69.6
Adams,06/03/2020,3,3.3,265,102811,2.9,3.2,257.8
Luzerne,04/24/2020,33,36.3,2000,317646,10.4,11.4,629.6
Schuylkill,06/13/2020,5,4.1,689,142067,3.5,2.9,485
Dauphin,06/03/2020,21,26.7,1412,277097,7.6,9.6,509.6
Tioga,10/08/2020,1,3.3,107,40763,2.5,8.1,262.5
York,03/24/2020,1,2.6,20,448273,0.2,0.6,4.5
Indiana,04/19/2020,1,1.3,52,84501,1.2,1.5,61.5
Wyoming,11/11/2020,24,10.7,279,27046,88.7,39.6,1031.6
Luzerne,05/09/2020,61,25.3,2455,317646,19.2,8,772.9
Dauphin,07/11/2020,11,13.7,2293,277097,4,4.9,827.5
Lycoming,07/14/2020,2,3,253,113664,1.8,2.6,222.6
Blair,05/29/2020,2,0.3,51,122492,1.6,0.2,41.6
Cambria,10/15/2020,30,15.6,843,131730,22.8,11.8,639.9
Montgomery,08/07/2020,60,37,10131,828604,7.2,4.5,1222.7
Lycoming,07/08/2020,3,6,235,113664,2.6,5.3,206.7
Crawford,09/07/2020,1,2.7,244,85063,1.2,3.2,286.8
Somerset,09/17/2020,3,1.3,201,73952,4.1,1.7,271.8
Monroe,03/12/2020,0,0.3,2,169507,0,0.2,1.2
Tioga,06/27/2020,0,0.3,26,40763,0,0.7,63.8
Wayne,06/08/2020,0,0.4,124,51276,0,0.8,241.8
Somerset,07/08/2020,2,1,70,73952,2.7,1.4,94.7
Cambria,05/21/2020,0,0.9,56,131730,0,0.7,42.5
Lycoming,05/02/2020,2,4.3,99,113664,1.8,3.8,87.1
Clearfield,08/21/2020,2,2.6,212,79388,2.5,3.2,267
Warren,07/04/2020,0,0.3,7,39498,0,0.7,17.7
Venango,04/12/2020,0,0.1,6,51266,0,0.3,11.7
Montgomery,09/06/2020,41,49.6,11424,828604,4.9,6,1378.7
Monroe,11/09/2020,32,26.7,2320,169507,18.9,15.8,1368.7
Venango,04/17/2020,0,0,6,51266,0,0,11.7
Elk,05/07/2020,0,0,5,30169,0,0,16.6
Greene,08/16/2020,0,1.6,133,36506,0,4.3,364.3
Westmoreland,08/26/2020,15,14.4,1783,350611,4.3,4.1,508.5
Dauphin,08/27/2020,29,24.3,3246,277097,10.5,8.8,1171.4
Butler,06/24/2020,3,2.6,280,187888,1.6,1.4,149
Butler,11/03/2020,22,45.3,2021,187888,11.7,24.1,1075.6
Tioga,04/09/2020,1,1.1,11,40763,2.5,2.8,27
Butler,09/26/2020,4,7.1,1052,187888,2.1,3.8,559.9
Montgomery,04/22/2020,144,125.7,3681,828604,17.4,15.2,444.2
Cumberland,08/19/2020,17,10,1422,251423,6.8,4,565.6
Bradford,10/17/2020,12,19.7,478,60833,19.7,32.4,785.8
Delaware,04/11/2020,83,131.7,1751,564751,14.7,23.3,310
Erie,07/22/2020,5,8.7,818,272061,1.8,3.2,300.7
Northumberland,10/15/2020,14,10.6,1328,91083,15.4,11.6,1458
Elk,09/24/2020,0,0.6,74,30169,0,1.9,245.3
Dauphin,07/23/2020,26,20.1,2509,277097,9.4,7.3,905.5
Washington,05/26/2020,0,0.7,141,207346,0,0.3,68
Elk,07/08/2020,0,2.3,34,30169,0,7.6,112.7
Lycoming,06/18/2020,0,0.4,172,113664,0,0.4,151.3
Blair,04/19/2020,1,0.6,16,122492,0.8,0.5,13.1
Wyoming,07/08/2020,1,0.4,43,27046,3.7,1.6,159
Monroe,08/11/2020,10,5.9,1652,169507,5.9,3.5,974.6
Butler,04/06/2020,16,6.9,108,187888,8.5,3.6,57.5
Chester,06/09/2020,30,43.4,3166,522046,5.7,8.3,606.5
Berks,05/10/2020,43,63.9,3467,420152,10.2,15.2,825.2
Allegheny,03/25/2020,46,17.3,137,1218452,3.8,1.4,11.2
Erie,04/06/2020,6,2,33,272061,2.2,0.7,12.1
Beaver,04/20/2020,0,21.7,337,164742,0,13.2,204.6
Bradford,06/22/2020,0,0.3,52,60833,0,0.5,85.5
Berks,08/15/2020,30,30.1,5597,420152,7.1,7.2,1332.1
Schuylkill,05/21/2020,12,7.1,567,142067,8.4,5,399.1
Blair,09/04/2020,3,6.7,493,122492,2.4,5.5,402.5
Lancaster,08/07/2020,38,37.4,5867,543557,7,6.9,1079.4
Clinton,08/28/2020,1,0.6,133,38684,2.6,1.5,343.8
Fulton,04/04/2020,1,0.1,1,14523,6.9,1,6.9
Wayne,04/22/2020,1,1,78,51276,2,2,152.1
Washington,10/16/2020,30,17.3,1630,207346,14.5,8.3,786.1
Wayne,08/09/2020,2,0.7,162,51276,3.9,1.4,315.9
Perry,08/27/2020,2,2.7,178,46139,4.3,5.9,385.8
Blair,07/15/2020,5,3.4,116,122492,4.1,2.8,94.7
Schuylkill,03/25/2020,3,1.6,11,142067,2.1,1.1,7.7
Lancaster,06/05/2020,90,41.6,3433,543557,16.6,7.6,631.6
Somerset,10/13/2020,0,4.4,276,73952,0,6,373.2
Mifflin,06/16/2020,0,0.1,62,46222,0,0.3,134.1
Pike,03/25/2020,7,2.6,22,55933,12.5,4.6,39.3
Centre,08/26/2020,3,3.7,438,162805,1.8,2.3,269
Carbon,06/24/2020,0,1.3,271,64227,0,2,421.9
Erie,05/25/2020,6,10.6,229,272061,2.2,3.9,84.2
Mercer,08/12/2020,22,11.9,469,110683,19.9,10.7,423.7
Montour,09/12/2020,1,2.4,159,18240,5.5,13.3,871.7
Forest,09/05/2020,0,0,14,7279,0,0,192.3
Dauphin,05/15/2020,25,20.9,965,277097,9,7.5,348.3
Somerset,03/01/2020,0,,0,73952,0,,0
Somerset,03/02/2020,0,,0,73952,0,,0
Somerset,03/03/2020,0,,0,73952,0,,0
Somerset,03/04/2020,0,,0,73952,0,,0
Somerset,03/05/2020,0,,0,73952,0,,0
Somerset,03/06/2020,0,,0,73952,0,,0
Somerset,03/07/2020,0,,0,73952,0,,0
Somerset,03/08/2020,0,0,0,73952,0,0,0
Somerset,03/09/2020,0,0,0,73952,0,0,0
Somerset,03/10/2020,0,0,0,73952,0,0,0
Somerset,03/11/2020,0,0,0,73952,0,0,0
Somerset,03/12/2020,0,0,0,73952,0,0,0
Somerset,03/13/2020,0,0,0,73952,0,0,0
Somerset,03/14/2020,0,0,0,73952,0,0,0
Somerset,03/15/2020,0,0,0,73952,0,0,0
Somerset,03/16/2020,0,0,0,73952,0,0,0
Somerset,03/17/2020,0,0,0,73952,0,0,0
Somerset,03/18/2020,0,0,0,73952,0,0,0
Somerset,03/19/2020,0,0,0,73952,0,0,0
Somerset,03/20/2020,0,0,0,73952,0,0,0
Luzerne,04/19/2020,29,47.1,1806,317646,9.1,14.8,568.6
Huntingdon,04/01/2020,1,0.3,2,45168,2.2,0.6,4.4
Butler,08/23/2020,1,3.6,748,187888,0.5,1.9,398.1
Northampton,04/01/2020,76,50.7,431,304807,24.9,16.6,141.4
Berks,08/03/2020,29,23.9,5252,420152,6.9,5.7,1250
Columbia,08/28/2020,32,20.6,665,65456,48.9,31.4,1015.9
Cameron,07/26/2020,0,0,5,4492,0,0,111.3
Mckean,09/28/2020,1,0.6,61,40968,2.4,1.4,148.9
Monroe,05/29/2020,3,2,1323,169507,1.8,1.2,780.5
Columbia,10/19/2020,5,2.9,1030,65456,7.6,4.4,1573.6
Lebanon,10/17/2020,31,33.3,2575,141314,21.9,23.6,1822.2
Wyoming,07/09/2020,1,0.4,44,27046,3.7,1.6,162.7
Wayne,05/14/2020,0,0.4,108,51276,0,0.8,210.6
Armstrong,09/16/2020,4,4.3,402,65263,6.1,6.6,616
Somerset,08/17/2020,0,1,142,73952,0,1.4,192
Beaver,07/05/2020,6,12.9,750,164742,3.6,7.8,455.3
Fulton,09/22/2020,1,0.4,45,14523,6.9,3,309.9
Perry,09/29/2020,6,3.1,239,46139,13,6.8,518
Greene,05/30/2020,0,0,28,36506,0,0,76.7
Fayette,07/30/2020,24,12.7,393,130441,18.4,9.7,301.3
Mckean,07/01/2020,0,0.4,19,40968,0,1,46.4
Lawrence,06/26/2020,4,1.7,104,86184,4.6,2,120.7
Blair,07/16/2020,8,4,124,122492,6.5,3.3,101.2
Somerset,08/04/2020,0,1.6,127,73952,0,2.1,171.7
Crawford,10/29/2020,24,17.6,561,85063,28.2,20.7,659.5
Fayette,06/06/2020,0,0,100,130441,0,0,76.7
Lehigh,08/13/2020,12,19,5053,368100,3.3,5.2,1372.7
Blair,10/03/2020,31,14.9,790,122492,25.3,12.1,644.9
Bedford,05/22/2020,2,0.7,38,48176,4.2,1.5,78.9
Bucks,03/20/2020,8,4.1,32,628195,1.3,0.7,5.1
Cambria,09/12/2020,3,3.7,528,131730,2.3,2.8,400.8
Montgomery,04/11/2020,123,161.6,2380,828604,14.8,19.5,287.2
Bedford,09/20/2020,1,2.1,230,48176,2.1,4.4,477.4
Lehigh,10/29/2020,54,54.7,6708,368100,14.7,14.9,1822.3
Adams,05/22/2020,6,5,224,102811,5.8,4.9,217.9
Sullivan,04/16/2020,0,0,1,6071,0,0,16.5
Greene,08/23/2020,2,1.1,141,36506,5.5,3.1,386.2
Forest,04/29/2020,0,0,7,7279,0,0,96.2
Adams,09/18/2020,16,7,786,102811,15.6,6.8,764.5
Tioga,04/02/2020,1,0.4,3,40763,2.5,1.1,7.4
Warren,09/04/2020,0,1.3,36,39498,0,3.3,91.1
Forest,09/26/2020,0,0.1,15,7279,0,2,206.1
Columbia,06/06/2020,3,2.1,364,65456,4.6,3.3,556.1
Tioga,06/10/2020,2,0.3,22,40763,4.9,0.7,54
Perry,07/11/2020,1,0.9,93,46139,2.2,1.9,201.6
Forest,07/14/2020,0,0,7,7279,0,0,96.2
Butler,07/04/2020,6,7.3,345,187888,3.2,3.9,183.6
Sullivan,11/10/2020,1,0.3,24,6071,16.5,4.7,395.3
Lawrence,08/23/2020,0,1.6,443,86184,0,1.8,514
Pike,05/05/2020,3,6.6,429,55933,5.4,11.7,767
Columbia,11/05/2020,13,7.7,1123,65456,19.9,11.8,1715.7
Perry,09/19/2020,1,2.6,210,46139,2.2,5.6,455.1
Cambria,03/29/2020,1,0.1,2,131730,0.8,0.1,1.5
Huntingdon,06/16/2020,0,0.3,239,45168,0,0.6,529.1
Northumberland,09/17/2020,15,9,852,91083,16.5,9.9,935.4
Bucks,03/31/2020,35,38.6,370,628195,5.6,6.1,58.9
Monroe,06/23/2020,6,4,1392,169507,3.5,2.4,821.2
Allegheny,04/10/2020,53,44.4,888,1218452,4.3,3.6,72.9
Columbia,10/21/2020,7,3.4,1040,65456,10.7,5.2,1588.9
Monroe,11/07/2020,17,25.3,2262,169507,10,14.9,1334.5
Huntingdon,09/07/2020,1,2.6,390,45168,2.2,5.7,863.4
Erie,05/03/2020,0,1.7,101,272061,0,0.6,37.1
Fayette,07/25/2020,6,7.1,316,130441,4.6,5.5,242.3
Cambria,06/17/2020,0,0,63,131730,0,0,47.8
Cambria,04/11/2020,0,0.9,13,131730,0,0.7,9.9
Wayne,10/04/2020,0,3.1,257,51276,0,6.1,501.2
Jefferson,08/29/2020,0,0.6,99,43641,0,1.3,226.9
Northumberland,08/13/2020,3,10.9,535,91083,3.3,11.9,587.4
Huntingdon,03/27/2020,1,0.1,1,45168,2.2,0.3,2.2
Susquehanna,09/18/2020,0,1,295,40589,0,2.5,726.8
Pennsylvania,03/21/2020,122,71.4,560,12807060,1,0.6,4.4
Huntingdon,06/06/2020,0,0.9,236,45168,0,1.9,522.5
Elk,08/16/2020,1,1.3,62,30169,3.3,4.3,205.5
Somerset,10/28/2020,13,12.9,433,73952,17.6,17.4,585.5
Cameron,05/15/2020,0,0,2,4492,0,0,44.5
Franklin,03/30/2020,6,2.1,18,154835,3.9,1.4,11.6
Delaware,03/26/2020,44,30.1,238,564751,7.8,5.3,42.1
Snyder,03/25/2020,0,0.1,1,40540,0,0.4,2.5
Cumberland,04/05/2020,3,6.7,77,251423,1.2,2.7,30.6
Susquehanna,06/29/2020,0,0.6,183,40589,0,1.4,450.9
Westmoreland,06/02/2020,2,1.6,458,350611,0.6,0.4,130.6
Schuylkill,05/09/2020,15,7.9,465,142067,10.6,5.5,327.3
Montgomery,06/27/2020,28,39.3,8450,828604,3.4,4.7,1019.8
Huntingdon,03/29/2020,0,0.1,1,45168,0,0.3,2.2
Clarion,06/01/2020,0,0.3,28,38779,0,0.7,72.2
Cameron,05/04/2020,1,0.1,2,4492,22.3,3.2,44.5
Monroe,06/19/2020,4,3.3,1376,169507,2.4,1.9,811.8
Warren,06/12/2020,0,0,5,39498,0,0,12.7
Armstrong,05/31/2020,0,0.4,62,65263,0,0.7,95
Fulton,06/12/2020,0,0,16,14523,0,0,110.2
Adams,07/04/2020,0,2.7,348,102811,0,2.6,338.5
Montour,11/10/2020,5,5.4,350,18240,27.4,29.8,1918.9
Franklin,06/01/2020,4,5.6,781,154835,2.6,3.6,504.4
Fulton,04/09/2020,0,0.1,1,14523,0,1,6.9
Dauphin,07/13/2020,13,13.1,2312,277097,4.7,4.7,834.4
Cumberland,05/21/2020,10,8.9,590,251423,4,3.5,234.7
Washington,10/25/2020,21,28.6,1880,207346,10.1,13.8,906.7
Huntingdon,11/22/2020,25,29.1,1574,45168,55.3,64.5,3484.8
Bradford,05/17/2020,1,0.7,45,60833,1.6,1.2,74
Northumberland,09/18/2020,14,8.7,866,91083,15.4,9.6,950.8
Wayne,05/21/2020,3,1.1,116,51276,5.9,2.2,226.2
Venango,05/11/2020,0,0,8,51266,0,0,15.6
Montour,08/13/2020,0,0.9,105,18240,0,4.7,575.7
Elk,07/15/2020,1,0.4,37,30169,3.3,1.4,122.6
Elk,05/08/2020,0,0,5,30169,0,0,16.6
Potter,08/11/2020,0,0,20,16622,0,0,120.3
Clearfield,06/02/2020,2,1,47,79388,2.5,1.3,59.2
Lycoming,05/07/2020,8,5.4,123,113664,7,4.8,108.2
Sullivan,09/17/2020,0,0.1,11,6071,0,2.4,181.2
Potter,09/25/2020,0,0.4,28,16622,0,2.6,168.5
Montour,09/25/2020,1,1,169,18240,5.5,5.5,926.5
Northumberland,11/07/2020,24,20.9,1749,91083,26.3,22.9,1920.2
Lancaster,05/04/2020,24,47,2092,543557,4.4,8.6,384.9
Luzerne,06/28/2020,4,5.1,2916,317646,1.3,1.6,918
Wayne,08/07/2020,2,0.4,160,51276,3.9,0.8,312
Clinton,04/22/2020,1,0.9,14,38684,2.6,2.2,36.2
Lawrence,11/12/2020,34,44.4,1484,86184,39.5,51.6,1721.9
Luzerne,04/07/2020,169,124.6,1165,317646,53.2,39.2,366.8
Susquehanna,04/29/2020,3,1.4,82,40589,7.4,3.5,202
Cambria,07/04/2020,2,2.9,99,131730,1.5,2.2,75.2
Lawrence,10/11/2020,8,9.4,633,86184,9.3,10.9,734.5
Pike,10/18/2020,1,1.6,616,55933,1.8,2.8,1101.3
Wayne,09/05/2020,5,2.6,193,51276,9.8,5,376.4
Beaver,11/05/2020,15,20.9,2453,164742,9.1,12.7,1489
Erie,06/30/2020,11,9.9,627,272061,4,3.6,230.5
Wyoming,09/25/2020,0,0.3,76,27046,0,1.1,281
Clearfield,04/06/2020,0,0.4,7,79388,0,0.5,8.8
Crawford,05/30/2020,0,1,32,85063,0,1.2,37.6
Perry,08/01/2020,2,1.6,122,46139,4.3,3.4,264.4
Berks,07/26/2020,21,28.3,5051,420152,5,6.7,1202.2
Montgomery,07/17/2020,37,38.1,9168,828604,4.5,4.6,1106.4
Mifflin,08/01/2020,1,2.1,108,46222,2.2,4.6,233.7
Mifflin,10/21/2020,10,7,341,46222,21.6,15.1,737.7
Bedford,05/12/2020,0,0.3,29,48176,0,0.6,60.2
Tioga,08/26/2020,0,0.1,47,40763,0,0.4,115.3
Wyoming,05/24/2020,0,0.4,36,27046,0,1.6,133.1
Westmoreland,10/03/2020,28,27.7,2423,350611,8,7.9,691.1
Wyoming,04/02/2020,0,0.3,3,27046,0,1.1,11.1
Cumberland,03/18/2020,1,1.6,11,251423,0.4,0.6,4.4
Lycoming,06/21/2020,0,0.1,173,113664,0,0.1,152.2
Pike,05/07/2020,3,5.3,435,55933,5.4,9.5,777.7
Clarion,08/19/2020,3,1,95,38779,7.7,2.6,245
Bedford,10/24/2020,4,6.6,381,48176,8.3,13.6,790.9
Wyoming,04/26/2020,1,0.1,20,27046,3.7,0.5,73.9
Clinton,04/30/2020,1,2.3,33,38684,2.6,5.9,85.3
Elk,10/05/2020,0,0.7,83,30169,0,2.4,275.1
Crawford,07/27/2020,0,0.7,120,85063,0,0.8,141.1
Potter,11/12/2020,7,3.4,94,16622,42.1,20.6,565.5
Sullivan,09/20/2020,0,0.1,11,6071,0,2.4,181.2
Northumberland,04/21/2020,0,3.4,85,91083,0,3.8,93.3
Greene,07/09/2020,3,2.3,63,36506,8.2,6.3,172.6
Butler,04/25/2020,1,1.3,170,187888,0.5,0.7,90.5
Juniata,04/27/2020,2,1.3,80,24704,8.1,5.2,323.8
Pennsylvania,05/03/2020,804,1150.1,51802,12807060,6.3,9,404.5
Dauphin,08/24/2020,35,23.6,3183,277097,12.6,8.5,1148.7
Bradford,05/04/2020,0,1.1,39,60833,0,1.9,64.1
Carbon,04/06/2020,5,7.3,70,64227,7.8,11.3,109
Lycoming,10/24/2020,15,8.3,946,113664,13.2,7.3,832.3
Erie,06/13/2020,8,13.7,468,272061,2.9,5,172
Crawford,11/07/2020,29,21.3,735,85063,34.1,25,864.1
Dauphin,05/06/2020,20,21,760,277097,7.2,7.6,274.3
Bucks,04/02/2020,91,53.6,528,628195,14.5,8.5,84.1
Wyoming,06/05/2020,0,0,36,27046,0,0,133.1
Juniata,05/02/2020,2,1.1,85,24704,8.1,4.6,344.1
Lackawanna,05/07/2020,16,26.6,1166,210793,7.6,12.6,553.1
Lawrence,04/30/2020,0,0.4,65,86184,0,0.5,75.4
Potter,06/14/2020,0,0.3,13,16622,0,1.7,78.2
Chester,09/08/2020,41,48.7,6043,522046,7.9,9.3,1157.6
Schuylkill,09/15/2020,1,3,1052,142067,0.7,2.1,740.5
Sullivan,07/08/2020,0,0.6,10,6071,0,9.4,164.7
Westmoreland,06/07/2020,3,1.7,466,350611,0.9,0.5,132.9
Susquehanna,05/08/2020,0,0.1,83,40589,0,0.4,204.5
Sullivan,03/01/2020,0,,0,6071,0,,0
Clarion,08/26/2020,2,0.4,98,38779,5.2,1.1,252.7
Sullivan,03/02/2020,0,,0,6071,0,,0
Sullivan,03/03/2020,0,,0,6071,0,,0
Sullivan,03/04/2020,0,,0,6071,0,,0
Sullivan,03/05/2020,0,,0,6071,0,,0
Sullivan,03/06/2020,0,,0,6071,0,,0
Sullivan,03/07/2020,0,,0,6071,0,,0
Sullivan,03/08/2020,0,0,0,6071,0,0,0
Sullivan,03/09/2020,0,0,0,6071,0,0,0
Sullivan,03/10/2020,0,0,0,6071,0,0,0
Sullivan,03/11/2020,0,0,0,6071,0,0,0
Sullivan,03/12/2020,0,0,0,6071,0,0,0
Sullivan,03/13/2020,0,0,0,6071,0,0,0
Sullivan,03/14/2020,0,0,0,6071,0,0,0
Sullivan,03/15/2020,0,0,0,6071,0,0,0
Sullivan,03/16/2020,0,0,0,6071,0,0,0
Sullivan,03/17/2020,0,0,0,6071,0,0,0
Sullivan,03/18/2020,0,0,0,6071,0,0,0
Sullivan,03/19/2020,0,0,0,6071,0,0,0
Sullivan,03/20/2020,0,0,0,6071,0,0,0
Sullivan,03/21/2020,0,0,0,6071,0,0,0
Sullivan,03/22/2020,0,0,0,6071,0,0,0
Sullivan,03/23/2020,0,0,0,6071,0,0,0
Sullivan,03/24/2020,0,0,0,6071,0,0,0
Sullivan,03/25/2020,0,0,0,6071,0,0,0
Sullivan,03/26/2020,0,0,0,6071,0,0,0
Sullivan,03/27/2020,0,0,0,6071,0,0,0
Sullivan,03/28/2020,0,0,0,6071,0,0,0
Sullivan,03/29/2020,0,0,0,6071,0,0,0
Sullivan,03/30/2020,0,0,0,6071,0,0,0
Sullivan,03/31/2020,0,0,0,6071,0,0,0
Sullivan,04/01/2020,0,0,0,6071,0,0,0
Sullivan,04/02/2020,0,0,0,6071,0,0,0
Perry,05/19/2020,1,1,43,46139,2.2,2.2,93.2
Washington,11/18/2020,158,101.7,3493,207346,76.2,49.1,1684.6
Elk,05/03/2020,0,0.1,5,30169,0,0.5,16.6
Westmoreland,09/10/2020,20,11.9,1949,350611,5.7,3.4,555.9
Sullivan,08/20/2020,0,0,10,6071,0,0,164.7
Lancaster,04/19/2020,47,59.1,1311,543557,8.6,10.9,241.2
Cumberland,07/22/2020,6,12,1078,251423,2.4,4.8,428.8
Pennsylvania,05/30/2020,511,528.9,72053,12807060,4,4.1,562.6
Warren,05/06/2020,0,0,1,39498,0,0,2.5
Lawrence,10/19/2020,17,14.1,740,86184,19.7,16.4,858.6
Centre,07/10/2020,2,2.4,244,162805,1.2,1.5,149.9
Greene,06/28/2020,0,0.6,43,36506,0,1.6,117.8
Lehigh,03/23/2020,4,5.1,36,368100,1.1,1.4,9.8
Mckean,04/02/2020,0,0.1,1,40968,0,0.3,2.4
Dauphin,08/16/2020,13,24.3,3002,277097,4.7,8.8,1083.4
Washington,04/22/2020,4,2.6,95,207346,1.9,1.2,45.8
Lackawanna,08/18/2020,3,3.4,1969,210793,1.4,1.6,934.1
Juniata,05/11/2020,0,1,93,24704,0,4,376.5
Wayne,05/20/2020,2,0.7,113,51276,3.9,1.4,220.4
Mifflin,10/05/2020,7,2.7,249,46222,15.1,5.9,538.7
Lehigh,10/07/2020,24,24.3,5883,368100,6.5,6.6,1598.2
Warren,04/04/2020,0,0,1,39498,0,0,2.5
Mckean,04/23/2020,0,0.3,8,40968,0,0.7,19.5
Bedford,05/26/2020,1,0.9,39,48176,2.1,1.8,81
Sullivan,05/09/2020,0,0,1,6071,0,0,16.5
Sullivan,05/10/2020,0,0,1,6071,0,0,16.5
Sullivan,05/11/2020,0,0,1,6071,0,0,16.5
Sullivan,05/12/2020,0,0,1,6071,0,0,16.5
Sullivan,05/13/2020,1,0.1,2,6071,16.5,2.4,32.9
Sullivan,05/14/2020,0,0.1,2,6071,0,2.4,32.9
Sullivan,05/15/2020,0,0.1,2,6071,0,2.4,32.9
Sullivan,05/16/2020,0,0.1,2,6071,0,2.4,32.9
Sullivan,05/17/2020,0,0.1,2,6071,0,2.4,32.9
Sullivan,05/18/2020,0,0.1,2,6071,0,2.4,32.9
Sullivan,05/19/2020,0,0.1,2,6071,0,2.4,32.9
Sullivan,05/20/2020,0,0,2,6071,0,0,32.9
Sullivan,05/21/2020,0,0,2,6071,0,0,32.9
Sullivan,05/22/2020,0,0,2,6071,0,0,32.9
Sullivan,05/23/2020,0,0,2,6071,0,0,32.9
Sullivan,05/24/2020,0,0,2,6071,0,0,32.9
Sullivan,05/25/2020,0,0,2,6071,0,0,32.9
Sullivan,05/26/2020,0,0,2,6071,0,0,32.9
Sullivan,05/27/2020,0,0,2,6071,0,0,32.9
Blair,04/24/2020,2,1.1,23,122492,1.6,0.9,18.8
Mercer,05/31/2020,0,0.1,108,110683,0,0.1,97.6
Delaware,04/14/2020,73,123.7,2027,564751,12.9,21.9,358.9
Franklin,08/12/2020,10,10.3,1399,154835,6.5,6.6,903.5
Erie,09/13/2020,1,4,1436,272061,0.4,1.5,527.8
Lycoming,11/02/2020,8,9.1,1026,113664,7,8,902.7
