county,state,cocaineDeath,year,fips,meanHouseholdSize,prevDisabled,gini,prevHispanic,medianAge,prevMedicaid,prevMinBachelors,prevBlack,prevWhite,perCapIncome,prevMen,nPop,prevPoverty,medianRentCostBurden,prevNoCar,totalJailAdmit,jailAdmit100k
Adams,CO,70,2010-2014,08001,2.95,10.39,0.40,38.40,33,19.15,21.62,2.98,52.48,24667,50.29,461558,14.14,30.9,5.37,82628,17901.975483037884
Alameda,CA,80,2010-2014,06001,2.77,9.23,0.47,22.61,37,16.88,42.12,11.54,33.31,36439,48.99,1559308,12.88,31.4,10.33,236340,15156.723367032044
Allegheny,PA,350,2010-2014,42003,2.26,13.01,0.49,1.74,41,15.31,36.94,12.84,79.97,32378,48.04,1229172,12.93,28.8,13.94,75597,6150.237721002431
Anne Arundel,MD,60,2010-2014,24003,2.66,9.50,0.41,6.66,39,10.93,37.57,15.31,71.22,41315,49.47,550269,5.90,29.2,4.18,39130,7111.06749607919
Arapahoe,CO,52.5,2010-2014,08005,2.59,9.13,0.46,18.56,36,13.75,39.37,9.82,62.62,33574,49.12,596684,11.66,31.6,5.46,92560,15512.398522501022
Atlantic,NJ,50,2010-2014,34001,2.65,12.76,0.45,17.75,41,18.15,24.36,14.66,57.50,27411,48.45,275325,15.20,35.4,14.04,48776,17715.790429492416
Baltimore,MD,83,2010-2014,24005,2.54,11.33,0.44,4.63,39,13.85,36.02,26.44,61.03,34701,47.30,817720,9.06,30.6,7.90,69680,8521.254219048085
Bergen,NJ,61.25,2010-2014,34003,2.71,8.36,0.48,17.40,41,8.84,46.14,5.29,60.29,43194,48.33,920456,7.48,31.0,8.45,47065,5113.226487740859
Berkeley,WV,60,2010-2014,54003,2.62,13.15,0.42,3.86,38,15.61,20.29,6.92,85.34,26516,49.31,107324,14.62,29.8,6.30,18508,17244.97782415862
Berks,PA,61.25,2010-2014,42011,2.60,13.15,0.43,17.60,40,17.70,22.73,4.08,75.38,26998,49.12,413016,14.31,32.1,9.29,36374,8806.922734228214
Bernalillo,NM,129,2010-2014,35001,2.51,12.71,0.47,48.47,36,22.29,32.31,2.53,40.76,26916,49.01,671429,18.59,31.4,6.37,227316,33855.55285815775
Bexar,TX,248,2010-2014,48029,2.86,13.27,0.46,59.00,33,19.34,26.50,6.93,29.63,24525,49.13,1789088,17.82,29.6,7.96,140047,7827.843012752866
Brevard,FL,70,2010-2014,12009,2.45,15.03,0.45,8.76,46,14.73,26.66,9.83,76.56,27360,48.89,548891,14.04,32.5,5.36,96148,17516.774733052644
Bristol,MA,126,2010-2014,25005,2.53,13.85,0.45,6.50,40,25.30,25.57,3.30,84.75,29173,48.41,551065,12.67,30.1,10.72,51584,9360.783210692023
Broward,FL,216,2010-2014,12011,2.69,11.31,0.48,26.45,40,15.43,30.17,26.58,41.36,28329,48.54,1815269,14.63,36.1,7.70,269697.5,14857.164420259478
Butler,OH,110,2010-2014,39017,2.67,11.34,0.44,4.23,36,13.54,28.05,7.49,83.34,27394,48.96,371154,13.78,30.4,5.58,90948,24504.114195185826
Cabell,WV,55,2010-2014,54011,2.31,19.84,0.50,1.25,39,20.23,26.42,4.58,90.50,23595,48.61,96826,22.55,31.8,13.37,12824.33,13244.717327990416
Charleston,SC,55,2010-2014,45019,2.42,10.65,0.50,5.21,36,14.39,39.98,28.74,62.82,31198,48.46,365674,18.06,34.0,8.31,155428,42504.525889179975
Chatham,GA,55,2010-2014,13051,2.55,11.61,0.47,5.81,34,14.66,32.27,39.46,49.99,25636,48.26,275303,19.34,33.0,8.13,93444,33942.238188468706
Clark,NV,182,2010-2014,32003,2.77,11.54,0.45,29.78,36,12.98,22.23,10.31,46.50,26040,50.19,2003613,15.75,30.8,8.50,627484,31317.62471095965
Clark,OH,50,2010-2014,39023,2.44,16.22,0.44,2.93,41,22.65,18.17,8.48,84.92,22941,48.40,137303,19.04,31.2,8.85,21554.5,15698.491657137864
Clermont,OH,75,2010-2014,39025,2.67,12.47,0.43,1.63,39,12.52,26.24,1.33,94.37,28708,49.39,199450,10.52,28.5,4.64,35474,17785.911255953873
Collier,FL,65,2010-2014,12021,2.61,11.39,0.53,26.34,48,13.53,32.31,6.56,64.81,37236,49.22,334474,14.36,33.4,6.00,54444,16277.49840047358
Contra Costa,CA,55,2010-2014,06013,2.82,10.44,0.46,24.77,39,14.72,39.44,8.61,46.57,38770,48.76,1081232,10.65,32.7,5.85,123084,11383.680838154994
Cook,IL,787,2010-2014,17031,2.65,10.34,0.50,24.51,36,20.48,35.26,23.88,43.36,30468,48.43,5227827,17.22,31.7,17.78,449956,8606.94127789615
Cumberland,NC,53.33333333333333,2010-2014,37051,2.56,14.20,0.44,10.36,31,19.14,22.92,35.32,46.06,23204,48.66,324002,17.36,29.9,6.31,60788,18761.61258263838
Cuyahoga,OH,344,2010-2014,39035,2.32,14.28,0.50,5.09,40,20.42,30.32,29.25,60.72,27892,47.55,1267513,18.54,31.5,13.72,267727,21122.22912112144
Dallas,TX,319,2010-2014,48113,2.78,9.47,0.50,38.80,33,19.61,28.73,21.79,32.01,27195,49.36,2448943,19.33,29.3,7.32,558220,22794.323918523216
Davidson,TN,147,2010-2014,47037,2.41,11.42,0.49,9.84,34,18.11,36.47,27.51,57.07,28971,48.25,648048,18.83,30.7,7.47,252330,38936.9305977335
DeKalb,GA,58,2010-2014,13089,2.62,9.81,0.49,9.28,35,16.87,40.29,53.17,29.69,28971,47.73,707185,19.59,32.9,9.28,191932,27140.281538776984
Denver,CO,97,2010-2014,08031,2.28,9.65,0.51,31.20,34,20.35,43.73,9.47,52.85,34423,49.99,633777,18.34,29.9,11.67,124540,19650.444872565586
District of Columbia,DC,164,2010-2014,11001,2.22,11.12,0.53,9.88,34,26.17,53.39,48.72,35.37,46502,47.34,633736,18.24,29.6,36.22,66300,10461.769569663078
DuPage,IL,72,2010-2014,17043,2.71,7.95,0.45,13.72,39,10.55,46.71,4.52,69.14,38931,49.03,926485,7.15,29.0,4.03,65858,7108.371965007529
Durham,NC,60,2010-2014,37063,2.37,10.21,0.48,13.42,34,15.76,45.60,37.24,42.08,29801,48.03,282422,18.09,30.6,8.94,65442,23171.707586519464
Dutchess,NY,70,2010-2014,36027,2.61,12.80,0.43,11.05,41,13.19,33.44,9.24,73.52,33962,49.74,297388,8.82,32.7,8.63,15292,5142.10391811371
Duval,FL,106,2010-2014,12031,2.58,12.67,0.47,8.12,36,18.42,26.47,29.02,55.64,26267,48.47,880750,17.45,33.3,8.35,171210,19439.11439114391
El Paso,CO,70,2010-2014,08041,2.62,11.44,0.44,15.70,34,14.33,35.25,5.64,71.06,29314,50.19,645707,12.52,30.3,4.83,109304,16927.80161900057
El Paso,TX,50,2010-2014,48141,3.14,12.80,0.47,81.44,31,24.19,20.75,2.96,13.39,18705,48.78,823862,23.43,30.2,7.82,160888,19528.513270426356
Erie,NY,81.25,2010-2014,36029,2.34,12.97,0.46,4.84,41,19.90,31.18,12.87,76.98,28512,48.33,920694,14.72,29.9,13.66,97273,10565.182351573922
Escambia,FL,55,2010-2014,12033,2.53,15.09,0.45,5.12,37,17.78,23.91,21.76,65.81,24014,49.67,304099,17.11,31.8,7.01,89363,29386.153851212926
Essex,MA,164,2010-2014,25009,2.58,11.52,0.48,17.62,41,23.39,37.24,2.85,74.42,36035,48.10,757395,11.27,31.3,10.88,64688,8540.853847728067
Essex,NJ,168,2010-2014,34013,2.77,12.03,0.54,21.32,37,20.72,32.34,38.98,32.37,32327,48.00,789616,17.19,33.3,22.93,116428,14744.888654738506
Fairfield,CT,90,2010-2014,09001,2.74,8.81,0.54,17.88,40,13.89,45.43,10.32,64.77,49688,48.68,934215,9.12,32.6,8.25,0,0
Fayette,KY,108.33333333333334,2010-2014,21067,2.35,11.33,0.49,6.84,34,13.58,40.24,14.24,72.63,29168,49.13,304473,19.31,31.0,8.53,110136,36172.665556551816
Fayette,PA,65,2010-2014,42051,2.42,18.38,0.44,0.93,44,22.61,13.91,3.93,92.55,21319,49.25,135376,19.03,28.0,9.00,13598,10044.6164755939
Forsyth,NC,60,2010-2014,37067,2.45,10.61,0.48,12.27,38,16.58,32.14,25.76,58.17,26670,47.48,358130,19.08,31.2,7.89,67236,18774.188143970066
Franklin,OH,316,2010-2014,39049,2.47,11.61,0.47,4.94,34,17.25,36.71,21.01,66.38,28807,48.69,1197592,17.98,29.3,8.38,183512,15323.415654079186
Fulton,GA,160,2010-2014,13121,2.50,9.35,0.54,7.71,35,14.84,48.58,43.52,40.57,36827,48.67,967100,17.83,30.9,12.00,514359.75,53185.787405645744
Galveston,TX,50,2010-2014,48167,2.65,12.46,0.46,23.17,37,13.02,28.29,13.17,58.51,31030,49.47,302276,13.48,30.4,6.18,99008,32754.1716841562
Genesee,MI,88.33333333333334,2010-2014,26049,2.49,16.10,0.45,3.15,39,28.38,19.15,20.22,72.55,22536,48.21,418654,21.24,35.4,9.11,68224,16296.034434162817
Greenville,SC,66,2010-2014,45045,2.57,11.43,0.48,8.47,38,15.03,31.56,18.01,69.72,27097,48.57,467087,15.80,29.2,6.85,109694,23484.70413434756
Guilford,NC,66.66666666666667,2010-2014,37081,2.44,10.62,0.48,7.38,37,16.42,33.65,32.58,53.00,26322,47.58,500899,17.88,30.7,7.47,107718,21504.93412843707
Hamilton,OH,223,2010-2014,39061,2.39,12.45,0.51,2.73,37,17.33,34.32,25.54,67.06,30062,48.05,803272,18.44,31.3,12.41,202332,25188.479120397573
Hampden,MA,72,2010-2014,25013,2.54,15.79,0.47,22.12,39,33.06,25.45,7.76,66.07,26249,48.17,466447,17.70,32.5,14.10,23608,5061.239540612331
Harris,TX,617,2010-2014,48201,2.89,9.23,0.50,41.37,33,18.96,28.98,18.50,32.08,28454,49.75,4269608,18.43,29.8,6.91,611884,14331.151712288343
Hartford,CT,114,2010-2014,09003,2.50,11.80,0.47,16.19,40,19.08,35.57,12.42,64.55,35307,48.43,897374,12.10,30.9,10.95,0,0
Hennepin,MN,78,2010-2014,27053,2.39,9.38,0.48,6.78,36,15.18,46.40,11.76,70.82,38125,49.20,1184091,12.92,29.5,10.38,215930,18235.92950203996
Hidalgo,TX,60,2010-2014,48215,3.61,13.46,0.49,90.91,29,30.41,16.42,0.41,7.44,14525,48.73,806447,34.59,33.1,6.75,103766,12867.05759956947
Hillsborough,FL,131,2010-2014,12057,2.64,11.66,0.48,25.70,36,18.03,29.77,15.67,52.36,27532,48.79,1279668,17.16,32.8,7.09,251368,19643.21996017717
Hillsborough,NH,60,2010-2014,33011,2.56,10.75,0.43,5.64,40,11.11,35.49,1.88,86.82,34767,49.53,402776,8.60,29.8,6.05,24908,6184.08246767434
Horry,SC,50,2010-2014,45051,2.43,15.56,0.45,6.14,43,17.60,22.90,13.53,77.08,23693,48.70,283280,18.88,33.9,5.54,69394,24496.611126800337
Hudson,NJ,70,2010-2014,34017,2.63,9.42,0.49,42.71,35,20.36,36.79,11.20,29.62,32678,49.62,654878,17.37,29.1,32.38,93912,14340.380956452958
Ingham,MI,58.33333333333333,2010-2014,26065,2.40,12.08,0.48,7.48,31,19.39,36.55,10.78,71.71,25010,48.54,282562,22.35,34.4,8.74,59774,21154.295340491644
Iredell,NC,50,2010-2014,37097,2.68,12.37,0.47,7.08,40,13.88,25.13,12.08,77.12,27125,49.21,162999,13.37,29.2,4.20,34320,21055.343897815324
Jackson,MO,69,2010-2014,29095,2.45,13.00,0.46,8.55,36,15.41,28.00,23.58,62.96,26328,48.34,678167,17.48,31.2,9.66,117078,17263.889278009694
Jefferson,AL,110,2010-2014,01073,2.48,14.53,0.50,3.81,37,18.40,30.33,42.12,51.21,26896,47.29,658834,18.70,32.5,8.00,400511,60790.882073481334
Jefferson,KY,68.75,2010-2014,21111,2.40,14.68,0.48,4.58,38,17.05,30.82,20.40,69.90,28464,48.23,751485,16.73,29.2,10.08,212420,28266.698603431872
Jefferson,TX,50,2010-2014,48245,2.55,14.73,0.49,18.09,36,20.11,17.99,33.34,43.39,23563,51.11,252466,21.31,31.3,9.29,109595,43409.805676804004
Kanawha,WV,62.5,2010-2014,54039,2.29,19.73,0.47,1.02,43,18.23,24.92,4.11,88.20,27913,48.10,191765,15.04,25.9,9.55,34608.3,18047.24532631085
Kane,IL,50,2010-2014,17089,3.01,7.86,0.43,31.05,36,17.37,31.82,5.26,58.46,30645,49.77,521874,11.54,32.1,4.82,39338,7537.834803036749
Kent,MI,50,2010-2014,26081,2.62,11.02,0.45,9.92,35,17.89,32.60,9.34,75.37,26436,49.06,615381,15.48,30.1,7.71,140062,22760.208716226207
Kent,RI,56.66666666666667,2010-2014,44003,2.39,13.96,0.44,3.74,43,14.16,30.11,1.31,90.59,34110,48.27,165253,8.83,30.7,6.30,0,0
King,WA,264,2010-2014,53033,2.44,9.59,0.47,9.17,37,12.37,47.06,6.00,63.49,40656,49.89,2008997,11.79,29.1,9.66,316552,15756.718402267401
Knox,TN,64,2010-2014,47093,2.37,12.69,0.48,3.69,37,14.75,34.51,9.03,83.28,28255,48.61,440732,15.31,30.4,6.62,132340,30027.31818883131
Lake,IL,93,2010-2014,17097,2.83,7.93,0.48,20.46,37,13.20,42.66,6.63,64.24,38459,49.90,703170,9.40,30.5,4.96,53505.45,7609.177012671188
Lake,OH,50,2010-2014,39085,2.41,11.31,0.42,3.70,43,10.90,25.97,3.56,90.05,29556,48.78,229602,9.19,29.3,5.80,27014,11765.576954904574
Lee,FL,78,2010-2014,12071,2.59,13.74,0.47,18.97,46,15.88,25.33,8.17,69.89,27578,49.04,647554,16.05,32.3,5.24,145756,22508.701976977984
Lorain,OH,70,2010-2014,39093,2.50,14.15,0.43,8.81,41,17.37,22.28,7.90,79.72,26487,49.22,302465,14.58,31.3,6.94,43940,14527.300679417454
Los Angeles,CA,320,2010-2014,06037,3.02,9.56,0.50,48.13,35,22.45,29.91,8.04,27.19,27987,49.26,9974203,18.39,35.4,9.78,854411.8,8566.216268106835
Lucas,OH,120,2010-2014,39095,2.40,14.92,0.48,6.42,38,22.20,24.17,18.53,70.34,24683,48.50,438167,21.11,32.0,10.84,110474,25212.761344418912
Macomb,MI,102,2010-2014,26099,2.51,13.56,0.42,2.38,41,16.38,23.08,9.75,82.12,27145,48.62,849344,12.76,31.3,6.68,99372,11699.853063069851
Madison,IL,55,2010-2014,17119,2.45,11.96,0.44,2.92,39,17.10,24.76,7.97,86.22,28093,48.90,267937,13.86,30.5,6.24,47580,17757.905776357875
Mahoning,OH,64,2010-2014,39099,2.34,15.79,0.46,5.03,43,20.74,21.50,15.02,77.13,23628,48.56,235809,17.88,31.3,9.16,28028,11885.890699676433
Manatee,FL,90,2010-2014,12081,2.48,13.41,0.46,15.30,46,15.02,27.54,8.68,72.58,27948,48.35,335840,14.88,33.8,5.30,77428,23055.026202953788
Maricopa,AZ,131,2010-2014,04013,2.74,10.20,0.46,29.92,35,17.96,29.96,4.88,57.79,27477,49.43,3947382,17.11,30.4,6.82,541840,13726.5661139459
Marion,IN,75,2010-2014,18097,2.50,13.37,0.47,9.59,34,22.14,27.74,26.70,58.59,24145,48.17,919336,21.01,32.5,9.52,289770,31519.487978279976
Mecklenburg,NC,95,2010-2014,37119,2.56,8.80,0.49,12.43,34,14.44,41.54,30.36,49.56,32817,48.21,968500,15.53,29.4,6.96,215384,22238.926174496646
Mercer,NJ,50,2010-2014,34021,2.66,10.02,0.49,15.89,38,14.29,39.79,19.58,52.93,38076,48.96,369526,11.67,31.6,11.83,24024,6501.301667541662
Miami-Dade,FL,178,2010-2014,12086,3.06,10.34,0.52,65.22,39,21.42,26.43,16.99,15.36,23433,48.53,2600861,20.51,39.5,11.34,415506,15975.709582326775
Middlesex,MA,196,2010-2014,25017,2.54,8.87,0.47,7.07,39,15.25,51.29,4.51,75.48,43667,48.74,1539832,8.41,28.7,10.63,22447,1457.7564305716467
Middlesex,NJ,68,2010-2014,34023,2.83,8.57,0.42,19.19,38,10.61,40.68,9.05,47.03,34616,49.15,824046,8.54,29.3,7.94,48672,5906.466386585215
Milwaukee,WI,234,2010-2014,55079,2.44,13.02,0.47,13.79,34,27.05,28.67,26.05,53.56,24622,48.28,953401,21.89,32.6,14.33,193076,20251.289855999734
Monmouth,NJ,78,2010-2014,34025,2.66,9.39,0.47,10.08,42,9.58,42.02,6.75,76.22,43548,48.64,629702,7.35,34.5,7.73,57330,9104.306481478541
Monroe,NY,108,2010-2014,36055,2.41,12.23,0.46,7.71,39,19.13,35.93,14.48,71.95,29170,48.30,748076,15.45,33.5,11.82,68380,9140.782487340857
Montgomery,OH,100,2010-2014,39113,2.32,15.30,0.46,2.45,39,19.71,24.77,20.59,72.20,25171,48.06,534801,18.50,31.5,9.91,141830,26520.14487631848
Montgomery,PA,86,2010-2014,42091,2.56,9.41,0.46,4.52,41,8.90,46.25,8.65,77.91,41699,48.55,809372,6.42,29.4,6.17,50674,6260.903515318049
Morris,NJ,60,2010-2014,34027,2.71,7.69,0.45,12.17,42,5.51,50.56,3.04,73.47,48928,48.98,497103,4.66,28.1,4.97,17602,3540.916067696232
Multnomah,OR,63.75,2010-2014,41051,2.40,12.58,0.48,11.02,36,17.78,40.30,5.36,71.63,31047,49.40,757371,18.51,32.9,13.83,190320,25129.0318747351
Muskegon,MI,60,2010-2014,26121,2.54,15.36,0.44,5.07,39,26.72,17.58,13.44,77.07,21037,49.59,171328,20.28,35.3,9.35,31673,18486.762233843856
Nassau,NY,177,2010-2014,36059,3.01,8.49,0.45,15.40,41,10.11,42.27,10.80,63.69,42949,48.44,1350601,6.29,34.0,7.87,68970,5106.6154993221535
New Castle,DE,75,2010-2014,10003,2.62,10.97,0.45,9.08,37,17.01,34.50,23.53,60.40,32616,48.38,545846,11.26,30.2,7.29,0,0
New Hanover,NC,55,2010-2014,37129,2.33,12.75,0.48,5.35,38,13.93,37.17,14.31,76.75,29742,48.27,209586,18.13,32.5,6.06,58944.5,28124.254482646742
New Haven,CT,145,2010-2014,09009,2.55,11.27,0.47,15.97,40,19.33,33.42,11.98,66.04,32794,48.20,863148,12.70,34.0,11.58,0,0
New London,CT,62.5,2010-2014,09011,2.44,12.27,0.43,9.26,41,17.47,31.48,5.27,77.15,34241,50.00,274071,9.12,29.3,7.18,0,0
New York,NY,276,2010-2014,36061,2.09,9.79,0.60,25.71,37,21.13,59.29,12.78,47.38,63610,47.13,1618398,17.74,28.5,78.25,408772,25257.81668044573
Norfolk,MA,94,2010-2014,25021,2.57,9.70,0.48,3.67,41,13.59,49.91,5.86,78.89,45375,47.91,682860,6.46,29.3,9.30,19474,2851.829071844888
Nueces,TX,65,2010-2014,48355,2.72,14.91,0.46,61.64,35,21.44,20.43,3.66,31.76,24875,49.15,348130,17.74,29.9,8.51,96174,27625.886881337432
Oakland,MI,50,2010-2014,26125,2.47,11.35,0.47,3.63,41,12.09,43.68,13.66,73.99,37089,48.53,1220798,10.42,28.8,5.71,101608,8323.08047686841
Ocean,NJ,62.5,2010-2014,34029,2.59,13.17,0.43,8.64,43,16.39,26.33,2.90,85.39,30951,48.01,581413,11.11,38.0,6.82,43810,7535.091234630116
Oklahoma,OK,70,2010-2014,40109,2.53,13.37,0.49,15.74,34,17.64,30.18,14.78,58.43,27114,48.92,743145,18.46,30.0,7.00,269313,36239.63022021274
Onondaga,NY,62,2010-2014,36067,2.43,11.72,0.46,4.33,39,18.84,33.49,10.66,78.39,29156,48.25,467846,15.24,30.2,12.79,72938.67,15590.31604416838
Orange,CA,68.33333333333333,2010-2014,06059,3.04,8.10,0.46,34.05,37,15.47,37.31,1.53,42.89,34416,49.41,3086331,12.85,34.0,4.84,376561.28,12200.936322124879
Orange,FL,159,2010-2014,12095,2.76,9.88,0.48,28.15,34,15.63,30.59,19.74,44.30,25052,49.21,1200241,17.75,35.3,6.45,255424,21281.05938723973
Orange,NY,50,2010-2014,36071,2.90,11.63,0.43,18.77,37,18.45,28.65,9.33,67.08,30561,50.04,374518,12.63,36.1,9.86,31850,8504.26414751761
Palm Beach,FL,119,2010-2014,12099,2.53,11.70,0.51,19.98,44,13.77,32.75,17.27,58.37,33072,48.37,1359074,14.56,36.1,6.61,208520,15342.799582657015
Passaic,NJ,68,2010-2014,34031,3.06,9.19,0.47,38.45,36,23.11,26.23,11.10,43.92,27795,48.63,505403,16.44,37.1,16.31,34450,6816.342601844469
Peoria,IL,60,2010-2014,17143,2.39,11.09,0.46,4.23,37,20.61,29.27,17.47,71.71,28414,48.42,187197,16.98,28.6,9.29,37821,20203.84942066379
Philadelphia,PA,139,2010-2014,42101,2.58,15.63,0.51,13.03,34,30.07,24.51,41.76,36.20,22542,47.22,1546920,26.68,34.7,32.77,184210,11908.17883277739
Pima,AZ,122,2010-2014,04019,2.50,13.71,0.47,35.38,38,20.88,30.07,3.24,54.14,25524,49.17,993144,19.05,32.0,8.56,183716,18498.425203193092
Pinellas,FL,72,2010-2014,12103,2.25,14.64,0.48,8.46,47,14.81,28.29,10.15,75.93,29617,47.95,925030,14.35,33.5,9.07,228878,24742.765099510285
Plymouth,MA,80,2010-2014,25023,2.71,11.25,0.44,3.41,42,18.98,33.98,8.37,83.49,35869,48.64,500772,7.69,32.4,6.58,33540,6697.658814789964
Polk,FL,61,2010-2014,12105,2.73,15.00,0.43,18.64,40,20.51,18.57,14.60,63.20,21157,49.00,617323,18.45,32.7,6.92,157014,25434.65900347144
Prince George's,MD,61.66666666666667,2010-2014,24033,2.83,8.47,0.40,15.87,36,16.20,30.37,62.88,14.51,32637,48.07,884764,9.75,31.3,9.78,70148,7928.441934798431
Providence,RI,191,2010-2014,44007,2.53,13.30,0.48,19.89,37,22.43,26.37,7.64,64.67,26690,48.39,629280,17.96,31.3,12.37,0,0
Ramsey,MN,55,2010-2014,27123,2.45,11.22,0.46,7.26,35,20.26,39.77,10.80,65.36,30076,48.57,521265,16.85,31.1,11.41,136916,26266.102654120266
Richland,SC,50,2010-2014,45079,2.51,11.39,0.46,4.93,33,16.42,36.17,45.55,44.61,25920,48.59,393707,17.24,32.4,6.92,100048,25411.79100193799
Rio Arriba,NM,85,2010-2014,35039,2.77,18.50,0.46,71.41,40,26.91,15.55,0.39,13.13,19483,49.18,40155,22.53,32.5,5.91,7853,19556.717718839496
Robeson,NC,50,2010-2014,37155,2.89,17.30,0.48,8.11,35,33.42,12.43,24.03,26.75,15460,48.49,134913,31.98,31.8,9.90,34736,25746.96285754523
Sacramento,CA,67.5,2010-2014,06067,2.74,12.86,0.45,22.06,35,22.84,28.24,9.68,47.33,27071,48.93,1450277,18.08,33.8,7.79,257530,17757.297399048595
Salt Lake,UT,119,2010-2014,49035,3.02,8.87,0.44,17.47,32,11.19,31.34,1.51,73.23,26747,50.24,1063670,12.94,30.0,5.85,163254,15348.181296830784
San Diego,CA,107,2010-2014,06073,2.85,9.46,0.47,32.66,35,15.05,35.10,4.73,47.46,31043,50.21,3183143,14.69,33.9,6.14,491634,15444.923460868706
San Francisco,CA,254,2010-2014,06075,2.32,10.46,0.52,15.26,39,16.81,52.92,5.51,41.42,49986,50.84,829072,13.28,28.1,30.40,125060,15084.335256769013
