CHOP honest brokered variables,,,,,,,,,,,,,,,,,,,,,,,,,
G_time_accel,Floating Point,Seconds,Duration Feature,Global amount of time player vehicle was accelerating,{throttle and time_step channels},sum(time_step[throttle > 0.05]),,,,,,,,,,,,,,,,,,,
G_time_brake,Floating Point,Seconds,Duration Feature,Global amount of time player vehicle was braking,{brake and time_step channels},sum(time_step[brake > 0.05]),,,,,,,,,,,,,,,,,,,
G_ttc_min,Floating Point,Seconds,Time to Collision Feature,Global minimum of time to collision,{time_to_collision channel},min(time_to_collision),,,,,,,,,,,,,,,,,,,
G_ttc_mean,Floating Point,Seconds,Time to Collision Feature,Global mean of time to collision,{time_to_collision channel},mean(time_to_collision),,,,,,,,,,,,,,,,,,,
G_ttc_stdev,Floating Point,Seconds,Time to Collision Feature,Global standard deviation of time to collision,{time_to_collision channel},"std_dev(time_to_collision, ddof=1)",,,,,,,,,,,,,,,,,,,
G_time_ttc_5below,Floating Point,Seconds,Time to Collision Feature,Global time spent driving with time to collision less than 5 seconds,"{time_to_collision, time_step channels}",sum(time_step[where time_to_collision < 5.0]),,,,,,,,,,,,,,,,,,,
G_time_ttc_3below,Floating Point,Seconds,Time to Collision Feature,Global time spent driving with time to collision less than 3 seconds,"{time_to_collision, time_step channels}",sum(time_step[where time_to_collision < 3.0]),,,,,,,,,,,,,,,,,,,
G_frames_ttc_5below,Integer (non-negative),Tally,Time to Collision Feature,Global number of instances where time to collision fell below 5 seconds,{time_to_collision channel},Number of sequences of frames where time_to_collision < 5.0,,,,,,,,,,,,,,,,,,,
G_frames_ttc_3below,Integer (non-negative),Tally,Time to Collision Feature,Global number of instances where time to collision fell below 3 seconds,{time_to_collision channel},Number of sequences of frames where time_to_collision < 3.0,,,,,,,,,,,,,,,,,,,
G_miles_ttc_5below,Floating Point,Miles,Time to Collision Feature,Global distance driven while the time to collision was less than 5 seconds,"{time_to_collision, mph_speed channels}",sum(time_step[where time_to_collision < 5.0] * mph_speed[where time_to_collision < 5.0]),,,,,,,,,,,,,,,,,,,
G_miles_ttc_3below,Floating Point,Miles,Time to Collision Feature,Global distance driven while the time to collision was less than 3 seconds,"{time_to_collision, mph_speed channels}",sum(time_step[where time_to_collision < 3.0] * mph_speed[where time_to_collision < 3.0]),,,,,,,,,,,,,,,,,,,
CW_crash_veh,Integer (non-negative),Tally,Collisions Feature,Tally of collisions with vehicle traffic in the Crosswalk Event Zone,"{vehicle_collisions channel, Crosswalk Event Zone Waypoints}","Using frames reported by Unity to have collisions, confirms if closest object in range of collision was a vehicle in frame. Sum over all frame values in channel in the Crosswalk Event Zone",,,,,,,,,,,,,,,,,,,
CW_crash_ped,Integer (non-negative),Tally,Collisions Feature,Tally of collisions with pedestrian traffic in the Crosswalk Event Zone,"{pedestrian_collisions channel, Crosswalk Event Zone Waypoints}","Using frames reported by Unity to have collisions, confirms if closest object in range of collision was a pedestrian in frame. Sum over all frame values in channel in the Crosswalk Event Zone",,,,,,,,,,,,,,,,,,,
CW_crash_obj_mov,Integer (non-negative),Tally,Collisions Feature,Tally of collisions with miscelaneous objects (e.g. ball in the road) in the Crosswalk Event Zone,"{misc_obj_collisions channel, Crosswalk Event Zone Waypoints}","Using frames reported by Unity to have collisions, confirms if closest object in range of collision was a miscellaneous object in frame. Sum over all frame values in channel in the Crosswalk Event Zone",,,,,,,,,,,,,,,,,,,
CW_crash_obj_envir,Integer (non-negative),Tally,Collisions Feature,"Tally of collisions with static environmental objects (e.g. street sign, trees) in the Crosswalk Event Zone","{static_collisions channel, Crosswalk Event Zone Waypoints}","Using frames reported by Unity to have collisions, assumes static object colliders are accurate. Sum over all frame values in channel in the Crosswalk Event Zone",,,,,,,,,,,,,,,,,,,
CW_spd_limit_20above,Floating Point (percentage),"Percentage [0,1]",Speed Management Feature,Percentage of the assessment drive spent driven 20 miles per hour over the posted speed limit in the Crosswalk Event Zone,"{mph_speed_diff channel, Crosswalk Event Zone Waypoints}",(# frames where mph_speed >= mhp_speed_limit + 20) / (# total frames) in the Crosswalk Event Zone,,,,,,,,,,,,,,,,,,,
CW_spd_limit_15above,Floating Point (percentage),"Percentage [0,1]",Speed Management Feature,Percentage of the assessment drive spent driven 15 miles per hour over the posted speed limit in the Crosswalk Event Zone,"{mph_speed_diff channel, Crosswalk Event Zone Waypoints}",(# frames where mph_speed >= mhp_speed_limit + 15) / (# total frames) in the Crosswalk Event Zone,,,,,,,,,,,,,,,,,,,
CW_spd_limit_10above,Floating Point (percentage),"Percentage [0,1]",Speed Management Feature,Percentage of the assessment drive spent driven 10 miles per hour over the posted speed limit in the Crosswalk Event Zone,"{mph_speed_diff channel, Crosswalk Event Zone Waypoints}",(# frames where mph_speed >= mhp_speed_limit + 10) / (# total frames) in the Crosswalk Event Zone,,,,,,,,,,,,,,,,,,,
CW_spd_limit_10below,Floating Point (percentage),"Percentage [0,1]",Speed Management Feature,Percentage of the assessment drive spent driven 10 miles per hour under the posted speed limit in the Crosswalk Event Zone,"{mph_speed_diff channel, Crosswalk Event Zone Waypoints}",(# frames where mph_speed <= mhp_speed_limit - 10) / (# total frames) in the Crosswalk Event Zone,,,,,,,,,,,,,,,,,,,
CW_spd_limit_15below,Floating Point (percentage),"Percentage [0,1]",Speed Management Feature,Percentage of the assessment drive spent driven 15 miles per hour under the posted speed limit in the Crosswalk Event Zone,"{mph_speed_diff channel, Crosswalk Event Zone Waypoints}",(# frames where mph_speed <= mhp_speed_limit - 15) / (# total frames) in the Crosswalk Event Zone,,,,,,,,,,,,,,,,,,,
CW_spd_limit_20below,Floating Point (percentage),"Percentage [0,1]",Speed Management Feature,Percentage of the assessment drive spent driven 20 miles per hour under the posted speed limit in the Crosswalk Event Zone,"{mph_speed_diff channel, Crosswalk Event Zone Waypoints}",(# frames where mph_speed <= mhp_speed_limit - 20) / (# total frames) in the Crosswalk Event Zone,,,,,,,,,,,,,,,,,,,
CW_spd_max,Floating Point,Miles per hour,Speed Management Feature,Maximum of player vehicle's speed in the Crosswalk Event Zone,"{mph_speed channel, Crosswalk Event Zone Waypoints}",max(mph_speed) in the Crosswalk Event Zone,,,,,,,,,,,,,,,,,,,
CW_spd_min,Floating Point,Miles per hour,Speed Management Feature,Minimum of player vehicle's speed in the Crosswalk Event Zone,"{mph_speed channel, Crosswalk Event Zone Waypoints}",min(mph_speed) in the Crosswalk Event Zone,,,,,,,,,,,,,,,,,,,
CW_spd_mean,Floating Point,Miles per hour,Speed Management Feature,Mean of player vehicle's speed in the Crosswalk Event Zone,"{mph_speed channel, Crosswalk Event Zone Waypoints}",mean(mph_speed) in the Crosswalk Event Zone,,,,,,,,,,,,,,,,,,,
CW_spd_stdev,Floating Point,Miles per hour,Speed Management Feature,Standard deviation of player vehicle's speed in the Crosswalk Event Zone,"{mph_speed channel, Crosswalk Event Zone Waypoints}","std_dev(mph_speed, ddof=1) in the Crosswalk Event Zone",,,,,,,,,,,,,,,,,,,
CW_spd_limit_diff_max,Floating Point,Miles per hour,Speed Management Feature,Maximum of difference between the player vehicle's speed and the posted speed limit in the Crosswalk Event Zone,"{mph_speed_diff channel, Crosswalk Event Zone Waypoints}",max(mph_speed_diff) in the Crosswalk Event Zone,,,,,,,,,,,,,,,,,,,
CW_spd_limit_diff_min,Floating Point,Miles per hour,Speed Management Feature,Minimum of difference between the player vehicle's speed and the posted speed limit in the Crosswalk Event Zone,"{mph_speed_diff channel, Crosswalk Event Zone Waypoints}",min(mph_speed_diff) in the Crosswalk Event Zone,,,,,,,,,,,,,,,,,,,
CW_spd_limit_diff_mean,Floating Point,Miles per hour,Speed Management Feature,Mean of difference between the player vehicle's speed and the posted speed limit in the Crosswalk Event Zone,"{mph_speed_diff channel, Crosswalk Event Zone Waypoints}",mean(mph_speed_diff) in the Crosswalk Event Zone,,,,,,,,,,,,,,,,,,,
CW_spd_limit_diff_stdev,Floating Point,Miles per hour,Speed Management Feature,Standard deviation of difference between the player vehicle's speed and the posted speed limit in the Crosswalk Event Zone,"{mph_speed_diff channel, Crosswalk Event Zone Waypoints}","std_dev(mph_speed_diff, ddof=1) in the Crosswalk Event Zone",,,,,,,,,,,,,,,,,,,
CW_spd_ratio_max,Floating Point (ratio),Ratio,Speed Management Feature,Maximum of ratio between the player vehicle's speed and the posted speed limit in the Crosswalk Event Zone,"{mph_speed and mph_speed_limit channels, Crosswalk Event Zone Waypoints}",max(mph_speed / mph_speed_limit) in the Crosswalk Event Zone,,,,,,,,,,,,,,,,,,,
CW_spd_ratio_min,Floating Point (ratio),Ratio,Speed Management Feature,Minimum of ratio between the player vehicle's speed and the posted speed limit in the Crosswalk Event Zone,"{mph_speed and mph_speed_limit channels, Crosswalk Event Zone Waypoints}",min(mph_speed / mph_speed_limit) in the Crosswalk Event Zone,,,,,,,,,,,,,,,,,,,
CW_spd_ratio_mean,Floating Point (ratio),Ratio,Speed Management Feature,Mean of ratio between the player vehicle's speed and the posted speed limit in the Crosswalk Event Zone,"{mph_speed and mph_speed_limit channels, Crosswalk Event Zone Waypoints}",mean(mph_speed / mph_speed_limit) in the Crosswalk Event Zone,,,,,,,,,,,,,,,,,,,
CW_spd_ratio_stdev,Floating Point (ratio),Ratio,Speed Management Feature,Standard deviation of ratio betweent he player vehicle's speed and the posted speed limit in the Crosswalk Event Zone,"{mph_speed and mph_speed_limit channels, Crosswalk Event Zone Waypoints}",std_dev(mph_speed / mph_speed_limit) in the Crosswalk Event Zone,,,,,,,,,,,,,,,,,,,
CW_accel_max,Floating Point,Miles per hour per second,Speed Management Feature,Maximum of player vehicle's acceleration in the Crosswalk Event Zone,"{mph_acceleration channel, Crosswalk Event Zone Waypoints}",max(mph_acceleration) in the Crosswalk Event Zone,,,,,,,,,,,,,,,,,,,
CW_accel_min,Floating Point,Miles per hour per second,Speed Management Feature,Minimum of player vehicle's acceleration (max deceleration) in the Crosswalk Event Zone,"{mph_acceleration channel, Crosswalk Event Zone Waypoints}",min(mph_acceleration) in the Crosswalk Event Zone,,,,,,,,,,,,,,,,,,,
CW_accel_mean,Floating Point,Miles per hour per second,Speed Management Feature,Mean of player vehicle's acceleration in the Crosswalk Event Zone,"{mph_acceleration channel, Crosswalk Event Zone Waypoints}",mean(mph_speed_acceleration) in the Crosswalk Event Zone,,,,,,,,,,,,,,,,,,,
CW_accel_stdev,Floating Point,Miles per hour per second,Speed Management Feature,Standard deviation of player vehicle's acceleration in the Crosswalk Event Zone,"{mph_acceleration channel, Crosswalk Event Zone Waypoints}","std_dev(mph_speed_acceleration, ddof=1) in the Crosswalk Event Zone",,,,,,,,,,,,,,,,,,,
CW_jerk_max,Floating Point,Miles per hour per seconds squared,Speed Management Feature,Maximum of player vehicle's jerk (derivative of acceleration) in the Crosswalk Event Zone,"{mph_jerk channel, Crosswalk Event Zone Waypoints}",max(mph_jerk) in the Crosswalk Event Zone,,,,,,,,,,,,,,,,,,,
CW_jerk_min,Floating Point,Miles per hour per seconds squared,Speed Management Feature,Minimum of player vehicle's jerk (derivative of acceleration) in the Crosswalk Event Zone,"{mph_jerk channel, Crosswalk Event Zone Waypoints}",min(mph_jerk) in the Crosswalk Event Zone,,,,,,,,,,,,,,,,,,,
CW_jerk_mean,Floating Point,Miles per hour per seconds squared,Speed Management Feature,Mean of player vehicle's jerk (derivative of acceleration) in the Crosswalk Event Zone,"{mph_jerk channel, Crosswalk Event Zone Waypoints}",mean(mph_jerk) in the Crosswalk Event Zone,,,,,,,,,,,,,,,,,,,
CW_jerk_stdev,Floating Point,Miles per hour per seconds squared,Speed Management Feature,Standard deviation of player vehicle's jerk (derivative of acceleration) in the Crosswalk Event Zone,"{mph_jerk channel, Crosswalk Event Zone Waypoints}","std_dev(mph_jerk, ddof=1) in the Crosswalk Event Zone",,,,,,,,,,,,,,,,,,,
CW_throttle_max,Floating Point (percentage),"Percentage [0,1]",User Input Feature,Maximum percentage of accelerator pedal depression in the Crosswalk Event Zone,"{throttle channel, Crosswalk Event Zone Waypoints}",max(throttle) in the Crosswalk Event Zone,,,,,,,,,,,,,,,,,,,
CW_throttle_min,Floating Point (percentage),"Percentage [0,1]",User Input Feature,Minimum percentage of accelerator pedal depression in the Crosswalk Event Zone,"{throttle channel, Crosswalk Event Zone Waypoints}",min(throttle) in the Crosswalk Event Zone,,,,,,,,,,,,,,,,,,,
CW_throttle_mean,Floating Point (percentage),"Percentage [0,1]",User Input Feature,Mean percentage of accelerator pedal depression in the Crosswalk Event Zone,"{throttle channel, Crosswalk Event Zone Waypoints}",mean(throttle) in the Crosswalk Event Zone,,,,,,,,,,,,,,,,,,,
CW_throttle_stdev,Floating Point (percentage),"Percentage [0,1]",User Input Feature,Standard deviation of percentage of accelerator pedal depression in the Crosswalk Event Zone,"{throttle channel, Crosswalk Event Zone Waypoints}","std_dev(throttle, ddof=1) in the Crosswalk Event Zone",,,,,,,,,,,,,,,,,,,
CW_brake_max,Floating Point (percentage),"Percentage [0,1]",User Input Feature,Maximum percentage of brake pedal depression in the Crosswalk Event Zone,"{brake channel, Crosswalk Event Zone Waypoints}",max(brake) in the Crosswalk Event Zone,,,,,,,,,,,,,,,,,,,
CW_brake_min,Floating Point (percentage),"Percentage [0,1]",User Input Feature,Minimum percentage of brake pedal depression in the Crosswalk Event Zone,"{brake channel, Crosswalk Event Zone Waypoints}",min(brake) in the Crosswalk Event Zone,,,,,,,,,,,,,,,,,,,
CW_brake_mean,Floating Point (percentage),"Percentage [0,1]",User Input Feature,Mean percentage of brake pedal depression in the Crosswalk Event Zone,"{brake channel, Crosswalk Event Zone Waypoints}",mean(brake) in the Crosswalk Event Zone,,,,,,,,,,,,,,,,,,,
CW_brake_stdev,Floating Point (percentage),"Percentage [0,1]",User Input Feature,Standard deviation of percentage of brake pedal depression in the Crosswalk Event Zone,"{brake channel, Crosswalk Event Zone Waypoints}","std_dev(brake, ddof=1) in the Crosswalk Event Zone",,,,,,,,,,,,,,,,,,,
CW_steer_max,Floating Point (signed percentage),"Signed Percentage [-1,1]",User Input Feature,Maximum of steering wheel rotation signed percentage (positive : right :: negative : left) in the Crosswalk Event Zone,"{steering channel, Crosswalk Event Zone Waypoints}",max(steering) in the Crosswalk Event Zone,,,,,,,,,,,,,,,,,,,
CW_steer_min,Floating Point (signed percentage),"Signed Percentage [-1,1]",User Input Feature,Minimum of steering wheel rotation signed percentage (positive : right :: negative : left) in the Crosswalk Event Zone,"{steering channel, Crosswalk Event Zone Waypoints}",min(steering) in the Crosswalk Event Zone,,,,,,,,,,,,,,,,,,,
CW_steer_mean,Floating Point (signed percentage),"Signed Percentage [-1,1]",User Input Feature,Mean of steering wheel rotation signed percentage (positive : right :: negative : left) in the Crosswalk Event Zone,"{steering channel, Crosswalk Event Zone Waypoints}",mean(steering) in the Crosswalk Event Zone,,,,,,,,,,,,,,,,,,,
CW_steer_stdev,Floating Point (signed percentage),"Signed Percentage [-1,1]",User Input Feature,Standard deviation of steering wheel rotation signed percentage (positive : right :: negative : left) in the Crosswalk Event Zone,"{steering channel, Crosswalk Event Zone Waypoints}","std_dev(steering, ddof=1) in the Crosswalk Event Zone",,,,,,,,,,,,,,,,,,,
CW_stop,Integer (non-negative),Tally,Navigational Feature,Tally of instances where player vehicle comes to a complete stop in the Crosswalk Event Zone,"{mph_speed, mph_acceleration, mph_speed_limit, throttle, and brake channels, Crosswalk Event Zone Waypoints}",# instances where contiguous sequences of frames have (brake > 0) and (mph_speed < 0.25 * mph_speed_limit) and (mph_acceleration < 0). Sequence ends when (mph_acceleration > 0) and (throttle > 0) in the Crosswalk Event Zone,,,,,,,,,,,,,,,,,,,
CW_lanedev_max,Floating Point,Meters,Navigational Feature,Maximum of player vehicle's lateral displacement from the center of lane in the Crosswalk Event Zone,"{lane_deviation channel, Crosswalk Event Zone Waypoints}",max(lane_deviation) in the Crosswalk Event Zone,,,,,,,,,,,,,,,,,,,
CW_lanedev_min,Floating Point,Meters,Navigational Feature,Minimum of player vehicle's lateral displacement from the center of lane in the Crosswalk Event Zone,"{lane_deviation channel, Crosswalk Event Zone Waypoints}",min(lane_deviation) in the Crosswalk Event Zone,,,,,,,,,,,,,,,,,,,
CW_lanedev_mean,Floating Point,Meters,Navigational Feature,Mean of player vehicle's lateral displacement from the center of lane in the Crosswalk Event Zone,"{lane_deviation channel, Crosswalk Event Zone Waypoints}",mean(lane_deviation) in the Crosswalk Event Zone,,,,,,,,,,,,,,,,,,,
CW_lanedev_stdev,Floating Point,Meters,Navigational Feature,Standard deviation of player vehicle's lateral displacement from the center of lane in the Crosswalk Event Zone,"{lane_deviation channel, Crosswalk Event Zone Waypoints}","std_dev(lane_deviation, ddof=1) in the Crosswalk Event Zone",,,,,,,,,,,,,,,,,,,
CW_heading_angle_max,Floating Point,"Degrees [0,180]",Navigational Feature,Maximum angle between the player vehicle's heading vector and the road-following vector in the Crosswalk Event Zone,"{heading_error channel, Crosswalk Event Zone Waypoints}",max(heading_error) in the Crosswalk Event Zone,,,,,,,,,,,,,,,,,,,
CW_heading_angle_min,Floating Point,"Degrees [0,180]",Navigational Feature,Minimum angle between the player vehicle's heading vector and the road-following vector in the Crosswalk Event Zone,"{heading_error channel, Crosswalk Event Zone Waypoints}",min(heading_error) in the Crosswalk Event Zone,,,,,,,,,,,,,,,,,,,
CW_heading_angle_mean,Floating Point,"Degrees [0,180]",Navigational Feature,Mean angle between the player vehicle's heading vector and the road-following vector in the Crosswalk Event Zone,"{heading_error channel, Crosswalk Event Zone Waypoints}",mean(heading_error) in the Crosswalk Event Zone,,,,,,,,,,,,,,,,,,,
CW_heading_angle_stdev,Floating Point,"Degrees [0,180]",Navigational Feature,Standard deviation of angle between the player vehicle's heading vector and the road-following vector in the Crosswalk Event Zone,"{heading_error channel, Crosswalk Event Zone Waypoints}",std_dev(heading_error) in the Crosswalk Event Zone,,,,,,,,,,,,,,,,,,,
CW_roaddev_max,Floating Point,Meters,Navigational Feature,Maximum distance from the player vehicle to the center of the road (median) in the Crosswalk Event Zone,"{distance_from_road_center channel, Crosswalk Event Zone Waypoints}",max(distance_from_road_center) in the Crosswalk Event Zone,,,,,,,,,,,,,,,,,,,
CW_roaddev_min,Floating Point,Meters,Navigational Feature,Minimum distance from the player vehicle to the center of the road (median) in the Crosswalk Event Zone,"{distance_from_road_center channel, Crosswalk Event Zone Waypoints}",min(distance_from_road_center) in the Crosswalk Event Zone,,,,,,,,,,,,,,,,,,,
CW_roaddev_mean,Floating Point,Meters,Navigational Feature,Mean distance from the player vehicle to the center of the road (median) in the Crosswalk Event Zone,"{distance_from_road_center channel, Crosswalk Event Zone Waypoints}",mean(distance_from_road_center) in the Crosswalk Event Zone,,,,,,,,,,,,,,,,,,,
CW_roaddev_stdev,Floating Point,Meters,Navigational Feature,Standard deviation of distance from the player vehicle to the center of the road (median) in the Crosswalk Event Zone,"{distance_from_road_center channel, Crosswalk Event Zone Waypoints}","std_dev(distance_from_road_center, ddof=1) in the Crosswalk Event Zone",,,,,,,,,,,,,,,,,,,
CW_time_assess,Floating Point,Seconds,Duration Feature,Duration of assessment drive in the Crosswalk Event Zone,"{time_step channel, Crosswalk Event Zone Waypoints}",sum(time_step) in the Crosswalk Event Zone,,,,,,,,,,,,,,,,,,,
CW_time_stationary,Floating Point,Seconds,Duration Feature,Amount of time player vehicle was stationary  in the Crosswalk Event Zone,"{throttle, mph_speed, and time_step channels, Crosswalk Event Zone Waypoints}",sum(time_step[(mph_speed < 0.5 ) & (throttle < 0.05)]) in the Crosswalk Event Zone,,,,,,,,,,,,,,,,,,,
CW_time_coasting,Floating Point,Seconds,Duration Feature,Amount of time player vehicle was coasting in the Crosswalk Event Zone,"{throttle, mph_speed, brake, and time_step channels, Crosswalk Event Zone Waypoints}",sum(time_step[(mph_speed > 0.5) & (throttle < 0.05) & (brake < 0.05)]) in the Crosswalk Event Zone,,,,,,,,,,,,,,,,,,,
CW_time_accel,Floating Point,Seconds,Duration Feature,Amount of time player vehicle was accelerating  in the Crosswalk Event Zone,"{throttle and time_step channels, Crosswalk Event Zone Waypoints}",sum(time_step[throttle > 0.05]) in the Crosswalk Event Zone,,,,,,,,,,,,,,,,,,,
CW_time_brake,Floating Point,Seconds,Duration Feature,Amount of time player vehicle was braking in the Crosswalk Event Zone,"{brake and time_step channels, Crosswalk Event Zone Waypoints}",sum(time_step[brake > 0.05]) in the Crosswalk Event Zone,,,,,,,,,,,,,,,,,,,
CW_ttc_min,Floating Point,Seconds,Time to Collision Feature,Minimum of time to collision in the Crosswalk Event Zone,{time_to_collision channel},min(time_to_collision) in the Crosswalk Event Zone,,,,,,,,,,,,,,,,,,,
CW_ttc_mean,Floating Point,Seconds,Time to Collision Feature,Mean of time to collision in the Crosswalk Event Zone,{time_to_collision channel},mean(time_to_collision) in the Crosswalk Event Zone,,,,,,,,,,,,,,,,,,,
CW_ttc_stdev,Floating Point,Seconds,Time to Collision Feature,Standard deviation of time to collision in the Crosswalk Event Zone,{time_to_collision channel},"std_dev(time_to_collision, ddof=1) in the Crosswalk Event Zone",,,,,,,,,,,,,,,,,,,
CW_time_ttc_5below,Floating Point,Seconds,Time to Collision Feature,Time spent driving with time to collision less than 5 seconds in the Crosswalk Event Zone,"{time_to_collision, time_step channels}",sum(time_step[where time_to_collision < 5.0]) in the Crosswalk Event Zone,,,,,,,,,,,,,,,,,,,
CW_time_ttc_3below,Floating Point,Seconds,Time to Collision Feature,Time spent driving with time to collision less than 3 seconds in the Crosswalk Event Zone,"{time_to_collision, time_step channels}",sum(time_step[where time_to_collision < 3.0]) in the Crosswalk Event Zone,,,,,,,,,,,,,,,,,,,
CW_frames_ttc_5below,Integer (non-negative),Tally,Time to Collision Feature,Number of instances where time to collision fell below 5 seconds in the Crosswalk Event Zone,{time_to_collision channel},Number of sequences of frames where time_to_collision < 5.0  in the Crosswalk Event Zone,,,,,,,,,,,,,,,,,,,
CW_frames_ttc_3below,Integer (non-negative),Tally,Time to Collision Feature,Number of instances where time to collision fell below 3 seconds in the Crosswalk Event Zone,{time_to_collision channel},Number of sequences of frames where time_to_collision < 3.0  in the Crosswalk Event Zone,,,,,,,,,,,,,,,,,,,
CW_miles_ttc_5below,Floating Point,Miles,Time to Collision Feature,Distance driven while the time to collision was less than 5 seconds in the Crosswalk Event Zone,"{time_to_collision, mph_speed channels}",sum(time_step[where time_to_collision < 5.0] * mph_speed[where time_to_collision < 5.0]) in the Crosswalk Event Zone,,,,,,,,,,,,,,,,,,,
CW_miles_ttc_3below,Floating Point,Miles,Time to Collision Feature,Distance driven while the time to collision was less than 3 seconds in the Crosswalk Event Zone,"{time_to_collision, mph_speed channels}",sum(time_step[where time_to_collision < 3.0] * mph_speed[where time_to_collision < 3.0]) in the Crosswalk Event Zone,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
