Gene	count_DF_927_1_GFP_tdt	count_DF_927_1_GFP	count_DF_980_3_GFP_tdt	count_DF_980_3_GFP
Gm8363	0	0	2	1
Gm8369	2	6	4	5
Gm839	0	0	0	1
Gm8439	3	5	7	6
Gm8453	0	0	0	0
Gm853	0	0	0	0
Gm8579	2	0	1	2
Gm8580	0	5	53	46
Gm8615	440	396	975	1054
Gm8633	0	0	0	0
Gm8653	0	0	0	0
Gm8660	0	0	0	0
Gm867	13	10	11	23
Gm8677	0	0	0	0
Gm8693	0	0	0	0
Gm8709	0	0	0	0
Gm8720	0	0	0	0
Gm8764	0	0	0	0
Gm8765	0	0	0	0
Gm8773	0	0	1	2
Gm8787	27	21	32	20
Gm8801	682	467	515	900
Gm8817	1	0	1	0
Gm884	0	0	0	0
Gm8882	0	0	0	0
Gm8883	0	0	0	0
Gm8884	0	0	0	0
Gm8898	0	0	0	0
Gm8909	123	44	61	66
Gm8923	0	0	0	0
Gm8979	0	0	0	0
Gm8989	0	0	0	0
Gm8994	4	5	9	2
Gm9	0	0	0	0
Gm904	0	0	0	0
Gm9047	0	0	1	1
Gm9054	2	1	0	0
Gm906	0	0	0	0
Gm9079	82	52	41	78
Gm9112	0	0	0	0
Gm9125	0	0	0	0
Gm9159	0	0	1	4
Gm9199	4	1	1	4
Gm9268	0	0	0	0
Gm933	82	65	52	117
Gm9376	0	0	0	0
Gm94	0	0	0	0
Gm9513	0	0	0	0
Gm9573	2	0	0	0
Gm960	41	27	28	35
Gm9696	0	0	0	0
Gm973	29	32	16	54
Gm9731	3	0	3	1
Gm9733	5	1	1	4
Gm9758	0	0	0	0
Gm9767	0	0	0	0
Gm9776	285	286	258	322
Gm9833	311	190	236	279
Gm9839	0	0	0	0
Gm9855	0	0	0	0
Gm9866	0	0	0	0
Gm9871	0	0	0	0
Gm9895	6	7	17	11
Gm9899	4	3	1	1
Gm9920	22	19	17	43
Gm9926	2	1	1	6
Gm9958	78	66	50	91
Gm996	45	15	21	57
Gm9961	4	3	7	3
Gm9962	0	2	0	0
Gm9992	0	0	0	1
Gm9994	3	0	2	2
Gm9999	2	4	2	0
Gmcl1	1235	1004	1236	1553
Gmcl1l	0	0	0	0
Gmds	781	459	805	617
Gmeb1	1693	1480	1309	1735
Gmeb2	1597	1319	1371	1548
Gmfb	6698	4381	6519	5757
Gmfg	127	121	275	329
Gmip	807	428	562	651
Gml	0	0	0	0
Gml2	0	0	0	0
Gmnc	2	5	4	8
Gmnn	265	158	432	301
Gmppa	1966	1602	2468	2743
Gmppb	788	547	1284	1189
Gmpr	772	666	603	1086
Gmpr2	1201	836	1214	1291
Gmps	3126	2779	3687	3498
Gna11	5412	4939	5817	6567
Gna12	2758	2218	1843	1882
Gna13	5975	5268	4646	5117
Gna14	43	58	45	48
Gna15	49	37	81	57
Gnai1	1925	1689	2048	2124
Gnai2	15817	13791	18877	18740
Gnai3	9610	7855	9008	9436
Gnal	146	81	90	102
Gnao1	319	322	72	129
Gnaq	6124	5156	3931	3611
Gnas	77556	69623	70008	87297
Gnat1	4	14	4	15
Gnat2	2	0	4	8
Gnat3	1	2	5	4
Gnaz	124	211	50	213
Gnb1	32507	23918	27035	25940
Gnb1l	389	260	476	521
Gnb2	19288	17605	23095	29831
Gnb2l1	54729	57463	132790	144775
Gnb3	5	0	0	0
Gnb4	2279	497	595	982
Gnb5	658	385	489	652
Gne	4485	5874	7920	9640
Gng10	965	727	1723	1457
Gng11	254	223	286	310
Gng12	12459	11174	10179	11252
Gng13	5	0	5	2
Gng2	208	192	79	127
Gng3	27	1	10	11
Gng4	2	8	5	11
Gng5	9035	5577	12588	10867
Gng7	282	364	234	361
Gng8	6	3	7	8
Gngt1	0	0	0	0
Gngt2	80	51	105	173
Gnl1	3056	2634	2830	3242
Gnl2	3534	2381	3952	3481
Gnl3	1747	1249	2395	2108
Gnl3l	3138	2545	3481	3441
Gnmt	957	1021	1424	2616
Gnpat	8378	8413	11118	11374
Gnpda1	923	825	698	832
Gnpda2	1806	1269	1733	1852
Gnpnat1	1388	1218	2415	2239
Gnptab	10943	11884	12617	12519
Gnptg	3099	2719	3977	6110
Gnrh1	106	22	40	23
Gnrhr	0	0	0	0
Gns	15304	18883	11759	16226
Golga1	2007	1273	1339	1426
Golga2	7660	5943	4863	5746
Golga3	2737	2383	2069	2160
Golga4	9455	6285	6659	7722
Golga5	3000	1974	2270	2812
Golga7	4733	3211	4403	4483
Golga7b	2	0	24	3
Golgb1	6839	4679	3933	4940
Golim4	10968	7493	4273	4325
Golm1	11150	15788	14634	12429
Golph3	10377	9924	10616	9758
Golph3l	2526	2119	2563	2637
Golt1a	70	45	154	131
Golt1b	2061	1526	2383	2195
Gon4l	2654	2252	1835	1711
Gopc	2848	1975	1606	1932
Gorab	776	467	668	824
Gorasp1	1448	1127	1445	1905
Gorasp2	8920	8947	9592	8642
Gosr1	3497	3011	3097	3395
Gosr2	5072	4295	4836	4888
Got1	1689	1780	3245	3685
Got1l1	9	5	5	1
Got2	8732	7842	9690	8098
Gp1ba	80	65	31	55
Gp1bb	51	54	27	16
Gp2	0	0	7	0
Gp5	79	54	24	31
Gp6	3	4	0	0
Gp9	60	55	23	10
Gpa33	25	10	33	19
Gpaa1	4046	4313	5066	5033
Gpalpp1	3205	2810	2411	2716
Gpam	11415	14485	10883	14719
Gpank1	633	503	610	923
Gpat2	90	43	32	24
Gpatch1	1391	1152	791	1159
Gpatch11	1449	889	1333	1566
Gpatch2	1878	1334	1414	1846
Gpatch2l	1846	1467	1461	1553
Gpatch3	518	361	591	694
Gpatch4	776	599	926	789
Gpatch8	3943	2951	2030	2476
Gpbar1	10	9	7	8
Gpbp1	6640	5064	7711	7404
Gpbp1l1	5030	4037	4291	4825
Gpc1	2014	1594	2472	1621
Gpc2	91	43	35	51
Gpc3	13432	8515	13265	14069
Gpc4	2881	2115	2599	1842
Gpc5	16	3	13	7
Gpc6	85	93	203	74
Gpcpd1	1547	1032	1247	1635
Gpd1	3531	5778	4464	4254
Gpd1l	2722	2520	2424	3366
Gpd2	3755	3328	1779	1736
Gper1	75	16	10	18
Gpha2	2	0	2	0
Gphb5	1	0	0	0
Gphn	1775	1707	1591	1631
Gpi1	16412	19401	23698	29180
Gpihbp1	73	61	78	123
Gpkow	3426	2684	3674	3357
Gpld1	1870	1497	1169	1340
Gpm6a	661	90	56	49
Gpm6b	2931	3583	3285	4210
Gpn1	1403	1018	1576	1810
Gpn2	925	766	1070	1206
Gpn3	2367	1603	2366	3627
Gpnmb	160	141	224	287
Gpr1	1	0	1	0
Gpr101	0	0	0	0
Gpr107	5305	3343	4200	4039
Gpr108	4305	4470	4825	5298
Gpr119	0	0	0	0
Gpr12	0	0	0	0
Gpr132	17	22	9	27
Gpr135	93	63	35	96
Gpr137	1169	1067	1746	1923
Gpr137b	1381	960	891	1349
Gpr137b-ps	2785	1498	1446	1926
Gpr137c	65	27	18	28
Gpr139	0	0	0	0
Gpr141	5	21	9	13
Gpr142	1	0	1	0
Gpr143	0	0	0	0
Gpr146	2921	3256	2051	2432
Gpr149	0	0	0	1
Gpr15	2	1	0	0
Gpr150	0	0	0	1
Gpr151	8	4	6	4
Gpr152	1	1	0	1
Gpr153	165	294	165	289
Gpr155	2435	1935	1263	2264
Gpr156	51	42	27	52
Gpr157	249	244	71	309
Gpr158	0	0	0	0
Gpr160	227	230	327	367
Gpr161	88	106	50	62
Gpr162	9	9	13	16
Gpr165	2	0	0	0
Gpr17	60	5	3	5
Gpr171	5	4	15	2
Gpr173	30	32	5	14
Gpr174	1	4	2	0
Gpr176	6	15	21	5
Gpr179	49	58	111	135
Gpr18	7	14	0	8
Gpr180	2071	1067	1808	2555
Gpr182	84	53	47	68
Gpr183	13	5	19	15
Gpr19	191	130	168	205
Gpr20	1	1	0	3
Gpr21	4	8	8	7
Gpr22	8	5	10	1
Gpr25	1	2	1	0
Gpr26	0	0	0	0
Gpr27	23	14	3	22
Gpr3	6	12	48	25
Gpr31b	0	0	0	0
Gpr33	0	0	0	0
Gpr34	7	12	9	5
Gpr35	16	48	23	25
Gpr37	2	1	2	0
Gpr37l1	13	19	5	5
Gpr39	271	211	153	110
Gpr4	100	160	96	74
Gpr45	4	1	0	1
Gpr50	8	10	5	10
Gpr52	7	0	0	4
Gpr55	0	1	2	2
Gpr6	0	0	0	0
Gpr61	0	0	1	0
Gpr62	16	6	4	9
Gpr63	36	34	13	21
Gpr65	8	9	7	15
Gpr68	116	58	73	78
Gpr75	5	0	5	9
Gpr82	4	1	5	8
Gpr83	0	0	4	4
Gpr84	20	42	14	15
Gpr85	73	15	44	25
Gpr87	0	0	0	0
Gpr88	7	18	9	2
Gpr89	1215	961	1887	2175
Gprasp1	2306	1943	1099	1767
Gprasp2	271	193	98	223
Gprc5a	93327	26179	39973	23691
Gprc5b	2151	2321	3413	2867
Gprc5c	793	712	500	407
Gprc5d	3	4	1	8
Gprc6a	4	9	3	3
Gprin1	11	7	11	6
Gprin2	5	3	8	19
Gprin3	1300	905	536	906
Gps1	5971	4635	7242	7421
Gps2	2222	1680	1888	2525
Gpsm1	1135	694	700	822
Gpsm2	497	507	620	442
Gpsm3	70	98	43	60
Gpt	2335	2795	2069	4215
Gpt2	763	761	970	1499
Gpx1	22357	21235	50461	58467
Gpx2	1368	1854	2835	2675
Gpx2-ps1	45	94	98	101
Gpx3	373	597	1029	699
Gpx4	22407	19042	40489	44764
Gpx5	0	0	0	1
Gpx6	0	0	0	9
Gpx7	605	549	1042	1228
Gpx8	3485	1766	5240	3780
Gramd1a	2480	1587	2072	2687
Gramd1b	681	856	855	495
Gramd1c	977	587	679	896
Gramd2	8214	1952	4045	1742
Gramd3	716	696	948	868
Gramd4	1985	2104	2219	2340
Grap	353	308	220	258
Grap2	34	56	7	29
Grasp	1826	1553	2208	2684
Grb10	7791	5928	6551	7025
Grb14	2552	3101	3384	5576
Grb2	5538	4608	5328	5784
Grb7	5789	6478	3795	6786
Grcc10	6012	3980	10396	13194
Greb1	648	715	278	1456
Greb1l	181	152	171	194
Grem1	0	0	2	2
Grem2	1544	355	214	406
Grhl1	807	552	643	441
Grhl2	4586	4144	3232	3710
Grhl3	68	31	58	31
Grhpr	1767	1716	3267	3987
Gria1	23	23	10	58
Gria2	1	0	1	2
Gria3	422	230	345	276
Gria4	1	0	2	3
Grid1	0	2	0	0
Grid2	3	2	1	0
Grid2ip	6	2	1	10
Grifin	0	0	3	0
Grik1	0	0	0	1
Grik2	0	6	0	1
Grik3	1	1	1	2
Grik4	121	134	40	148
Grik5	3512	1955	1399	1716
Grin1	2	2	5	2
Grin1os	0	2	0	0
Grin2a	0	0	0	0
Grin2b	5	1	0	1
Grin2c	5	13	34	94
Grin2d	285	178	156	252
Grin3a	70	34	26	55
Grin3b	76	54	56	63
Grina	7049	7844	6837	8131
Grip1	194	131	99	130
Grip1os1	3	0	0	0
Grip1os2	0	0	0	0
Grip2	11	6	7	11
Gripap1	2048	1410	1435	1663
Grk1	2	0	0	1
Grk4	97	50	61	90
Grk5	598	554	629	497
Grk6	2048	1516	1958	2170
Grm1	1	0	1	0
Grm2	0	0	0	1
Grm3	3	1	0	0
Grm4	0	0	1	3
Grm5	5	9	2	5
Grm6	4	0	0	2
Grm7	0	0	0	0
Grm8	0	0	0	0
Grn	11000	9321	7831	10299
Grp	3	11	24	7
Grpel1	3476	2661	5656	5214
Grpel2	3798	2736	4116	4419
Grpr	18	35	51	10
Grrp1	12	12	33	12
Grsf1	6281	5453	5722	5519
Grtp1	85	91	190	255
Grwd1	760	762	1580	1411
Grxcr1	0	0	0	0
Grxcr2	0	0	0	0
Gsap	11882	11696	13311	15694
Gsc	1	0	0	0
Gsc2	0	0	0	0
Gsdma	0	0	1	1
Gsdma2	0	0	0	0
Gsdma3	4	0	0	0
Gsdmc	1	0	1	0
Gsdmc2	0	0	0	1
Gsdmc3	0	0	0	0
Gsdmc4	5	4	12	3
Gsdmcl-ps	2	0	5	2
Gsdmcl1	0	0	0	0
Gsdmcl2	0	0	0	0
Gsdmd	1173	873	1390	1271
Gse1	8418	8391	4818	5648
Gsg1	5	6	4	8
Gsg1l	6	7	14	3
Gsg2	108	127	151	93
Gsk3a	4021	2959	3793	4147
Gsk3b	9309	8645	5589	6265
Gskip	882	649	1008	871
Gsn	45120	17018	39586	22244
Gspt1	7636	5713	6808	6763
Gspt2	165	170	186	204
Gsr	6009	6100	5043	4941
Gss	3438	2120	4118	4202
Gsta1	1	0	1	1
Gsta2	35	31	59	88
Gsta3	2959	2436	4476	6685
Gsta4	5709	5894	8846	8878
Gstcd	743	448	634	556
Gstk1	4625	4965	11797	10923
Gstm1	3926	5561	3354	6312
Gstm2	3006	2803	3468	3451
Gstm3	1	5	4	7
Gstm4	483	465	539	729
Gstm5	216	172	286	277
Gstm6	2	2	8	2
Gstm7	11	21	8	22
Gsto1	2513	841	1835	1627
Gsto2	20	18	37	83
Gstp1	5602	6014	8651	11202
Gstp2	60	28	120	170
Gstt1	1556	1799	3325	6473
Gstt2	1878	1672	2743	3409
Gstt3	3906	4704	4435	5119
Gstt4	1	2	3	3
Gstz1	3089	2922	3219	4226
Gsx1	0	0	0	0
Gsx2	0	1	0	0
Gt(ROSA)26Sor	694	222	459	523
Gtdc1	614	428	611	555
Gtf2a1	2546	1812	1291	1641
Gtf2a1l	0	0	2	1
Gtf2a2	1797	993	2438	2137
Gtf2b	2997	2095	3462	3732
Gtf2e1	886	656	918	1003
Gtf2e2	966	670	1213	1243
Gtf2f1	3544	2856	4024	3802
Gtf2f2	1215	850	1733	1532
Gtf2h1	3283	2560	3696	4163
Gtf2h2	641	440	950	1053
Gtf2h3	963	845	1166	1308
Gtf2h4	586	585	907	981
Gtf2h5	2198	1466	3128	3376
Gtf2i	17898	17570	17425	22057
Gtf2ird1	3150	2995	2324	2619
Gtf2ird2	1429	1206	1146	1781
Gtf3a	798	702	1128	1039
Gtf3c1	10545	10292	11957	11592
Gtf3c2	6258	5114	4719	5145
Gtf3c3	1434	1214	1431	1471
Gtf3c4	2607	2357	1955	2184
Gtf3c5	1472	1246	1407	1556
Gtf3c6	1342	1045	1603	1464
Gtpbp1	2955	3220	3100	3206
Gtpbp10	1124	724	1171	1496
Gtpbp2	5227	3195	3486	4457
Gtpbp3	1069	627	1078	1334
Gtpbp4	2228	1601	2859	2556
Gtpbp6	797	542	932	1120
Gtpbp8	590	401	645	716
Gtse1	363	525	615	431
Gtsf1	0	0	0	0
Gtsf1l	1	0	1	1
Guca1a	34	40	72	72
Guca1b	36	10	20	32
Guca2a	10	8	59	62
Guca2b	0	0	0	3
Gucd1	1460	1241	1521	1732
Gucy1a2	427	174	162	123
Gucy1a3	310	363	185	380
Gucy1b2	0	0	3	0
Gucy1b3	285	331	315	333
Gucy2c	8	3	13	3
Gucy2d	0	0	0	0
Gucy2e	0	0	0	0
Gucy2f	0	0	0	0
Gucy2g	45	53	101	105
Guf1	1382	632	1041	1038
Guk1	1835	1232	1991	2730
Gulo	10	3	10	8
Gulp1	135	139	120	155
Gusb	2688	2976	3877	4712
Gvin1	0	0	0	0
Gxylt1	4228	2186	1673	1398
Gxylt2	34	11	5	12
Gyg	2331	2897	3609	4269
Gyk	5186	5215	6313	4122
Gykl1	0	0	0	1
Gyltl1b	2457	1144	1003	964
Gypa	5	8	17	36
Gypc	149	200	200	180
Gys1	4763	5154	4849	5272
Gys2	3	0	2	0
Gzf1	3899	4035	4467	6300
Gzma	4	4	7	11
Gzmb	2	3	1	5
Gzmc	1	0	0	0
Gzmd	1	0	0	0
Gzme	0	2	2	0
Gzmf	0	0	0	0
Gzmg	0	0	0	0
Gzmk	0	1	1	0
Gzmm	58	45	52	50
Gzmn	0	0	0	0
H13	8770	10512	13094	12171
H19	238	303	283	294
H1f0	28572	27292	38017	55139
H1fnt	0	0	0	0
H1foo	0	0	1	0
H1fx	460	587	341	507
H2-Aa	11237	15475	16892	17205
H2-Ab1	5068	5884	9763	7464
H2-Bl	214	100	150	163
H2-D1	4200	4313	4979	4781
H2-DMa	1165	1546	2034	2139
H2-DMb1	2526	2838	4625	4791
H2-DMb2	51	38	44	53
H2-Ea-ps	5377	6632	11284	10013
H2-Eb1	2697	2652	4099	4211
H2-Eb2	11	11	15	11
H2-K1	21032	16057	22624	27462
H2-K2	17	19	19	55
H2-Ke6	4336	3955	6279	8916
H2-L	5	0	0	0
H2-M1	0	0	0	0
H2-M10.1	0	0	0	0
H2-M10.2	1	0	0	0
H2-M10.3	0	0	0	0
H2-M10.4	0	0	0	0
H2-M10.5	0	0	0	0
H2-M10.6	0	1	0	0
H2-M11	0	0	0	0
H2-M2	0	0	0	2
H2-M3	214	89	176	212
H2-M5	21	2	14	12
H2-M9	0	0	1	0
H2-Oa	1	7	0	0
H2-Ob	6	4	3	7
H2-Q1	591	610	563	616
H2-Q10	55	49	60	69
H2-Q2	1027	439	624	883
H2-Q4	7943	4132	4085	4537
H2-Q5	7	2	6	3
H2-Q6	0	0	0	0
H2-Q7	0	0	0	0
H2-Q8	0	0	0	0
H2-Q9	0	0	0	0
H2-T10	774	609	975	1156
H2-T22	0	0	0	0
H2-T23	406	290	488	694
H2-T24	67	69	36	34
H2-T3	29	8	22	19
H2-T9	0	0	0	0
H2afb1	0	0	0	0
H2afb2	0	0	0	0
H2afb3	0	0	0	0
H2afj	21137	16819	53419	72771
H2afv	3957	2688	4291	6506
H2afx	1089	1246	1785	1390
H2afy	8622	6689	8487	9682
H2afy2	569	364	377	612
H2afy3	2	2	6	6
H2afz	13757	10093	22852	23124
H2bfm	0	0	0	0
H3f3a	27088	22139	39958	34492
H3f3b	90719	69085	79890	104997
H60b	52	7	34	27
H60c	87	52	227	207
H6pd	13893	21480	22549	20445
Haao	18	5	5	5
Habp2	35	90	137	134
Habp4	2869	1916	2596	2265
Hacd1	1117	1082	2846	2674
Hacd2	1877	1545	2829	2698
Hacd3	14488	13656	13937	20606
Hacd4	31	37	50	45
Hace1	1071	701	856	1197
Hacl1	337	279	340	643
Hadh	10983	12861	10249	14124
Hadha	16651	17324	23012	25386
Hadhb	4182	3501	5303	5200
Hagh	1668	1374	2179	3872
Haghl	1164	607	774	949
Haglr	0	0	0	0
Hal	45	36	79	119
Halr1	0	0	0	0
Hamp	26	17	21	31
Hamp2	5	6	8	7
Hand1	0	0	0	2
Hand2	0	0	0	0
Hao1	11	8	7	6
Hao2	0	0	0	0
Hap1	1814	1687	1869	2150
Hapln1	455	407	116	118
Hapln2	4	9	1	17
Hapln3	11	9	7	13
Hapln4	0	0	2	1
Harbi1	397	375	388	593
Hars	2835	2299	3327	3224
Hars2	1668	932	1446	1767
Has1	13	11	24	11
Has2	28	26	20	7
Has2os	1	2	0	1
Has3	502	603	66	68
Hat1	1692	1362	2604	2541
Haus1	818	510	683	812
Haus2	1533	1039	1612	1285
Haus3	316	181	312	208
Haus4	493	445	389	463
Haus5	504	380	561	744
Haus6	724	428	468	493
Haus7	1776	1449	2628	2878
Haus8	399	281	636	834
Havcr1	0	2	0	1
Havcr2	17	11	24	22
Hax1	2218	1788	4066	3988
Hba-a1	0	0	0	3
Hba-a2	0	0	0	0
Hba-x	0	0	0	0
Hbb-b1	0	0	0	0
Hbb-b2	0	0	0	0
Hbb-bh1	0	0	0	0
Hbb-bh2	0	0	0	0
Hbb-bs	0	0	0	0
Hbb-bt	0	0	0	0
Hbb-y	0	0	2	0
Hbegf	1666	522	3387	1336
Hbp1	8683	6875	6762	7557
Hbq1a	1	0	3	4
Hbq1b	1	3	5	7
Hbs1l	3067	2305	2818	3023
Hc	104669	124786	166171	174492
Hcar1	49	42	19	21
Hcar2	115	86	74	97
Hccs	1357	1043	1444	1515
Hcfc1	8540	9304	6086	5694
Hcfc1r1	2318	2682	2846	2671
Hcfc2	1159	794	1237	1222
Hck	5568	683	947	718
Hcls1	301	487	427	407
Hcn1	12	23	11	9
Hcn2	50	52	55	41
Hcn3	24	7	5	30
Hcn4	1	3	0	0
Hcrt	0	0	0	0
Hcrtr1	1	4	8	4
Hcrtr2	0	0	0	0
Hcst	3	7	4	18
Hdac1	5261	3790	6141	6842
Hdac10	755	602	654	971
Hdac11	2290	1822	1379	2871
Hdac2	5026	3832	5100	6284
Hdac3	3405	2845	4095	4714
Hdac4	1103	861	586	549
Hdac5	5937	6330	5153	7159
Hdac6	1659	1536	1673	1534
Hdac7	9678	7114	6165	6023
Hdac8	661	314	553	552
Hdac9	52	37	57	21
Hdc	540	1054	4634	5458
Hddc2	852	625	1096	1214
Hddc3	850	923	2353	2262
Hdgf	20204	16557	21895	16698
Hdgfl1	0	0	0	0
Hdgfrp2	3448	2294	2802	3219
Hdgfrp3	436	123	76	72
Hdhd1a	0	0	0	0
Hdhd2	1789	1355	1970	2181
Hdhd3	307	245	809	941
Hdlbp	25442	26252	31044	27399
Hdx	7	0	3	3
Heatr1	2956	2691	3194	3257
Heatr3	1851	1569	2033	2230
Heatr5a	2344	1770	1693	1721
Heatr5b	3152	2642	2316	2499
Heatr6	1790	1511	1549	1456
Heatr9	2	1	0	2
Hebp1	1504	1437	2424	3837
Hebp2	73	76	99	84
Heca	4449	2462	1674	2269
Hectd1	13554	12016	9080	8950
Hectd2	65	31	32	34
Hectd3	2910	2397	2594	4101
Hecw1	12	11	35	22
Hecw2	541	387	233	300
Heg1	510	611	222	196
Helb	632	423	534	520
Hells	419	294	718	435
Helq	748	542	899	977
Helt	2	0	0	0
Helz	3494	2925	2027	2140
Helz2	3531	3071	2952	3143
Hemgn	1	2	3	1
Hemk1	330	213	640	838
Henmt1	8	5	18	14
Hepacam	98	108	544	73
Hepacam2	0	4	1	6
Heph	342	361	237	319
Hephl1	1	2	0	0
Herc1	6311	6113	4775	5106
Herc2	5975	4713	3938	4522
Herc3	1860	1515	1160	1469
Herc4	2801	1886	2462	2745
Herc6	422	192	442	385
Herpud1	13689	17868	22207	26078
Herpud2	3098	2638	2042	2402
Hes1	5138	2925	3473	4060
Hes2	22	34	56	224
Hes3	0	0	0	6
Hes5	2	0	0	1
Hes6	2267	1826	2789	3633
Hes7	26	28	23	36
Hesx1	0	0	0	0
Hexa	5668	6217	7223	10756
Hexb	930	735	1068	1147
Hexdc	667	407	532	854
Hexim1	6043	5383	6156	10069
Hexim2	144	120	109	147
Hey1	93	127	106	96
Hey2	17	27	6	7
Heyl	88	140	91	71
Hfe	1599	1505	1693	2239
Hfe2	0	3	0	4
Hfm1	1	2	0	0
Hgd	39	22	20	22
Hgf	32	28	19	22
Hgfac	94	167	320	282
Hgh1	996	734	1281	1590
Hgs	4359	4380	4201	4734
Hgsnat	2889	2884	3601	4873
Hhat	258	222	174	283
Hhatl	2	1	2	2
Hhex	344	484	639	666
Hhip	413	693	379	740
Hhipl1	9	2	6	7
Hhipl2	0	6	3	8
Hhla1	0	0	0	0
Hiat1	5065	4229	5323	5694
Hiatl1	5171	3559	3806	4328
Hibadh	6635	7004	14644	13246
Hibch	838	705	1261	1579
Hic1	121	228	227	182
Hic2	671	226	203	299
Hid1	883	807	1268	1068
Hif1a	11499	13085	16345	14339
Hif1an	7538	5460	4821	5335
Hif3a	417	428	498	275
Higd1a	2995	2047	4449	4843
Higd1b	21	16	36	32
Higd1c	0	0	0	0
Higd2a	3222	3168	4720	5448
Hilpda	369	233	463	566
Hils1	6	0	0	0
Hinfp	603	397	454	569
Hint1	8493	5491	15761	14817
Hint2	1759	945	3447	4541
Hint3	1083	630	1534	1774
Hip1	743	681	432	540
Hip1r	13722	16220	11871	14428
Hipk1	11573	12400	7035	9369
Hipk2	3542	2393	1582	1435
Hipk3	12494	10614	7071	7968
Hipk4	117	44	41	43
Hira	4142	2945	2934	3153
Hirip3	1303	580	779	685
Hist1h1a	1	5	13	11
Hist1h1b	4	7	26	35
Hist1h1c	2516	2178	2682	6109
Hist1h1d	15	18	42	92
Hist1h1e	27	39	78	150
Hist1h1t	0	7	3	3
Hist1h2aa	2	0	7	6
Hist1h2ab	0	0	6	1
Hist1h2ac	5	5	8	31
Hist1h2ad	3	3	1	2
Hist1h2ae	11	15	39	31
Hist1h2af	0	1	0	1
Hist1h2ag	4	2	5	4
Hist1h2ah	0	0	0	0
Hist1h2ai	10	1	18	28
Hist1h2ak	10	11	12	21
Hist1h2an	1	0	2	4
Hist1h2ao	0	0	0	0
Hist1h2ap	0	0	0	0
Hist1h2ba	0	0	0	0
Hist1h2bb	2	6	6	5
Hist1h2bc	951	868	1506	1124
Hist1h2be	48	24	25	50
Hist1h2bf	6	1	3	8
Hist1h2bg	35	50	24	35
Hist1h2bh	5	3	5	15
Hist1h2bj	7	7	15	6
Hist1h2bk	1	3	4	0
Hist1h2bl	0	0	1	4
Hist1h2bm	2	0	5	1
Hist1h2bn	2	2	3	4
Hist1h2bp	3	0	0	4
Hist1h2bq	0	0	0	0
Hist1h2br	0	0	0	0
Hist1h3a	9	9	51	15
Hist1h3b	0	0	1	0
Hist1h3c	3	4	30	2
Hist1h3d	6	7	10	6
Hist1h3e	27	20	48	47
Hist1h3f	4	11	12	18
Hist1h3g	0	2	5	4
Hist1h3h	3	0	9	2
Hist1h3i	5	4	11	6
Hist1h4a	18	4	7	15
Hist1h4b	5	2	22	17
Hist1h4c	8	8	42	25
Hist1h4d	25	40	40	58
Hist1h4f	5	4	13	13
Hist1h4h	80	30	118	133
Hist1h4i	51	49	116	156
Hist1h4j	8	2	15	26
Hist1h4k	8	2	16	16
Hist1h4m	0	0	0	0
Hist1h4n	4	2	10	10
Hist2h2aa1	0	0	0	0
Hist2h2aa2	5	5	5	5
Hist2h2ab	1	0	1	10
Hist2h2ac	14	8	38	64
Hist2h2bb	34	42	15	88
Hist2h2be	743	801	442	739
Hist2h3b	2	8	12	28
Hist2h3c1	0	0	0	0
Hist2h3c2	0	0	0	0
Hist2h4	0	1	0	7
Hist3h2a	1170	769	1231	2279
Hist3h2ba	63	26	56	99
Hist3h2bb-ps	4	9	6	15
Hist4h4	23	11	30	73
Hivep1	4211	4398	2048	2234
Hivep2	3472	2697	1690	1674
Hivep3	205	329	157	214
Hjurp	86	54	85	89
Hk1	4481	4531	6325	4526
Hk1os	69	71	46	60
Hk2	2291	3095	4043	3260
Hk3	18	15	14	25
Hkdc1	2870	4203	5853	6559
Hlcs	742	740	466	651
Hlf	73	70	22	48
Hltf	1508	774	1134	1183
Hlx	320	416	148	189
Hmbox1	1264	958	739	883
Hmbs	2072	2189	3635	3837
Hmces	1230	847	1665	2020
Hmcn1	2862	927	592	517
Hmg20a	2977	2004	1891	1926
Hmg20b	4428	2947	4557	4928
Hmga1	70	64	68	61
Hmga1-rs1	0	0	0	0
Hmga2	740	377	419	608
Hmga2-ps1	136	163	204	232
Hmgb1	22669	17783	23311	26552
Hmgb1-rs17	2	0	2	0
Hmgb2	3388	2434	4808	5641
Hmgb3	2824	2564	3726	3323
Hmgb4	0	0	0	0
Hmgb4os	0	0	0	0
Hmgcl	1739	1392	2623	2894
Hmgcll1	464	146	232	133
Hmgcr	4039	4085	5264	5235
Hmgcs1	7471	6695	7989	10175
Hmgcs2	12021	11940	2933	3911
Hmgn1	28404	16599	33926	29733
Hmgn2	4416	4797	5455	5189
Hmgn3	916	440	747	573
Hmgn5	1269	669	1076	1145
Hmgxb3	3640	3257	3460	3149
Hmgxb4	2136	1570	1606	2208
Hmha1	8841	3579	3837	4210
Hmmr	129	146	340	62
Hmox1	2628	3546	6818	5538
Hmox2	2277	2244	4460	4388
Hmx1	2	0	0	0
Hmx2	0	1	0	0
Hmx3	0	0	0	0
Hn1	1554	1235	2291	1778
Hn1l	2999	3013	5297	4053
Hnf1a	12	7	8	9
Hnf1b	4688	5719	3329	4208
Hnf4a	6	11	27	14
Hnf4aos	0	0	0	2
Hnf4g	1	0	0	0
Hnmt	504	509	942	705
