FIPS,State,"County, State",2010 Food Insecurity Rate, Number of Food Insecure Persons in 2010 ,Low Threshold in state,Low Threshold Type,High Threshold in state,High Threshold Type,% FI ≤ Low Threshold,% FI Btwn Thresholds,% FI > High Threshold,2010 Child food insecurity rate, Number of Food Insecure Children in 2010  ,% food insecure children in HH w/ HH incomes below 185 FPL,% of food insecure children in HH w/ HH incomes above 185 FPL, 2010 Cost Per Meal , 2010 Weighted Annual Food Budget Shortfall ,
12017,FL,"Citrus County, Florida",17.8%," 25,070 ",200.0%,"SNAP, Other Nutrition Programs",200.0%,"SNAP, Other Nutrition Programs",66.5%,N/A,33.5%,30.0%," 6,620 ",65%,35%, $2.72 ," $11,737,590 ",
12019,FL,"Clay County, Florida",15.1%," 28,010 ",200.0%,"SNAP, Other Nutrition Programs",200.0%,"SNAP, Other Nutrition Programs",48.8%,N/A,51.2%,22.6%," 11,100 ",50%,50%, $2.58 ," $12,439,090 ",
12021,FL,"Collier County, Florida",15.7%," 49,850 ",200.0%,"SNAP, Other Nutrition Programs",200.0%,"SNAP, Other Nutrition Programs",59.4%,N/A,40.6%,27.9%," 17,270 ",60%,40%, $2.66 ," $22,824,560 ",
12023,FL,"Columbia County, Florida",18.3%," 12,280 ",200.0%,"SNAP, Other Nutrition Programs",200.0%,"SNAP, Other Nutrition Programs",72.2%,N/A,27.8%,25.3%," 3,780 ",81%,20%, $2.55 ," $5,390,070 ",
12027,FL,"DeSoto County, Florida",19.6%," 6,790 ",200.0%,"SNAP, Other Nutrition Programs",200.0%,"SNAP, Other Nutrition Programs",78.0%,N/A,22.0%,32.7%," 2,510 ",76%,24%, $2.41 ," $2,816,710 ",
12029,FL,"Dixie County, Florida",18.5%," 2,990 ",200.0%,"SNAP, Other Nutrition Programs",200.0%,"SNAP, Other Nutrition Programs",81.5%,N/A,18.5%,27.7%, 890 ,67%,33%, $2.59 ," $1,332,990 ",
12031,FL,"Duval County, Florida",19.7%," 168,830 ",200.0%,"SNAP, Other Nutrition Programs",200.0%,"SNAP, Other Nutrition Programs",55.6%,N/A,44.4%,23.1%," 46,890 ",69%,31%, $2.51 ," $72,942,220 ",
12033,FL,"Escambia County, Florida",19.1%," 57,030 ",200.0%,"SNAP, Other Nutrition Programs",200.0%,"SNAP, Other Nutrition Programs",59.7%,N/A,40.3%,25.3%," 16,100 ",77%,23%, $2.44 ," $23,952,390 ",
12035,FL,"Flagler County, Florida",19.5%," 17,930 ",200.0%,"SNAP, Other Nutrition Programs",200.0%,"SNAP, Other Nutrition Programs",57.4%,N/A,42.6%,28.7%," 5,210 ",61%,39%, $2.75 ," $8,487,280 ",
12037,FL,"Franklin County, Florida",18.7%," 2,140 ",200.0%,"SNAP, Other Nutrition Programs",200.0%,"SNAP, Other Nutrition Programs",65.5%,N/A,34.5%,32.6%, 620 ,78%,23%, $2.67 ," $983,510 ",
12039,FL,"Gadsden County, Florida",25.5%," 11,740 ",200.0%,"SNAP, Other Nutrition Programs",200.0%,"SNAP, Other Nutrition Programs",67.4%,N/A,32.6%,25.2%," 2,820 ",97%,3%, $2.37 ," $4,789,300 ",
12041,FL,"Gilchrist County, Florida",17.4%," 2,900 ",200.0%,"SNAP, Other Nutrition Programs",200.0%,"SNAP, Other Nutrition Programs",73.3%,N/A,26.7%,28.1%," 1,010 ",62%,38%, $2.60 ," $1,297,860 ",
12043,FL,"Glades County, Florida",16.8%," 2,120 ",200.0%,"SNAP, Other Nutrition Programs",200.0%,"SNAP, Other Nutrition Programs",65.0%,N/A,35.0%,31.5%, 780 ,57%,43%, $2.86 ," $1,043,660 ",
12045,FL,"Gulf County, Florida",19.6%," 3,120 ",200.0%,"SNAP, Other Nutrition Programs",200.0%,"SNAP, Other Nutrition Programs",57.0%,N/A,43.0%,31.0%, 850 ,77%,23%, $2.70 ," $1,450,020 ",
12047,FL,"Hamilton County, Florida",22.8%," 3,350 ",200.0%,"SNAP, Other Nutrition Programs",200.0%,"SNAP, Other Nutrition Programs",61.4%,N/A,38.6%,26.9%, 800 ,91%,9%, $2.63 ," $1,516,550 ",
12049,FL,"Hardee County, Florida",18.5%," 5,100 ",200.0%,"SNAP, Other Nutrition Programs",200.0%,"SNAP, Other Nutrition Programs",83.2%,N/A,16.8%,33.5%," 2,460 ",72%,28%, $2.39 ," $2,098,090 ",
12051,FL,"Hendry County, Florida",21.7%," 8,490 ",200.0%,"SNAP, Other Nutrition Programs",200.0%,"SNAP, Other Nutrition Programs",88.2%,N/A,11.8%,35.0%," 3,770 ",85%,16%, $2.43 ," $3,551,150 ",
12053,FL,"Hernando County, Florida",18.2%," 30,940 ",200.0%,"SNAP, Other Nutrition Programs",200.0%,"SNAP, Other Nutrition Programs",63.7%,N/A,36.3%,28.5%," 9,340 ",60%,40%, $2.50 ," $13,314,230 ",
12055,FL,"Highlands County, Florida",17.8%," 17,640 ",200.0%,"SNAP, Other Nutrition Programs",200.0%,"SNAP, Other Nutrition Programs",76.9%,N/A,23.1%,29.2%," 5,230 ",79%,21%, $2.55 ," $7,742,740 ",
12057,FL,"Hillsborough County, Florida",17.4%," 209,160 ",200.0%,"SNAP, Other Nutrition Programs",200.0%,"SNAP, Other Nutrition Programs",61.1%,N/A,38.9%,25.9%," 74,660 ",61%,40%, $2.61 ," $93,966,870 ",
12059,FL,"Holmes County, Florida",16.7%," 3,330 ",200.0%,"SNAP, Other Nutrition Programs",200.0%,"SNAP, Other Nutrition Programs",75.1%,N/A,24.9%,25.9%," 1,140 ",72%,28%, $2.64 ," $1,513,230 ",
12061,FL,"Indian River County, Florida",18.3%," 24,840 ",200.0%,"SNAP, Other Nutrition Programs",200.0%,"SNAP, Other Nutrition Programs",61.1%,N/A,38.9%,28.7%," 7,310 ",69%,31%, $2.64 ," $11,287,850 ",
12063,FL,"Jackson County, Florida",18.7%," 9,230 ",200.0%,"SNAP, Other Nutrition Programs",200.0%,"SNAP, Other Nutrition Programs",59.0%,N/A,41.0%,20.8%," 1,910 ",74%,26%, $2.50 ," $3,971,890 ",
12065,FL,"Jefferson County, Florida",20.4%," 2,970 ",200.0%,"SNAP, Other Nutrition Programs",200.0%,"SNAP, Other Nutrition Programs",67.8%,N/A,32.2%,21.0%, 560 ,92%,8%, $2.67 ," $1,364,970 ",
12067,FL,"Lafayette County, Florida",15.9%," 1,350 ",200.0%,"SNAP, Other Nutrition Programs",200.0%,"SNAP, Other Nutrition Programs",70.8%,N/A,29.2%,26.1%, 530 ,54%,46%, $2.61 ," $606,500 ",
12069,FL,"Lake County, Florida",16.6%," 48,560 ",200.0%,"SNAP, Other Nutrition Programs",200.0%,"SNAP, Other Nutrition Programs",58.6%,N/A,41.4%,26.3%," 15,830 ",64%,36%, $2.60 ," $21,732,400 ",
12071,FL,"Lee County, Florida",16.9%," 102,440 ",200.0%,"SNAP, Other Nutrition Programs",200.0%,"SNAP, Other Nutrition Programs",60.6%,N/A,39.4%,27.3%," 32,470 ",64%,36%, $2.64 ," $46,551,010 ",
12073,FL,"Leon County, Florida",19.6%," 52,890 ",200.0%,"SNAP, Other Nutrition Programs",200.0%,"SNAP, Other Nutrition Programs",57.2%,N/A,42.8%,20.5%," 10,730 ",68%,32%, $2.54 ," $23,124,000 ",
12075,FL,"Levy County, Florida",19.7%," 7,970 ",200.0%,"SNAP, Other Nutrition Programs",200.0%,"SNAP, Other Nutrition Programs",74.9%,N/A,25.1%,31.9%," 2,780 ",73%,28%, $2.43 ," $3,333,650 ",
12077,FL,"Liberty County, Florida",15.1%," 1,240 ",200.0%,"SNAP, Other Nutrition Programs",200.0%,"SNAP, Other Nutrition Programs",59.0%,N/A,41.0%,22.9%, 310 ,54%,46%, $2.77 ," $591,230 ",
12079,FL,"Madison County, Florida",22.8%," 4,400 ",200.0%,"SNAP, Other Nutrition Programs",200.0%,"SNAP, Other Nutrition Programs",60.6%,N/A,39.4%,28.1%," 1,140 ",79%,22%, $2.32 ," $1,757,100 ",
12081,FL,"Manatee County, Florida",17.1%," 54,330 ",200.0%,"SNAP, Other Nutrition Programs",200.0%,"SNAP, Other Nutrition Programs",61.1%,N/A,38.9%,27.6%," 17,980 ",66%,34%, $2.68 ," $25,062,830 ",
12083,FL,"Marion County, Florida",19.4%," 63,370 ",200.0%,"SNAP, Other Nutrition Programs",200.0%,"SNAP, Other Nutrition Programs",64.0%,N/A,36.0%,29.2%," 18,330 ",70%,30%, $2.51 ," $27,378,720 ",
12085,FL,"Martin County, Florida",15.8%," 22,840 ",200.0%,"SNAP, Other Nutrition Programs",200.0%,"SNAP, Other Nutrition Programs",53.1%,N/A,46.9%,26.4%," 6,740 ",56%,44%, $2.93 ," $11,519,120 ",
12086,FL,"Miami-Dade County, Florida",16.9%," 412,870 ",200.0%,"SNAP, Other Nutrition Programs",200.0%,"SNAP, Other Nutrition Programs",75.9%,N/A,24.1%,27.8%," 149,960 ",63%,37%, $2.78 ," $197,566,710 ",
12087,FL,"Monroe County, Florida",12.6%," 9,230 ",200.0%,"SNAP, Other Nutrition Programs",200.0%,"SNAP, Other Nutrition Programs",61.1%,N/A,38.9%,21.1%," 2,360 ",58%,42%, $3.22 ," $5,115,800 ",
12089,FL,"Nassau County, Florida",15.5%," 10,990 ",200.0%,"SNAP, Other Nutrition Programs",200.0%,"SNAP, Other Nutrition Programs",55.3%,N/A,44.7%,24.2%," 3,800 ",61%,39%, $2.69 ," $5,088,690 ",
12091,FL,"Okaloosa County, Florida",14.1%," 25,630 ",200.0%,"SNAP, Other Nutrition Programs",200.0%,"SNAP, Other Nutrition Programs",53.1%,N/A,46.9%,22.6%," 9,190 ",58%,42%, $2.53 ," $11,161,560 ",
12093,FL,"Okeechobee County, Florida",18.6%," 7,420 ",200.0%,"SNAP, Other Nutrition Programs",200.0%,"SNAP, Other Nutrition Programs",84.0%,N/A,16.0%,32.5%," 3,070 ",77%,23%, $2.51 ," $3,205,780 ",
12095,FL,"Orange County, Florida",17.3%," 193,190 ",200.0%,"SNAP, Other Nutrition Programs",200.0%,"SNAP, Other Nutrition Programs",64.3%,N/A,35.7%,24.2%," 64,070 ",66%,34%, $2.60 ," $86,459,680 ",
12097,FL,"Osceola County, Florida",16.0%," 41,340 ",200.0%,"SNAP, Other Nutrition Programs",200.0%,"SNAP, Other Nutrition Programs",75.9%,N/A,24.1%,27.9%," 19,100 ",64%,36%, $2.47 ," $17,576,120 ",
12099,FL,"Palm Beach County, Florida",17.2%," 223,080 ",200.0%,"SNAP, Other Nutrition Programs",200.0%,"SNAP, Other Nutrition Programs",56.9%,N/A,43.1%,24.6%," 64,830 ",61%,39%, $2.77 ," $106,364,340 ",
12101,FL,"Pasco County, Florida",17.2%," 78,350 ",200.0%,"SNAP, Other Nutrition Programs",200.0%,"SNAP, Other Nutrition Programs",62.8%,N/A,37.2%,27.7%," 26,300 ",58%,42%, $2.59 ," $34,929,660 ",
12103,FL,"Pinellas County, Florida",17.0%," 156,550 ",200.0%,"SNAP, Other Nutrition Programs",200.0%,"SNAP, Other Nutrition Programs",58.0%,N/A,42.0%,25.1%," 41,150 ",61%,39%, $2.69 ," $72,487,140 ",
12105,FL,"Polk County, Florida",18.4%," 108,350 ",200.0%,"SNAP, Other Nutrition Programs",200.0%,"SNAP, Other Nutrition Programs",67.5%,N/A,32.5%,27.9%," 38,490 ",69%,31%, $2.51 ," $46,812,120 ",
12107,FL,"Putnam County, Florida",21.2%," 15,860 ",200.0%,"SNAP, Other Nutrition Programs",200.0%,"SNAP, Other Nutrition Programs",76.5%,N/A,23.5%,29.9%," 5,010 ",85%,15%, $2.50 ," $6,824,940 ",
12109,FL,"St. Johns County, Florida",14.1%," 25,550 ",200.0%,"SNAP, Other Nutrition Programs",200.0%,"SNAP, Other Nutrition Programs",44.2%,N/A,55.8%,21.8%," 9,120 ",40%,60%, $3.02 ," $13,281,690 ",
12111,FL,"St. Lucie County, Florida",19.6%," 52,780 ",200.0%,"SNAP, Other Nutrition Programs",200.0%,"SNAP, Other Nutrition Programs",62.8%,N/A,37.2%,27.5%," 16,400 ",71%,29%, $2.49 ," $22,621,650 ",
12113,FL,"Santa Rosa County, Florida",15.0%," 22,150 ",200.0%,"SNAP, Other Nutrition Programs",200.0%,"SNAP, Other Nutrition Programs",55.4%,N/A,44.6%,24.9%," 8,680 ",57%,43%, $2.64 ," $10,065,450 ",
12115,FL,"Sarasota County, Florida",16.3%," 61,180 ",200.0%,"SNAP, Other Nutrition Programs",200.0%,"SNAP, Other Nutrition Programs",53.6%,N/A,46.4%,26.4%," 15,780 ",57%,43%, $2.81 ," $29,591,800 ",
12117,FL,"Seminole County, Florida",15.2%," 63,310 ",200.0%,"SNAP, Other Nutrition Programs",200.0%,"SNAP, Other Nutrition Programs",51.5%,N/A,48.5%,23.1%," 22,410 ",49%,51%, $2.62 ," $28,551,520 ",
12119,FL,"Sumter County, Florida",15.3%," 13,130 ",200.0%,"SNAP, Other Nutrition Programs",200.0%,"SNAP, Other Nutrition Programs",53.3%,N/A,46.7%,25.3%," 2,050 ",71%,29%, $2.56 ," $5,785,760 ",
12121,FL,"Suwannee County, Florida",17.7%," 7,190 ",200.0%,"SNAP, Other Nutrition Programs",200.0%,"SNAP, Other Nutrition Programs",75.3%,N/A,24.7%,27.8%," 2,590 ",76%,24%, $2.46 ," $3,044,530 ",
12123,FL,"Taylor County, Florida",20.3%," 4,470 ",200.0%,"SNAP, Other Nutrition Programs",200.0%,"SNAP, Other Nutrition Programs",65.2%,N/A,34.8%,28.7%," 1,250 ",75%,25%, $2.39 ," $1,838,910 ",
12125,FL,"Union County, Florida",18.9%," 2,900 ",200.0%,"SNAP, Other Nutrition Programs",200.0%,"SNAP, Other Nutrition Programs",55.6%,N/A,44.4%,26.7%, 910 ,68%,32%, $2.65 ," $1,322,820 ",
12127,FL,"Volusia County, Florida",17.5%," 86,810 ",200.0%,"SNAP, Other Nutrition Programs",200.0%,"SNAP, Other Nutrition Programs",60.3%,N/A,39.7%,27.0%," 25,300 ",61%,39%, $2.63 ," $39,298,970 ",
12129,FL,"Wakulla County, Florida",15.3%," 4,480 ",200.0%,"SNAP, Other Nutrition Programs",200.0%,"SNAP, Other Nutrition Programs",53.6%,N/A,46.4%,22.7%," 1,530 ",66%,34%, $2.42 ," $1,866,160 ",
12131,FL,"Walton County, Florida",14.9%," 7,950 ",200.0%,"SNAP, Other Nutrition Programs",200.0%,"SNAP, Other Nutrition Programs",63.6%,N/A,36.4%,25.5%," 2,710 ",65%,35%, $2.87 ," $3,927,400 ",
12133,FL,"Washington County, Florida",19.3%," 4,660 ",200.0%,"SNAP, Other Nutrition Programs",200.0%,"SNAP, Other Nutrition Programs",63.5%,N/A,36.5%,28.1%," 1,420 ",70%,30%, $2.36 ," $1,893,010 ",
13001,GA,"Appling County, Georgia",18.6%," 3,360 ",130.0%,SNAP,185.0%,Other Nutrition Program,55.7%,19.3%,25.1%,33.4%," 1,520 ",66%,34%, $2.37 ," $1,370,700 ",
13003,GA,"Atkinson County, Georgia",23.1%," 1,920 ",130.0%,SNAP,185.0%,Other Nutrition Program,60.7%,29.1%,10.2%,40.1%," 1,010 ",80%,20%, $2.16 ," $713,860 ",
13005,GA,"Bacon County, Georgia",16.9%," 1,850 ",130.0%,SNAP,185.0%,Other Nutrition Program,45.3%,39.3%,15.4%,26.5%, 760 ,70%,30%, $2.37 ," $754,700 ",
13007,GA,"Baker County, Georgia",25.3%, 920 ,130.0%,SNAP,185.0%,Other Nutrition Program,55.9%,17.3%,26.8%,30.6%, 330 ,88%,13%, $2.74 ," $433,900 ",
13009,GA,"Baldwin County, Georgia",25.7%," 12,050 ",130.0%,SNAP,185.0%,Other Nutrition Program,45.6%,15.6%,38.8%,29.9%," 2,630 ",81%,19%, $2.48 ," $5,143,920 ",
13011,GA,"Banks County, Georgia",12.9%," 2,310 ",130.0%,SNAP,185.0%,Other Nutrition Program,53.4%,30.7%,15.9%,25.4%," 1,170 ",53%,47%, $2.43 ," $966,220 ",
13013,GA,"Barrow County, Georgia",14.9%," 9,890 ",130.0%,SNAP,185.0%,Other Nutrition Program,42.9%,29.4%,27.7%,26.4%," 4,910 ",60%,40%, $2.60 ," $4,426,140 ",
13015,GA,"Bartow County, Georgia",16.1%," 15,650 ",130.0%,SNAP,185.0%,Other Nutrition Program,39.6%,26.4%,34.0%,28.6%," 7,450 ",54%,46%, $2.52 ," $6,788,450 ",
13017,GA,"Ben Hill County, Georgia",24.4%," 4,300 ",130.0%,SNAP,185.0%,Other Nutrition Program,63.2%,21.8%,14.9%,33.5%," 1,560 ",86%,14%, $2.39 ," $1,768,980 ",
13019,GA,"Berrien County, Georgia",19.1%," 3,570 ",130.0%,SNAP,185.0%,Other Nutrition Program,54.0%,29.2%,16.8%,33.2%," 1,550 ",70%,30%, $2.32 ," $1,425,650 ",
13021,GA,"Bibb County, Georgia",22.5%," 34,900 ",130.0%,SNAP,185.0%,Other Nutrition Program,51.2%,13.4%,35.4%,25.5%," 9,910 ",80%,20%, $2.35 ," $14,117,210 ",
13023,GA,"Bleckley County, Georgia",20.6%," 2,660 ",130.0%,SNAP,185.0%,Other Nutrition Program,46.7%,20.5%,32.8%,29.2%, 860 ,69%,31%, $2.54 ," $1,162,980 ",
13025,GA,"Brantley County, Georgia",17.7%," 3,120 ",130.0%,SNAP,185.0%,Other Nutrition Program,45.0%,28.6%,26.4%,32.4%," 1,460 ",59%,41%, $2.67 ," $1,433,910 ",
13027,GA,"Brooks County, Georgia",18.2%," 2,970 ",130.0%,SNAP,185.0%,Other Nutrition Program,44.3%,28.6%,27.2%,22.6%, 870 ,82%,18%, $2.31 ," $1,180,930 ",
13029,GA,"Bryan County, Georgia",13.3%," 3,870 ",130.0%,SNAP,185.0%,Other Nutrition Program,37.1%,15.2%,47.7%,24.2%," 2,020 ",42%,58%, $2.70 ," $1,798,580 ",
13031,GA,"Bulloch County, Georgia",20.9%," 14,090 ",130.0%,SNAP,185.0%,Other Nutrition Program,54.3%,14.1%,31.6%,26.7%," 3,650 ",64%,36%, $2.48 ," $6,014,760 ",
13033,GA,"Burke County, Georgia",23.9%," 5,520 ",130.0%,SNAP,185.0%,Other Nutrition Program,58.2%,19.5%,22.3%,27.8%," 1,860 ",91%,9%, $2.35 ," $2,232,870 ",
13035,GA,"Butts County, Georgia",18.1%," 4,230 ",130.0%,SNAP,185.0%,Other Nutrition Program,32.9%,19.3%,47.8%,26.0%," 1,320 ",57%,44%, $2.58 ," $1,878,520 ",
13037,GA,"Calhoun County, Georgia",25.3%," 1,640 ",130.0%,SNAP,185.0%,Other Nutrition Program,51.2%,17.6%,31.2%,28.3%, 380 ,93%,7%, $2.87 ," $810,180 ",
13039,GA,"Camden County, Georgia",16.4%," 8,080 ",130.0%,SNAP,185.0%,Other Nutrition Program,40.5%,19.6%,39.9%,26.1%," 3,460 ",58%,43%, $2.50 ," $3,477,020 ",
13043,GA,"Candler County, Georgia",18.5%," 1,980 ",130.0%,SNAP,185.0%,Other Nutrition Program,56.3%,34.4%,9.3%,27.7%, 770 ,83%,17%, $2.40 ," $817,960 ",
13045,GA,"Carroll County, Georgia",17.5%," 19,140 ",130.0%,SNAP,185.0%,Other Nutrition Program,44.7%,26.2%,29.2%,27.4%," 7,460 ",63%,37%, $2.50 ," $8,236,400 ",
13047,GA,"Catoosa County, Georgia",12.3%," 7,720 ",130.0%,SNAP,185.0%,Other Nutrition Program,41.9%,27.6%,30.6%,25.3%," 3,990 ",54%,47%, $2.33 ," $3,096,200 ",
13049,GA,"Charlton County, Georgia",20.2%," 2,490 ",130.0%,SNAP,185.0%,Other Nutrition Program,40.2%,18.9%,41.0%,27.7%, 730 ,58%,42%, $2.27 ," $972,930 ",
13051,GA,"Chatham County, Georgia",18.7%," 48,010 ",130.0%,SNAP,185.0%,Other Nutrition Program,43.7%,19.9%,36.4%,22.6%," 13,100 ",80%,20%, $2.46 ," $20,329,300 ",
13053,GA,"Chattahoochee County, Georgia",20.7%," 2,420 ",130.0%,SNAP,185.0%,Other Nutrition Program,28.8%,20.5%,50.7%,29.5%, 880 ,66%,34%, $2.16 ," $899,760 ",
13055,GA,"Chattooga County, Georgia",18.2%," 4,720 ",130.0%,SNAP,185.0%,Other Nutrition Program,49.7%,35.3%,15.0%,31.2%," 1,840 ",72%,28%, $2.42 ," $1,966,130 ",
13057,GA,"Cherokee County, Georgia",11.7%," 24,080 ",130.0%,SNAP,185.0%,Other Nutrition Program,28.3%,24.0%,47.8%,23.3%," 13,190 ",38%,62%, $2.57 ," $10,652,350 ",
13059,GA,"Clarke County, Georgia",20.3%," 23,390 ",130.0%,SNAP,185.0%,Other Nutrition Program,57.8%,14.3%,27.8%,27.4%," 5,500 ",73%,27%, $2.52 ," $10,145,800 ",
13061,GA,"Clay County, Georgia",27.4%, 820 ,130.0%,SNAP,185.0%,Other Nutrition Program,75.3%,6.7%,18.1%,27.8%, 220 ,100%,0%, $2.76 ," $389,560 ",
13063,GA,"Clayton County, Georgia",23.4%," 60,810 ",130.0%,SNAP,185.0%,Other Nutrition Program,44.6%,18.4%,37.1%,23.7%," 17,830 ",87%,14%, $2.26 ," $23,655,880 ",
13065,GA,"Clinch County, Georgia",22.0%," 1,500 ",130.0%,SNAP,185.0%,Other Nutrition Program,56.8%,20.1%,23.1%,30.9%, 550 ,79%,21%, $2.21 ," $570,610 ",
13067,GA,"Cobb County, Georgia",15.1%," 101,970 ",130.0%,SNAP,185.0%,Other Nutrition Program,32.3%,18.8%,48.9%,23.1%," 40,200 ",49%,51%, $2.53 ," $44,406,710 ",
13069,GA,"Coffee County, Georgia",23.5%," 9,800 ",130.0%,SNAP,185.0%,Other Nutrition Program,46.0%,30.8%,23.2%,34.3%," 3,690 ",80%,20%, $2.36 ," $3,981,010 ",
13071,GA,"Colquitt County, Georgia",18.4%," 8,210 ",130.0%,SNAP,185.0%,Other Nutrition Program,57.6%,24.2%,18.2%,30.3%," 3,640 ",68%,32%, $2.40 ," $3,391,640 ",
13073,GA,"Columbia County, Georgia",11.6%," 13,720 ",130.0%,SNAP,185.0%,Other Nutrition Program,30.1%,21.4%,48.4%,20.0%," 6,440 ",43%,57%, $2.56 ," $6,045,740 ",
13075,GA,"Cook County, Georgia",21.7%," 3,690 ",130.0%,SNAP,185.0%,Other Nutrition Program,53.5%,21.9%,24.6%,30.6%," 1,400 ",74%,26%, $2.35 ," $1,492,620 ",
13077,GA,"Coweta County, Georgia",14.6%," 17,740 ",130.0%,SNAP,185.0%,Other Nutrition Program,32.4%,21.0%,46.7%,24.5%," 8,130 ",47%,53%, $2.62 ," $8,000,380 ",
13079,GA,"Crawford County, Georgia",19.0%," 2,430 ",130.0%,SNAP,185.0%,Other Nutrition Program,47.7%,25.8%,26.5%,30.6%, 920 ,68%,33%, $2.78 ," $1,162,800 ",
13081,GA,"Crisp County, Georgia",25.3%," 5,860 ",130.0%,SNAP,185.0%,Other Nutrition Program,59.2%,19.0%,21.8%,33.9%," 2,040 ",88%,12%, $2.38 ," $2,400,660 ",
13083,GA,"Dade County, Georgia",13.8%," 2,290 ",130.0%,SNAP,185.0%,Other Nutrition Program,43.7%,26.3%,30.0%,30.1%," 1,080 ",55%,45%, $2.52 ," $993,330 ",
13085,GA,"Dawson County, Georgia",13.5%," 2,930 ",130.0%,SNAP,185.0%,Other Nutrition Program,36.6%,34.9%,28.5%,27.8%," 1,360 ",57%,44%, $2.54 ," $1,281,020 ",
13087,GA,"Decatur County, Georgia",23.9%," 6,680 ",130.0%,SNAP,185.0%,Other Nutrition Program,54.1%,18.1%,27.8%,29.9%," 2,120 ",82%,18%, $2.45 ," $2,817,070 ",
13089,GA,"DeKalb County, Georgia",20.8%," 142,590 ",130.0%,SNAP,185.0%,Other Nutrition Program,41.4%,15.7%,42.9%,22.5%," 36,950 ",76%,24%, $2.48 ," $60,869,030 ",
13091,GA,"Dodge County, Georgia",20.5%," 4,380 ",130.0%,SNAP,185.0%,Other Nutrition Program,49.1%,23.2%,27.7%,26.9%," 1,200 ",81%,19%, $2.40 ," $1,809,430 ",
13093,GA,"Dooly County, Georgia",24.3%," 3,460 ",130.0%,SNAP,185.0%,Other Nutrition Program,48.4%,16.7%,34.9%,30.1%, 950 ,95%,5%, $2.90 ," $1,727,150 ",
13095,GA,"Dougherty County, Georgia",26.9%," 25,460 ",130.0%,SNAP,185.0%,Other Nutrition Program,60.5%,12.7%,26.7%,28.0%," 6,790 ",98%,3%, $2.42 ," $10,605,460 ",
13097,GA,"Douglas County, Georgia",18.1%," 23,130 ",130.0%,SNAP,185.0%,Other Nutrition Program,36.0%,17.3%,46.7%,22.5%," 8,050 ",63%,38%, $2.37 ," $9,435,820 ",
13099,GA,"Early County, Georgia",23.9%," 2,690 ",130.0%,SNAP,185.0%,Other Nutrition Program,60.3%,18.5%,21.2%,29.3%, 870 ,89%,11%, $2.49 ," $1,152,940 ",
13101,GA,"Echols County, Georgia",15.6%, 620 ,130.0%,SNAP,185.0%,Other Nutrition Program,55.0%,41.2%,3.7%,35.5%, 450 ,65%,35%, $2.51 ," $267,870 ",
13103,GA,"Effingham County, Georgia",13.6%," 6,880 ",130.0%,SNAP,185.0%,Other Nutrition Program,33.1%,28.1%,38.8%,23.6%," 3,410 ",50%,50%, $2.40 ," $2,842,200 ",
13105,GA,"Elbert County, Georgia",22.3%," 4,550 ",130.0%,SNAP,185.0%,Other Nutrition Program,55.7%,27.8%,16.5%,33.9%," 1,640 ",85%,15%, $2.43 ," $1,903,150 ",
13107,GA,"Emanuel County, Georgia",21.7%," 4,850 ",130.0%,SNAP,185.0%,Other Nutrition Program,59.9%,25.0%,15.2%,30.2%," 1,690 ",90%,10%, $2.34 ," $1,953,500 ",
13109,GA,"Evans County, Georgia",18.5%," 2,030 ",130.0%,SNAP,185.0%,Other Nutrition Program,50.9%,18.0%,31.1%,28.6%, 770 ,77%,23%, $2.65 ," $925,970 ",
13111,GA,"Fannin County, Georgia",15.3%," 3,570 ",130.0%,SNAP,185.0%,Other Nutrition Program,47.3%,40.4%,12.2%,30.6%," 1,370 ",66%,34%, $2.95 ," $1,812,780 ",
13113,GA,"Fayette County, Georgia",12.4%," 13,090 ",130.0%,SNAP,185.0%,Other Nutrition Program,18.5%,18.0%,63.5%,19.7%," 5,530 ",34%,66%, $2.61 ," $5,880,790 ",
13115,GA,"Floyd County, Georgia",17.1%," 16,370 ",130.0%,SNAP,185.0%,Other Nutrition Program,47.1%,27.5%,25.4%,29.8%," 6,810 ",67%,33%, $2.39 ," $6,734,450 ",
13117,GA,"Forsyth County, Georgia",10.2%," 16,740 ",130.0%,SNAP,185.0%,Other Nutrition Program,23.9%,18.9%,57.1%,22.3%," 11,020 ",26%,74%, $2.75 ," $7,923,990 ",
13119,GA,"Franklin County, Georgia",17.2%," 3,810 ",130.0%,SNAP,185.0%,Other Nutrition Program,47.9%,28.1%,23.9%,29.8%," 1,520 ",60%,40%, $2.58 ," $1,692,000 ",
13121,GA,"Fulton County, Georgia",19.5%," 172,560 ",130.0%,SNAP,185.0%,Other Nutrition Program,39.7%,13.5%,46.8%,23.4%," 49,460 ",64%,36%, $2.73 ," $81,088,340 ",
13123,GA,"Gilmer County, Georgia",15.3%," 4,280 ",130.0%,SNAP,185.0%,Other Nutrition Program,54.7%,33.9%,11.4%,31.5%," 1,940 ",63%,37%, $2.54 ," $1,871,260 ",
13125,GA,"Glascock County, Georgia",17.4%, 520 ,130.0%,SNAP,185.0%,Other Nutrition Program,51.5%,23.0%,25.4%,29.1%, 230 ,61%,39%, $2.66 ," $238,090 ",
13127,GA,"Glynn County, Georgia",16.7%," 12,960 ",130.0%,SNAP,185.0%,Other Nutrition Program,41.3%,17.9%,40.8%,25.8%," 4,770 ",63%,38%, $2.78 ," $6,201,620 ",
